LeagueId;Round;MatchDate;PredictionDate;Home;Away;Band;HistoricalStatus;Postponed;SourceFile
Australia_NPLWesternAustralia;22;2026-08-01;2026-07-31;Dianella White Eagle;Stirling Macedonia;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLWesternAustralia;22;2026-08-01;2026-07-31;Fremantle City;Perth Azzurri;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLWesternAustralia;22;2026-08-01;2026-07-31;Olympic Kingsway;Bayswater City;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLWesternAustralia;22;2026-08-01;2026-07-31;Sorrento;Perth RedStar;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLWesternAustralia;22;2026-08-01;2026-07-31;Western Knights;Perth Glory U23;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPL_NSW_U20;27;2026-08-01;2026-07-31;St George Saints U20;SD Raiders U20;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPL_NSW_U20;27;2026-08-01;2026-07-31;Sutherland U20;Wollongong Wolves U20;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPL_NSW_U20;27;2026-08-01;2026-07-31;WS Wanderers U20;UNSW U20;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NSWLeagueOne;28;2026-08-01;2026-07-31;Bulls Academy;Macarthur Rams;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NSWLeagueOne;28;2026-08-01;2026-07-31;Canterbury Bankstown;Dulwich Hill;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NSWLeagueOne;28;2026-08-01;2026-07-31;Hills United;Bankstown City Lions;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NSWLeagueOne;28;2026-08-01;2026-07-31;Hurstville Zagreb;Northern Tigers;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NSWLeagueOne;28;2026-08-01;2026-07-31;Rydalmere Lions;Newcastle Jets U23;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NSWLeagueOne;28;2026-08-01;2026-07-31;Western City Rangers;Hakoah Sydney;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NorthernNSWStateLeague;17;2026-08-01;2026-07-31;Lake Macquarie;Singleton Strikers;ALTA;POSTPONED;SI;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NorthernNSWStateLeague;17;2026-08-01;2026-07-31;West Wallsend;New Lambton;ALTA;POSTPONED;SI;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_SAStateLeague;23;2026-08-01;2026-07-31;Adelaide Atletico;Salisbury Utd.;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_SAStateLeague;23;2026-08-01;2026-07-31;Adelaide Cobras;Adelaide Olympic;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_SAStateLeague;23;2026-08-01;2026-07-31;Blue Eagles;Adelaide Croatia Raiders;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_SAStateLeague;23;2026-08-01;2026-07-31;Cove FC;Cumberland Utd.;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_SAStateLeague;23;2026-08-01;2026-07-31;Fulham Utd.;Eastern United;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_SAStateLeague;23;2026-08-01;2026-07-31;South Adelaide;Modbury;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_TasmaniaNorthernChampionship;17;2026-08-01;2026-07-31;Northern Rangers;Devonport U21;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_TasmaniaNorthernChampionship;17;2026-08-01;2026-07-31;Riverside Olympic U21;Launceston U21;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_TasmaniaNorthernChampionship;17;2026-08-01;2026-07-31;Somerset;Burnie Utd.;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_TasmaniaSouthernChampionship;17;2026-08-01;2026-07-31;Clarence Zebras U21;New Town;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_VictoriaPremierLeague;24;2026-08-01;2026-07-31;Langwarrin;Brunswick City;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
