Scope;Name;OK;KO;N;Rate;LeagueId
LEAGUE;V31;5;0;5;100.0;Finland_Kolmonen_Southern_Group2
LEAGUE;V31_ONLY;3;0;3;100.0;Finland_Kolmonen_Southern_Group2
LEAGUE;V30;5;1;6;83.33;Finland_Kolmonen_Southern_Group3
LEAGUE;V31;5;1;6;83.33;Finland_Kolmonen_Southern_Group3
LEAGUE;V31_ONLY;1;0;1;100.0;Finland_Kolmonen_Southern_Group3
LEAGUE;V30;0;1;1;0.0;Finland_Kolmonen_Western_Group1
LEAGUE;V30;1;0;1;100.0;Finland_Kolmonen_Western_Group2
LEAGUE;V31;3;0;3;100.0;Finland_Kolmonen_Western_Group2
LEAGUE;V31_ONLY;3;0;3;100.0;Finland_Kolmonen_Western_Group2
LEAGUE;V31;1;0;1;100.0;Finland_Kolmonen_Western_Group3
LEAGUE;V31_ONLY;1;0;1;100.0;Finland_Kolmonen_Western_Group3
LEAGUE;V30;0;1;1;0.0;Finland_Ykkonen
LEAGUE;V30;1;1;2;50.0;Germany_Oberliga_Bayern_Nord
LEAGUE;V31;1;0;1;100.0;Germany_Oberliga_Bayern_Nord
LEAGUE;V30;1;0;1;100.0;Germany_Oberliga_Bayern_Sud
LEAGUE;V31;1;0;1;100.0;Germany_Oberliga_Bayern_Sud
LEAGUE;V31;1;0;1;100.0;Germany_Regionalliga_Nordost
LEAGUE;V31_ONLY;1;0;1;100.0;Germany_Regionalliga_Nordost
LEAGUE;V31;1;0;1;100.0;Germany_Regionalliga_West
LEAGUE;V31_ONLY;1;0;1;100.0;Germany_Regionalliga_West
LEAGUE;V30;1;0;1;100.0;Iceland_1DeildWomen
LEAGUE;V31;1;0;1;100.0;Iceland_1DeildWomen
LEAGUE;V30;2;0;2;100.0;Iceland_BestaDeildKarla
LEAGUE;V31;4;1;5;80.0;Iceland_BestaDeildKarla
LEAGUE;V31_ONLY;2;1;3;66.67;Iceland_BestaDeildKarla
LEAGUE;V31;1;0;1;100.0;Iceland_Division_1
LEAGUE;V31_ONLY;1;0;1;100.0;Iceland_Division_1
LEAGUE;V30;2;0;2;100.0;Iceland_Division_2
LEAGUE;V31;3;1;4;75.0;Iceland_Division_2
LEAGUE;V31_ONLY;1;1;2;50.0;Iceland_Division_2
LEAGUE;V30;1;0;1;100.0;Kazakhstan_FirstLeague
LEAGUE;V31;1;0;1;100.0;Kazakhstan_FirstLeague
LEAGUE;V31_ONLY;1;0;1;100.0;Kazakhstan_FirstLeague
LEAGUE;V30;1;0;1;100.0;Kyrgyzstan_PremierLiga
LEAGUE;V31;1;0;1;100.0;Kyrgyzstan_PremierLiga
LEAGUE;V30;2;0;2;100.0;Latvia_NakotnesLiga
LEAGUE;V31;2;0;2;100.0;Latvia_NakotnesLiga
LEAGUE;V31_ONLY;1;0;1;100.0;Latvia_NakotnesLiga
LEAGUE;V30;1;0;1;100.0;Lithuania_ILyga
LEAGUE;V30;1;1;2;50.0;Norway_2ndDivision_Group2
LEAGUE;V31;1;1;2;50.0;Norway_2ndDivision_Group2
LEAGUE;V31_ONLY;1;0;1;100.0;Norway_2ndDivision_Group2
LEAGUE;V30;1;0;1;100.0;Norway_3rdDivision_Group1
LEAGUE;V31;5;1;6;83.33;Norway_3rdDivision_Group1
LEAGUE;V31_ONLY;5;1;6;83.33;Norway_3rdDivision_Group1
LEAGUE;V30;1;1;2;50.0;Norway_3rdDivision_Group2
LEAGUE;V31;2;6;8;25.0;Norway_3rdDivision_Group2
LEAGUE;V31_ONLY;1;5;6;16.67;Norway_3rdDivision_Group2
LEAGUE;V30;3;0;3;100.0;Norway_3rdDivision_Group3
LEAGUE;V31;4;0;4;100.0;Norway_3rdDivision_Group3
LEAGUE;V31_ONLY;1;0;1;100.0;Norway_3rdDivision_Group3
LEAGUE;V31;3;0;3;100.0;Norway_3rdDivision_Group4
LEAGUE;V31_ONLY;3;0;3;100.0;Norway_3rdDivision_Group4
LEAGUE;V30;3;1;4;75.0;Norway_3rdDivision_Group5
LEAGUE;V31;6;3;9;66.67;Norway_3rdDivision_Group5
LEAGUE;V31_ONLY;4;2;6;66.67;Norway_3rdDivision_Group5
LEAGUE;V30;2;0;2;100.0;Norway_3rdDivision_Group6
LEAGUE;V31;1;0;1;100.0;Norway_3rdDivision_Group6
LEAGUE;V31_ONLY;1;0;1;100.0;Norway_3rdDivision_Group6
LEAGUE;V30;1;0;1;100.0;Norway_OBOSLigaen
LEAGUE;V31;1;2;3;33.33;Norway_OBOSLigaen
LEAGUE;V31_ONLY;0;2;2;0.0;Norway_OBOSLigaen
LEAGUE;V31;1;0;1;100.0;Poland_IIILiga_Group2
LEAGUE;V31_ONLY;1;0;1;100.0;Poland_IIILiga_Group2
LEAGUE;V30;1;0;1;100.0;Russia_PremierLeague
LEAGUE;V30;0;3;3;0.0;Somalia_NationalLeague
LEAGUE;V31;0;3;3;0.0;Somalia_NationalLeague
LEAGUE;V30;1;0;1;100.0;SriLanka_SuperLeague
LEAGUE;V31;0;1;1;0.0;Sweden_Division1_Norra
LEAGUE;V31_ONLY;0;1;1;0.0;Sweden_Division1_Norra
LEAGUE;V30;1;0;1;100.0;Sweden_Division1_Sodra
LEAGUE;V30;0;1;1;0.0;Sweden_Division2_NorraGotaland
LEAGUE;V30;1;0;1;100.0;Sweden_Division2_Norrland
LEAGUE;V31;0;1;1;0.0;Sweden_Division2_SodraGotaland
LEAGUE;V31_ONLY;0;1;1;0.0;Sweden_Division2_SodraGotaland
LEAGUE;V31;1;0;1;100.0;Sweden_Division2_VastraGotaland
LEAGUE;V31_ONLY;1;0;1;100.0;Sweden_Division2_VastraGotaland
LEAGUE;V31;0;1;1;0.0;Sweden_Superettan
LEAGUE;V31_ONLY;0;1;1;0.0;Sweden_Superettan
LEAGUE;V30;2;1;3;66.67;USA_MLS
LEAGUE;V31;2;2;4;50.0;USA_MLS
LEAGUE;V31_ONLY;1;1;2;50.0;USA_MLS
LEAGUE;V30;2;0;2;100.0;USA_MLSNextPro_EasternConference_NortheastDivision
LEAGUE;V31;1;0;1;100.0;USA_MLSNextPro_EasternConference_NortheastDivision
LEAGUE;V30;1;0;1;100.0;USA_MLSNextPro_WesternConference_CentralDivision
LEAGUE;V31;1;0;1;100.0;USA_MLSNextPro_WesternConference_PacificDivision
LEAGUE;V31_ONLY;1;0;1;100.0;USA_MLSNextPro_WesternConference_PacificDivision
LEAGUE;V31;0;1;1;0.0;USA_USLChampionship
LEAGUE;V31_ONLY;0;1;1;0.0;USA_USLChampionship
LEAGUE;V30;2;0;2;100.0;USA_USLLeagueOne
LEAGUE;V31;1;0;1;100.0;Wales_CymruPremier
LEAGUE;V31_ONLY;1;0;1;100.0;Wales_CymruPremier
