Profile;OriginalBand;NewBand;Outcome;Matches
GRID_G1_P2_R4;ALTA;MEDIA;OK;39
GRID_G1_P2_R4;BASSA;BASSA;KO;156
GRID_G1_P2_R4;BASSA;BASSA;OK;182
GRID_G1_P2_R4;MEDIA;BASSA;KO;20
GRID_G1_P2_R4;MEDIA;BASSA;OK;25
GRID_G1_P2_R4;MEDIA;MEDIA;KO;179
GRID_G1_P2_R4;MEDIA;MEDIA;OK;292
GRID_G1_P2_R6;ALTA;ALTA;KO;116
GRID_G1_P2_R6;ALTA;ALTA;OK;295
GRID_G1_P2_R6;ALTA;MEDIA;KO;20
GRID_G1_P2_R6;ALTA;MEDIA;OK;39
GRID_G1_P2_R6;BASSA;BASSA;KO;156
GRID_G1_P2_R6;BASSA;BASSA;OK;182
GRID_G1_P2_R6;MEDIA;BASSA;KO;20
GRID_G1_P2_R6;MEDIA;BASSA;OK;25
GRID_G1_P2_R6;MEDIA;MEDIA;KO;179
GRID_G1_P2_R6;MEDIA;MEDIA;OK;292
GRID_G1_P3_R2;ALTA;ALTA;KO;112
GRID_G1_P3_R2;ALTA;ALTA;OK;280
GRID_G1_P3_R2;ALTA;MEDIA;KO;24
GRID_G1_P3_R2;ALTA;MEDIA;OK;54
GRID_G1_P3_R2;BASSA;BASSA;KO;156
GRID_G1_P3_R2;BASSA;BASSA;OK;182
GRID_G1_P3_R2;MEDIA;BASSA;KO;29
GRID_G1_P3_R2;MEDIA;BASSA;OK;32
GRID_G1_P3_R2;MEDIA;MEDIA;KO;170
GRID_G1_P3_R2;MEDIA;MEDIA;OK;285
GRID_G1_P3_R4;ALTA;ALTA;KO;112
GRID_G1_P3_R4;ALTA;ALTA;OK;280
GRID_G1_P3_R4;ALTA;MEDIA;KO;24
GRID_G1_P3_R4;ALTA;MEDIA;OK;54
GRID_G1_P3_R4;BASSA;BASSA;KO;156
GRID_G1_P3_R4;BASSA;BASSA;OK;182
GRID_G1_P3_R4;MEDIA;BASSA;KO;29
GRID_G1_P3_R4;MEDIA;BASSA;OK;32
GRID_G1_P3_R4;MEDIA;MEDIA;KO;170
GRID_G1_P3_R4;MEDIA;MEDIA;OK;285
GRID_G1_P3_R6;ALTA;ALTA;KO;112
GRID_G1_P3_R6;ALTA;ALTA;OK;280
GRID_G1_P3_R6;ALTA;MEDIA;KO;24
GRID_G1_P3_R6;ALTA;MEDIA;OK;54
GRID_G1_P3_R6;BASSA;BASSA;KO;156
GRID_G1_P3_R6;BASSA;BASSA;OK;182
GRID_G1_P3_R6;MEDIA;BASSA;KO;29
GRID_G1_P3_R6;MEDIA;BASSA;OK;32
GRID_G1_P3_R6;MEDIA;MEDIA;KO;170
GRID_G1_P3_R6;MEDIA;MEDIA;OK;285
GRID_G2_P1_R2;ALTA;ALTA;KO;121
GRID_G2_P1_R2;ALTA;ALTA;OK;307
GRID_G2_P1_R2;ALTA;MEDIA;KO;15
GRID_G2_P1_R2;ALTA;MEDIA;OK;27
GRID_G2_P1_R2;BASSA;BASSA;KO;156
GRID_G2_P1_R2;BASSA;BASSA;OK;182
GRID_G2_P1_R2;MEDIA;BASSA;KO;15
GRID_G2_P1_R2;MEDIA;BASSA;OK;13
GRID_G2_P1_R2;MEDIA;MEDIA;KO;184
GRID_G2_P1_R2;MEDIA;MEDIA;OK;304
GRID_G2_P1_R4;ALTA;ALTA;KO;121
GRID_G2_P1_R4;ALTA;ALTA;OK;307
GRID_G2_P1_R4;ALTA;MEDIA;KO;15
GRID_G2_P1_R4;ALTA;MEDIA;OK;27
GRID_G2_P1_R4;BASSA;BASSA;KO;156
GRID_G2_P1_R4;BASSA;BASSA;OK;182
GRID_G2_P1_R4;MEDIA;BASSA;KO;15
GRID_G2_P1_R4;MEDIA;BASSA;OK;14
GRID_G2_P1_R4;MEDIA;MEDIA;KO;184
GRID_G2_P1_R4;MEDIA;MEDIA;OK;303
GRID_G2_P1_R6;ALTA;ALTA;KO;121
GRID_G2_P1_R6;ALTA;ALTA;OK;307
GRID_G2_P1_R6;ALTA;MEDIA;KO;15
GRID_G2_P1_R6;ALTA;MEDIA;OK;27
GRID_G2_P1_R6;BASSA;BASSA;KO;156
GRID_G2_P1_R6;BASSA;BASSA;OK;182
GRID_G2_P1_R6;MEDIA;BASSA;KO;15
GRID_G2_P1_R6;MEDIA;BASSA;OK;14
GRID_G2_P1_R6;MEDIA;MEDIA;KO;184
GRID_G2_P1_R6;MEDIA;MEDIA;OK;303
GRID_G2_P2_R2;ALTA;ALTA;KO;113
GRID_G2_P2_R2;ALTA;ALTA;OK;290
GRID_G2_P2_R2;ALTA;MEDIA;KO;23
GRID_G2_P2_R2;ALTA;MEDIA;OK;44
GRID_G2_P2_R2;BASSA;BASSA;KO;156
GRID_G2_P2_R2;BASSA;BASSA;OK;182
GRID_G2_P2_R2;MEDIA;BASSA;KO;21
GRID_G2_P2_R2;MEDIA;BASSA;OK;28
GRID_G2_P2_R2;MEDIA;MEDIA;KO;178
GRID_G2_P2_R2;MEDIA;MEDIA;OK;289
GRID_G2_P2_R4;ALTA;ALTA;KO;113
GRID_G2_P2_R4;ALTA;ALTA;OK;290
GRID_G2_P2_R4;ALTA;MEDIA;KO;23
GRID_G2_P2_R4;ALTA;MEDIA;OK;44
GRID_G2_P2_R4;BASSA;BASSA;KO;156
GRID_G2_P2_R4;BASSA;BASSA;OK;182
GRID_G2_P2_R4;MEDIA;BASSA;KO;21
GRID_G2_P2_R4;MEDIA;BASSA;OK;28
GRID_G2_P2_R4;MEDIA;MEDIA;KO;178
GRID_G2_P2_R4;MEDIA;MEDIA;OK;289
GRID_G2_P2_R6;ALTA;ALTA;KO;113
GRID_G2_P2_R6;ALTA;ALTA;OK;290
GRID_G2_P2_R6;ALTA;MEDIA;KO;23
GRID_G2_P2_R6;ALTA;MEDIA;OK;44
GRID_G2_P2_R6;BASSA;BASSA;KO;156
GRID_G2_P2_R6;BASSA;BASSA;OK;182
GRID_G2_P2_R6;MEDIA;BASSA;KO;21
GRID_G2_P2_R6;MEDIA;BASSA;OK;28
GRID_G2_P2_R6;MEDIA;MEDIA;KO;178
GRID_G2_P2_R6;MEDIA;MEDIA;OK;289
GRID_G2_P3_R2;ALTA;ALTA;KO;108
GRID_G2_P3_R2;ALTA;ALTA;OK;273
GRID_G2_P3_R2;ALTA;MEDIA;KO;28
GRID_G2_P3_R2;ALTA;MEDIA;OK;61
GRID_G2_P3_R2;BASSA;BASSA;KO;156
GRID_G2_P3_R2;BASSA;BASSA;OK;182
GRID_G2_P3_R2;MEDIA;BASSA;KO;31
GRID_G2_P3_R2;MEDIA;BASSA;OK;35
GRID_G2_P3_R2;MEDIA;MEDIA;KO;168
GRID_G2_P3_R2;MEDIA;MEDIA;OK;282
GRID_G2_P3_R4;ALTA;ALTA;KO;108
GRID_G2_P3_R4;ALTA;ALTA;OK;273
GRID_G2_P3_R4;ALTA;MEDIA;KO;28
GRID_G2_P3_R4;ALTA;MEDIA;OK;61
GRID_G2_P3_R4;BASSA;BASSA;KO;156
GRID_G2_P3_R4;BASSA;BASSA;OK;182
GRID_G2_P3_R4;MEDIA;BASSA;KO;31
GRID_G2_P3_R4;MEDIA;BASSA;OK;35
GRID_G2_P3_R4;MEDIA;MEDIA;KO;168
GRID_G2_P3_R4;MEDIA;MEDIA;OK;282
GRID_G2_P3_R6;ALTA;ALTA;KO;108
GRID_G2_P3_R6;ALTA;ALTA;OK;273
GRID_G2_P3_R6;ALTA;MEDIA;KO;28
GRID_G2_P3_R6;ALTA;MEDIA;OK;61
GRID_G2_P3_R6;BASSA;BASSA;KO;156
GRID_G2_P3_R6;BASSA;BASSA;OK;182
GRID_G2_P3_R6;MEDIA;BASSA;KO;31
GRID_G2_P3_R6;MEDIA;BASSA;OK;35
GRID_G2_P3_R6;MEDIA;MEDIA;KO;168
GRID_G2_P3_R6;MEDIA;MEDIA;OK;282
GRID_G3_P1_R2;ALTA;ALTA;KO;118
GRID_G3_P1_R2;ALTA;ALTA;OK;302
GRID_G3_P1_R2;ALTA;MEDIA;KO;18
GRID_G3_P1_R2;ALTA;MEDIA;OK;32
GRID_G3_P1_R2;BASSA;BASSA;KO;156
GRID_G3_P1_R2;BASSA;BASSA;OK;182
GRID_G3_P1_R2;MEDIA;BASSA;KO;16
GRID_G3_P1_R2;MEDIA;BASSA;OK;18
GRID_G3_P1_R2;MEDIA;MEDIA;KO;183
GRID_G3_P1_R2;MEDIA;MEDIA;OK;299
GRID_G3_P1_R4;ALTA;ALTA;KO;118
GRID_G3_P1_R4;ALTA;ALTA;OK;302
GRID_G3_P1_R4;ALTA;MEDIA;KO;18
GRID_G3_P1_R4;ALTA;MEDIA;OK;32
GRID_G3_P1_R4;BASSA;BASSA;KO;156
GRID_G3_P1_R4;BASSA;BASSA;OK;182
GRID_G3_P1_R4;MEDIA;BASSA;KO;16
GRID_G3_P1_R4;MEDIA;BASSA;OK;19
GRID_G3_P1_R4;MEDIA;MEDIA;KO;183
GRID_G3_P1_R4;MEDIA;MEDIA;OK;298
GRID_G3_P1_R6;ALTA;ALTA;KO;118
GRID_G3_P1_R6;ALTA;ALTA;OK;302
GRID_G3_P1_R6;ALTA;MEDIA;KO;18
GRID_G3_P1_R6;ALTA;MEDIA;OK;32
GRID_G3_P1_R6;BASSA;BASSA;KO;156
GRID_G3_P1_R6;BASSA;BASSA;OK;182
GRID_G3_P1_R6;MEDIA;BASSA;KO;16
GRID_G3_P1_R6;MEDIA;BASSA;OK;19
GRID_G3_P1_R6;MEDIA;MEDIA;KO;183
GRID_G3_P1_R6;MEDIA;MEDIA;OK;298
GRID_G3_P2_R2;ALTA;ALTA;KO;109
GRID_G3_P2_R2;ALTA;ALTA;OK;281
GRID_G3_P2_R2;ALTA;MEDIA;KO;27
GRID_G3_P2_R2;ALTA;MEDIA;OK;53
GRID_G3_P2_R2;BASSA;BASSA;KO;156
GRID_G3_P2_R2;BASSA;BASSA;OK;182
GRID_G3_P2_R2;MEDIA;BASSA;KO;23
GRID_G3_P2_R2;MEDIA;BASSA;OK;31
GRID_G3_P2_R2;MEDIA;MEDIA;KO;176
GRID_G3_P2_R2;MEDIA;MEDIA;OK;286
GRID_G3_P2_R4;ALTA;ALTA;KO;109
GRID_G3_P2_R4;ALTA;ALTA;OK;281
GRID_G3_P2_R4;ALTA;MEDIA;KO;27
GRID_G3_P2_R4;ALTA;MEDIA;OK;53
GRID_G3_P2_R4;BASSA;BASSA;KO;156
GRID_G3_P2_R4;BASSA;BASSA;OK;182
GRID_G3_P2_R4;MEDIA;BASSA;KO;23
GRID_G3_P2_R4;MEDIA;BASSA;OK;31
GRID_G3_P2_R4;MEDIA;MEDIA;KO;176
GRID_G3_P2_R4;MEDIA;MEDIA;OK;286
GRID_G3_P2_R6;ALTA;ALTA;KO;109
GRID_G3_P2_R6;ALTA;ALTA;OK;281
GRID_G3_P2_R6;ALTA;MEDIA;KO;27
GRID_G3_P2_R6;ALTA;MEDIA;OK;53
GRID_G3_P2_R6;BASSA;BASSA;KO;156
GRID_G3_P2_R6;BASSA;BASSA;OK;182
GRID_G3_P2_R6;MEDIA;BASSA;KO;23
GRID_G3_P2_R6;MEDIA;BASSA;OK;31
GRID_G3_P2_R6;MEDIA;MEDIA;KO;176
GRID_G3_P2_R6;MEDIA;MEDIA;OK;286
GRID_G3_P3_R2;ALTA;ALTA;KO;106
GRID_G3_P3_R2;ALTA;ALTA;OK;266
GRID_G3_P3_R2;ALTA;MEDIA;KO;30
GRID_G3_P3_R2;ALTA;MEDIA;OK;68
GRID_G3_P3_R2;BASSA;BASSA;KO;156
GRID_G3_P3_R2;BASSA;BASSA;OK;182
GRID_G3_P3_R2;MEDIA;BASSA;KO;35
GRID_G3_P3_R2;MEDIA;BASSA;OK;39
GRID_G3_P3_R2;MEDIA;MEDIA;KO;164
GRID_G3_P3_R2;MEDIA;MEDIA;OK;278
GRID_G3_P3_R4;ALTA;ALTA;KO;106
GRID_G3_P3_R4;ALTA;ALTA;OK;266
GRID_G3_P3_R4;ALTA;MEDIA;KO;30
GRID_G3_P3_R4;ALTA;MEDIA;OK;68
GRID_G3_P3_R4;BASSA;BASSA;KO;156
GRID_G3_P3_R4;BASSA;BASSA;OK;182
GRID_G3_P3_R4;MEDIA;BASSA;KO;35
GRID_G3_P3_R4;MEDIA;BASSA;OK;39
GRID_G3_P3_R4;MEDIA;MEDIA;KO;164
GRID_G3_P3_R4;MEDIA;MEDIA;OK;278
GRID_G3_P3_R6;ALTA;ALTA;KO;106
GRID_G3_P3_R6;ALTA;ALTA;OK;266
GRID_G3_P3_R6;ALTA;MEDIA;KO;30
GRID_G3_P3_R6;ALTA;MEDIA;OK;68
GRID_G3_P3_R6;BASSA;BASSA;KO;156
GRID_G3_P3_R6;BASSA;BASSA;OK;182
GRID_G3_P3_R6;MEDIA;BASSA;KO;35
GRID_G3_P3_R6;MEDIA;BASSA;OK;39
GRID_G3_P3_R6;MEDIA;MEDIA;KO;164
GRID_G3_P3_R6;MEDIA;MEDIA;OK;278
LIGHT;ALTA;ALTA;KO;122
LIGHT;ALTA;ALTA;OK;305
LIGHT;ALTA;MEDIA;KO;14
LIGHT;ALTA;MEDIA;OK;29
LIGHT;BASSA;BASSA;KO;156
LIGHT;BASSA;BASSA;OK;182
LIGHT;MEDIA;BASSA;KO;17
LIGHT;MEDIA;BASSA;OK;15
LIGHT;MEDIA;MEDIA;KO;182
LIGHT;MEDIA;MEDIA;OK;302
MEDIUM;ALTA;ALTA;KO;109
MEDIUM;ALTA;ALTA;OK;273
MEDIUM;ALTA;MEDIA;KO;27
MEDIUM;ALTA;MEDIA;OK;61
MEDIUM;BASSA;BASSA;KO;156
MEDIUM;BASSA;BASSA;OK;182
MEDIUM;MEDIA;BASSA;KO;34
MEDIUM;MEDIA;BASSA;OK;39
MEDIUM;MEDIA;MEDIA;KO;165
MEDIUM;MEDIA;MEDIA;OK;278
STRONG;ALTA;ALTA;KO;98
STRONG;ALTA;ALTA;OK;253
STRONG;ALTA;BASSA;KO;2
STRONG;ALTA;MEDIA;KO;36
STRONG;ALTA;MEDIA;OK;81
STRONG;BASSA;BASSA;KO;156
STRONG;BASSA;BASSA;OK;182
STRONG;MEDIA;BASSA;KO;47
STRONG;MEDIA;BASSA;OK;56
STRONG;MEDIA;MEDIA;KO;152
STRONG;MEDIA;MEDIA;OK;261
