Engine;NewAltaThreshold;Tot;OK;KO;PercentOK;WilsonLower95;TotNoAU;OKNoAU;KONoAU;PercentOKNoAU;WilsonLower95NoAU
v20def;76.00;140;105;35;75.00;67.22;97;77;20;79.38;70.29
v20def;77.00;122;88;34;72.13;63.59;81;62;19;76.54;66.25
v20def;78.00;105;75;30;71.43;62.15;72;53;19;73.61;62.42
v20def;79.00;85;58;27;68.24;57.73;58;41;17;70.69;57.99
v20def;80.00;66;45;21;68.18;56.21;48;35;13;72.92;59.00
v20def;81.00;39;27;12;69.23;53.58;27;21;6;77.78;59.24
v20def;82.00;31;24;7;77.42;60.19;24;19;5;79.17;59.53
v20def;83.00;26;22;4;84.62;66.47;20;17;3;85.00;63.96
v20def;84.00;19;18;1;94.74;75.36;17;16;1;94.12;73.02
v20def;85.00;14;13;1;92.86;68.53;12;11;1;91.67;64.61
v20def;86.00;11;10;1;90.91;62.26;11;10;1;90.91;62.26
v20def;87.00;9;8;1;88.89;56.50;9;8;1;88.89;56.50
v20def;88.00;9;8;1;88.89;56.50;9;8;1;88.89;56.50
v20def;89.00;8;7;1;87.50;52.91;8;7;1;87.50;52.91
v20def;90.00;7;6;1;85.71;48.69;7;6;1;85.71;48.69
v20def;91.00;5;5;0;100.00;56.55;5;5;0;100.00;56.55
v20def;92.00;3;3;0;100.00;43.85;3;3;0;100.00;43.85
v20def;93.00;1;1;0;100.00;20.65;1;1;0;100.00;20.65
v20def;94.00;1;1;0;100.00;20.65;1;1;0;100.00;20.65
v20def;95.00;1;1;0;100.00;20.65;1;1;0;100.00;20.65
v20def;96.00;1;1;0;100.00;20.65;1;1;0;100.00;20.65
v20def;97.00;1;1;0;100.00;20.65;1;1;0;100.00;20.65
v20def;98.00;1;1;0;100.00;20.65;1;1;0;100.00;20.65
v20def;99.00;1;1;0;100.00;20.65;1;1;0;100.00;20.65
v20def;100.00;1;1;0;100.00;20.65;1;1;0;100.00;20.65
v22def;0.00;3317;2092;1225;63.07;61.41;2680;1690;990;63.06;61.21
v22def;1.00;3256;2054;1202;63.08;61.41;2619;1652;967;63.08;61.21
v22def;2.00;3256;2054;1202;63.08;61.41;2619;1652;967;63.08;61.21
v22def;3.00;3256;2054;1202;63.08;61.41;2619;1652;967;63.08;61.21
v22def;4.00;3256;2054;1202;63.08;61.41;2619;1652;967;63.08;61.21
v22def;5.00;3256;2054;1202;63.08;61.41;2619;1652;967;63.08;61.21
v22def;6.00;3256;2054;1202;63.08;61.41;2619;1652;967;63.08;61.21
v22def;7.00;3254;2054;1200;63.12;61.45;2617;1652;965;63.13;61.26
v22def;8.00;3253;2053;1200;63.11;61.44;2616;1651;965;63.11;61.24
v22def;9.00;3251;2052;1199;63.12;61.45;2614;1650;964;63.12;61.25
v22def;10.00;3250;2051;1199;63.11;61.43;2613;1649;964;63.11;61.24
v22def;11.00;3250;2051;1199;63.11;61.43;2613;1649;964;63.11;61.24
v22def;12.00;3250;2051;1199;63.11;61.43;2613;1649;964;63.11;61.24
v22def;13.00;3249;2051;1198;63.13;61.45;2612;1649;963;63.13;61.26
v22def;14.00;3247;2051;1196;63.17;61.49;2610;1649;961;63.18;61.31
v22def;15.00;3247;2051;1196;63.17;61.49;2610;1649;961;63.18;61.31
v22def;16.00;3242;2048;1194;63.17;61.50;2605;1646;959;63.19;61.32
