MatchDate;LeagueId;Home;Away;Over25;ScoreV25;ScoreV251;ScoreDelta;BandV25;BandV251;StrongDefenseAdjustment;RecentFormAdjustment;RestartAdjustment;TotalAdjustment;ReasonV251
2026-09-06;Iceland_BestaDeildKarla;Vikingur Reykjavik;Fram;OK;78.32;77.32;-1.0;ALTA;ALTA;-1.0;0.0;0.0;-1.0;"PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || V251_DIAGNOSTICS[BaseScore=78.32;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.90 GA/gara)"
2026-09-06;Kazakhstan_PremierLeague;Altai;Kaisar;KO;51.26;50.26;-1.0;BASSA;BASSA;0.0;-1.0;0.0;-1.0;"PRO: difesa casa vulnerabile | trend over recente casa || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=51.26;StrongDefense=0.00;RecentForm=-1.00;Restart=0.00;Total=-1.00] || CONTRO V251: entrambe con PPG ultime5 basso (0.20+0.40)"
2026-09-06;Lithuania_Toplyga;Kauno Zalgiris;Dziugas Telsiai;OK;41.56;39.56;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: attacco casa positivo | attacco trasferta positivo || CONTRO: trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || CONTRO V25: v25: sfida equilibrata di alta classifica (gap punti 2.0, gap PPG 0.15) con difesa casa sotto 1 gol subito a partita | v25 extra: difesa stagionale molto solida (0.71 GA per partita) || V251_DIAGNOSTICS[BaseScore=41.56;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.71 GA/gara)"
2026-09-06;Lithuania_Toplyga;Transinvest;Suduva;OK;60.66;58.66;-2.0;MEDIA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over esterno positivo || CONTRO: profilo over interno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=60.66;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.72 GA/gara)"
2026-09-06;Norway_2ndDivision_Group1;Notodden;Lysekloster;OK;59.66;58.66;-1.0;BASSA;BASSA;-1.0;0.0;0.0;-1.0;"PRO: difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=59.66;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.82 GA/gara)"
2026-09-06;Norway_2ndDivision_Group2;Grorud;Rana FK;OK;72.54;70.54;-2.0;MEDIA;MEDIA;-1.0;0.0;-1.0;-2.0;"PRO: attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole || V251_DIAGNOSTICS[BaseScore=72.54;StrongDefense=-1.00;RecentForm=0.00;Restart=-1.00;Total=-2.00] || CONTRO V251: difesa solida (0.88 GA/gara) | una squadra ancora in fase di ripresa"
2026-09-06;Peru_Liga1_Clausura;Deportivo Garcilaso;Grau;OK;39.86;37.86;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: nessun indicatore over forte || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=39.86;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.50 GA/gara)"
2026-09-06;Peru_Liga1_Clausura;Juan Pablo 2;A. Lima;KO;52.33;51.33;-1.0;BASSA;BASSA;-1.0;0.0;0.0;-1.0;"PRO: attacco casa positivo | difesa casa vulnerabile || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=52.33;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.83 GA/gara)"
2026-09-06;Poland_Division1;Arka;LKS Lodz;KO;43.9;42.9;-1.0;BASSA;BASSA;-1.0;0.0;0.0;-1.0;"PRO: attacco casa positivo | attacco trasferta positivo | trend over recente trasferta | profilo over interno positivo || CONTRO: trend over casa non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico || CONTRO V25: v25: sfida equilibrata di alta classifica (gap punti 1.0, gap PPG 0.17) con difesa trasferta sotto 1 gol subito a partita || V251_DIAGNOSTICS[BaseScore=43.90;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.83 GA/gara)"
2026-09-06;Poland_Division2;Pruszkow;Hutnik Krakow;OK;46.84;44.84;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: attacco casa positivo | attacco trasferta positivo || CONTRO: trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || CONTRO V25: v25: sfida equilibrata di alta classifica (gap punti 1.0, gap PPG 0.17) con difesa trasferta sotto 1 gol subito a partita | v25 extra: difesa stagionale molto solida (0.67 GA per partita) || V251_DIAGNOSTICS[BaseScore=46.84;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.67 GA/gara)"
