MatchId;PredictionDate;MatchDate;LeagueId;Round;Home;Away;Score;Band;Outcome;HG;AG;Goals;AlgorithmVersion;ResolvedResultFile;ResolvedMatchDate;HomeRecentMatches;HomeRecentPoints;HomeRecentPPG5;HomeRecentWins5;HomeRecentDraws5;HomeRecentLosses5;HomeRecentGF5;HomeRecentGA5;HomeRecentOver25Rate5;AwayRecentMatches;AwayRecentPoints;AwayRecentPPG5;AwayRecentWins5;AwayRecentDraws5;AwayRecentLosses5;AwayRecentGF5;AwayRecentGA5;AwayRecentOver25Rate5;WorstRecentPPG5;AverageRecentPPG5;BothBelow080;BothWinless5;RecentFormBucket;ProposedPenalty;SimulatedScore;SimulatedBand;WouldLeaveAlta
31;2026-07-07;;USA_USLLeagueTwo_Heartland;24;Rochester FC;Minneapolis City;76.36;ALTA;OK;0;4;4;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Heartland.csv;2026-07-07;5;3;0.6000;1;0;4;4;13;0.8000;5;15;3.0000;5;0;0;17;4;1.0000;0.6000;1.8000;0;0;0.40-0.79;2;74.36;MEDIA;1
32;2026-07-07;;USA_USLLeagueTwo_LoneStar;26;Lonestar SC;Hill Country Lobos;84.1;ALTA;OK;4;4;8;2.5.0;data\storico\risultati\USA_USLLeagueTwo_LoneStar.csv;2026-07-08;5;10;2.0000;3;1;1;11;10;0.8000;5;3;0.6000;1;0;4;10;18;1.0000;0.6000;1.3000;0;0;0.40-0.79;2;82.10;ALTA;0
33;2026-07-07;;USA_USLLeagueTwo_Northeast;30;Black Rock;Seacoast Utd Phantoms;83.5;ALTA;OK;3;3;6;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Northeast.csv;2026-07-08;5;10;2.0000;3;1;1;9;7;0.8000;5;7;1.4000;2;1;2;13;12;1.0000;1.4000;1.7000;0;0;>=1.20;0;83.50;ALTA;0
35;2026-07-07;;USA_USLLeagueTwo_Valley;25;Kings Hammer Columbus;Dayton;64.18;MEDIA;OK;2;1;3;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Valley.csv;2026-07-07;5;9;1.8000;3;0;2;10;7;0.8000;5;9;1.8000;3;0;2;7;5;0.4000;1.8000;1.8000;0;0;>=1.20;0;64.18;MEDIA;0
37;2026-07-08;;Bhutan_PremierLeague;9;Paro;Tensung;63.5;MEDIA;OK;4;0;4;2.5.0;data\storico\risultati\Bhutan_PremierLeague.csv;2026-07-09;5;15;3.0000;5;0;0;25;3;0.8000;5;2;0.4000;0;2;3;2;7;0.2000;0.4000;1.7000;0;0;0.40-0.79;2;61.50;MEDIA;0
38;2026-07-08;;Finland_Kakkonen_GroupC;14;Jaro 2;SJK Akatemia 2;86.59;ALTA;OK;2;3;5;2.5.0;data\storico\risultati\Finland_Kakkonen_GroupC.csv;2026-07-09;5;9;1.8000;3;0;2;8;17;1.0000;5;6;1.2000;2;0;3;6;11;1.0000;1.2000;1.5000;0;0;>=1.20;0;86.59;ALTA;0
39;2026-07-08;;Kyrgyzstan_PremierLiga;16;Alga;Dordoi Bishkek;64.28;MEDIA;KO;1;1;2;2.5.0;data\storico\risultati\Kyrgyzstan_PremierLiga.csv;2026-07-09;5;15;3.0000;5;0;0;12;4;0.8000;5;7;1.4000;2;1;2;6;7;0.4000;1.4000;2.2000;0;0;>=1.20;0;64.28;MEDIA;0
41;2026-07-08;;USA_MLSNextPro_WesternConference_PacificDivision;20;Vancouver 2;Ventura County;73.3;MEDIA;OK;3;2;5;2.5.0;data\storico\risultati\USA_MLSNextPro_WesternConference_PacificDivision.csv;2026-07-09;5;4;0.8000;1;1;3;5;7;0.4000;5;10;2.0000;3;1;1;9;5;0.6000;0.8000;1.4000;0;0;0.80-1.19;1;72.30;MEDIA;0
42;2026-07-08;;USA_USLLeagueTwo_Chesapeake;27;Christos;Loudoun 2;86.39;ALTA;OK;3;4;7;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Chesapeake.csv;2026-07-09;5;9;1.8000;3;0;2;8;12;0.6000;5;12;2.4000;4;0;1;17;7;1.0000;1.8000;2.1000;0;0;>=1.20;0;86.39;ALTA;0
43;2026-07-08;;USA_USLLeagueTwo_GreatForest;25;Akron City;Pittsburgh Riverhounds 2;76.88;ALTA;OK;4;0;4;2.5.0;data\storico\risultati\USA_USLLeagueTwo_GreatForest.csv;2026-07-09;5;9;1.8000;3;0;2;15;4;0.8000;5;10;2.0000;3;1;1;10;6;0.8000;1.8000;1.9000;0;0;>=1.20;0;76.88;ALTA;0
