Engine;SourceFile;StandingsSource;MatchDate;LeagueId;Home;Away;TeamsCount;RelegationStartPosition;HomePosition;AwayPosition;HomePlayed;AwayPlayed;HomePoints;AwayPoints;PointsGap;OriginalBand;FinalBand;Decision
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Kyrgyzstan_PremierLiga;Toktogul;Ozgon;16;13;14;3;16;17;13;36;23;MEDIA;MEDIA;AWAY_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Iceland_Division_1;Leiknir;Fylkir;15;12;7;3;17;19;22;33;11;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;SouthKorea_KLeague2;Asan;Ansan Greeners;17;14;7;15;19;19;27;18;9;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Australia_NPLSouthAustralia;Campbelltown City;FK Beograd;18;15;10;4;21;21;24;36;12;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Iceland_Division_1;Afturelding;Grindavik;15;12;1;10;16;17;34;18;16;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Sweden_Superettan;Östersund;Sundsvall;20;17;4;16;17;17;29;9;20;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Sweden_Division2_NorraSvealand;Kungsangen;Lidingo IFK;18;15;12;11;16;15;10;11;1;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Australia_VictoriaPremierLeague2;Bayside Argonauts;Box Hill;14;11;4;7;22;23;41;30;11;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;SouthKorea_KLeague2;Suwon Bluewings;Gimhae;17;14;1;17;19;18;37;11;26;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Sweden_Division1_Sodra;Kristianstad;Angelholm;20;17;14;11;16;15;15;17;2;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Australia_NSWLeagueOne;Prospect United;Western City Rangers;24;21;15;16;26;26;19;19;0;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Kyrgyzstan_PremierLiga;Dordoi Bishkek;Neftchi Kochkor-Ata;16;13;8;9;17;17;21;20;1;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Estonia_Meistriliiga;Kuressaare;Harju JK Laagri;11;8;9;7;22;21;18;25;7;BASSA;BASSA;AWAY_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Lithuania_ILyga;Jonava;Ekranas;16;13;10;16;18;18;23;8;15;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Norway_Eliteserien;Sandefjord;KFUM Oslo;16;13;12;13;15;15;15;15;0;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Veikkausliiga;SJK;Gnistan;12;9;10;5;18;18;17;28;11;BASSA;BASSA;AWAY_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;FaroeIslands_PremierLeague;07 Vestur Sorvagur;Streymur;10;7;9;7;17;17;13;17;4;BASSA;PROX-RELEGATION;FLAGGED
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Bolivia_DivisionProfesional;Blooming;Always Ready;16;13;7;1;12;12;17;29;12;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Belarus_VysshayaLiga;Naftan;Arsenal Dzerzhinsk;17;14;16;10;15;16;7;21;14;BASSA;BASSA;AWAY_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Lithuania_ILyga;Hegelmann Litauen 2;Garliava;16;13;13;11;18;17;13;22;9;BASSA;BASSA;AWAY_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Kyrgyzstan_PremierLiga;Talant;Ilbirs;16;13;10;13;17;17;19;16;3;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;SouthKorea_KLeague2;Gimpo FC;Cheongju Jikji;17;14;8;14;19;19;27;19;8;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Kolmonen_Western_Group1;LTU U20;ÅCF;13;10;9;12;12;13;11;8;3;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Somalia_NationalLeague;Elman;Jeenyo;12;9;5;9;20;20;36;20;16;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Belarus_VysshayaLiga;Slavia Mozyr;Dnepr Mogilev;17;14;11;13;15;16;15;12;3;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Ykkosliiga;Haka;Jippo;12;9;3;2;15;17;28;31;3;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Kazakhstan_FirstLeague;Jaiyq;Taraz;14;11;7;6;16;16;23;23;0;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Ykkosliiga;JaPS;Mikkeli;12;9;5;6;15;16;22;21;1;BASSA;BASSA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Kolmonen_Eastern_Group1;SaPa;FC Metso;11;8;9;2;2;11;4;23;19;BASSA;BASSA;UNDER_MIN_MATCHES
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Kolmonen_Western_Group3;VIFK;Sundom IF;13;;;;;;;;;BASSA;BASSA;AWAY_NOT_FOUND
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Kolmonen_Western_Group3;Kiisto;SJK-j;13;;;;;;;;;BASSA;BASSA;HOME_NOT_FOUND
