Country;League;Season;SnapshotRound;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points
Norway;3rd Division Group 1;2026;6;8;Union Carl Berner;6;2;1;3;8;12;-4;7
Norway;3rd Division Group 1;2026;6;9;Grei;6;2;1;3;13;19;-6;7
Norway;3rd Division Group 1;2026;6;10;Vålerenga 2;6;2;1;3;14;21;-7;7
Norway;3rd Division Group 1;2026;6;11;Konnerud;6;2;0;4;11;16;-5;6
Norway;3rd Division Group 1;2026;6;12;Ullern;6;1;1;4;10;18;-8;4
Norway;3rd Division Group 1;2026;6;13;K. Oslo 2;6;1;0;5;10;21;-11;3
Norway;3rd Division Group 1;2026;6;14;Nordstrand;6;1;0;5;6;17;-11;3
Norway;3rd Division Group 1;2026;7;1;Asker;7;7;0;0;27;5;22;21
Norway;3rd Division Group 1;2026;7;2;Gamle Oslo;7;5;1;1;30;17;13;16
Norway;3rd Division Group 1;2026;7;3;Ready;7;4;3;0;18;6;12;15
Norway;3rd Division Group 1;2026;7;4;Baerum Sportsklubb;7;4;1;2;20;13;7;13
Norway;3rd Division Group 1;2026;7;5;Heming;7;4;1;2;14;10;4;13
Norway;3rd Division Group 1;2026;7;6;Union Carl Berner;7;3;1;3;16;12;4;10
Norway;3rd Division Group 1;2026;7;7;Frigg;7;3;1;3;17;16;1;10
Norway;3rd Division Group 1;2026;7;8;Vålerenga 2;7;3;1;3;17;21;-4;10
Norway;3rd Division Group 1;2026;7;9;Grei;7;2;1;4;14;22;-8;7
Norway;3rd Division Group 1;2026;7;10;Lokomotiv Oslo;7;2;1;4;13;25;-12;7
Norway;3rd Division Group 1;2026;7;11;Konnerud;7;2;0;5;11;18;-7;6
Norway;3rd Division Group 1;2026;7;12;Nordstrand;7;2;0;5;8;17;-9;6
Norway;3rd Division Group 1;2026;7;13;Ullern;7;1;1;5;11;20;-9;4
Norway;3rd Division Group 1;2026;7;14;K. Oslo 2;7;1;0;6;10;24;-14;3
Norway;3rd Division Group 1;2026;8;1;Asker;8;7;0;1;27;9;18;21
Norway;3rd Division Group 1;2026;8;2;Gamle Oslo;8;6;1;1;34;17;17;19
Norway;3rd Division Group 1;2026;8;3;Ready;8;5;3;0;22;8;14;18
Norway;3rd Division Group 1;2026;8;4;Heming;8;5;1;2;20;11;9;16
Norway;3rd Division Group 1;2026;8;5;Baerum Sportsklubb;8;4;1;3;22;17;5;13
Norway;3rd Division Group 1;2026;8;6;Union Carl Berner;8;4;1;3;17;12;5;13
Norway;3rd Division Group 1;2026;8;7;Frigg;8;3;1;4;18;18;0;10
Norway;3rd Division Group 1;2026;8;8;Vålerenga 2;8;3;1;4;18;27;-9;10
Norway;3rd Division Group 1;2026;8;9;Konnerud;8;3;0;5;15;21;-6;9
Norway;3rd Division Group 1;2026;8;10;Nordstrand;8;3;0;5;10;18;-8;9
Norway;3rd Division Group 1;2026;8;11;Grei;8;2;1;5;16;25;-9;7
Norway;3rd Division Group 1;2026;8;12;Lokomotiv Oslo;8;2;1;5;16;29;-13;7
Norway;3rd Division Group 1;2026;8;13;K. Oslo 2;8;2;0;6;13;26;-13;6
Norway;3rd Division Group 1;2026;8;14;Ullern;8;1;1;6;11;21;-10;4
Norway;3rd Division Group 1;2026;9;1;Asker;9;7;1;1;29;11;18;22
Norway;3rd Division Group 1;2026;9;2;Gamle Oslo;9;6;1;2;35;20;15;19
Norway;3rd Division Group 1;2026;9;3;Ready;9;5;4;0;24;10;14;19
Norway;3rd Division Group 1;2026;9;4;Heming;9;6;1;2;22;11;11;19
Norway;3rd Division Group 1;2026;9;5;Baerum Sportsklubb;9;5;1;3;27;17;10;16
Norway;3rd Division Group 1;2026;9;6;Union Carl Berner;9;4;1;4;17;14;3;13
Norway;3rd Division Group 1;2026;9;7;Frigg;9;4;1;4;21;19;2;13
Norway;3rd Division Group 1;2026;9;8;Vålerenga 2;9;4;1;4;19;27;-8;13
Norway;3rd Division Group 1;2026;9;9;Nordstrand;9;3;1;5;12;20;-8;10
Norway;3rd Division Group 1;2026;9;10;Konnerud;9;3;0;6;16;23;-7;9
Norway;3rd Division Group 1;2026;9;11;Ullern;9;2;1;6;13;22;-9;7
Norway;3rd Division Group 1;2026;9;12;K. Oslo 2;9;2;1;6;15;28;-13;7
Norway;3rd Division Group 1;2026;9;13;Grei;9;2;1;6;16;30;-14;7
Norway;3rd Division Group 1;2026;9;14;Lokomotiv Oslo;9;2;1;6;16;30;-14;7
Norway;3rd Division Group 1;2026;10;1;Asker;10;8;1;1;35;11;24;25
Norway;3rd Division Group 1;2026;10;2;Ready;10;6;4;0;29;13;16;22
Norway;3rd Division Group 1;2026;10;3;Gamle Oslo;10;6;1;3;37;23;14;19
Norway;3rd Division Group 1;2026;10;4;Baerum Sportsklubb;10;6;1;3;31;18;13;19
Norway;3rd Division Group 1;2026;10;5;Heming;10;6;1;3;23;15;8;19
Norway;3rd Division Group 1;2026;10;6;Frigg;10;5;1;4;25;20;5;16
Norway;3rd Division Group 1;2026;10;7;Union Carl Berner;10;5;1;4;18;14;4;16
Norway;3rd Division Group 1;2026;10;8;Vålerenga 2;10;5;1;4;22;29;-7;16
Norway;3rd Division Group 1;2026;10;9;Ullern;10;3;1;6;16;24;-8;10
Norway;3rd Division Group 1;2026;10;10;Nordstrand;10;3;1;6;14;23;-9;10
Norway;3rd Division Group 1;2026;10;11;Konnerud;10;3;0;7;16;24;-8;9
Norway;3rd Division Group 1;2026;10;12;Grei;10;2;1;7;19;35;-16;7
Norway;3rd Division Group 1;2026;10;13;K. Oslo 2;10;2;1;7;16;32;-16;7
Norway;3rd Division Group 1;2026;10;14;Lokomotiv Oslo;10;2;1;7;16;36;-20;7
Norway;3rd Division Group 1;2026;11;1;Asker;11;9;1;1;37;11;26;28
Norway;3rd Division Group 1;2026;11;2;Baerum Sportsklubb;11;7;1;3;38;20;18;22
Norway;3rd Division Group 1;2026;11;3;Ready;11;6;4;1;30;15;15;22
Norway;3rd Division Group 1;2026;11;4;Heming;11;7;1;3;24;15;9;22
Norway;3rd Division Group 1;2026;11;5;Gamle Oslo;11;6;1;4;37;24;13;19
Norway;3rd Division Group 1;2026;11;6;Frigg;11;6;1;4;28;21;7;19
Norway;3rd Division Group 1;2026;11;7;Union Carl Berner;11;6;1;4;20;15;5;19
Norway;3rd Division Group 1;2026;11;8;Vålerenga 2;11;6;1;4;24;30;-6;19
Norway;3rd Division Group 1;2026;11;9;Ullern;11;3;1;7;18;27;-9;10
Norway;3rd Division Group 1;2026;11;10;Nordstrand;11;3;1;7;14;25;-11;10
Norway;3rd Division Group 1;2026;11;11;K. Oslo 2;11;3;1;7;19;34;-15;10
Norway;3rd Division Group 1;2026;11;12;Konnerud;11;3;0;8;18;31;-13;9
Norway;3rd Division Group 1;2026;11;13;Grei;11;2;1;8;20;37;-17;7
Norway;3rd Division Group 1;2026;11;14;Lokomotiv Oslo;11;2;1;8;17;39;-22;7
Norway;3rd Division Group 1;2026;12;1;Asker;11;9;1;1;37;11;26;28
Norway;3rd Division Group 1;2026;12;2;Gamle Oslo;12;7;1;4;43;25;18;22
Norway;3rd Division Group 1;2026;12;3;Baerum Sportsklubb;11;7;1;3;38;20;18;22
Norway;3rd Division Group 1;2026;12;4;Ready;11;6;4;1;30;15;15;22
Norway;3rd Division Group 1;2026;12;5;Heming;11;7;1;3;24;15;9;22
Norway;3rd Division Group 1;2026;12;6;Frigg;11;6;1;4;28;21;7;19
Norway;3rd Division Group 1;2026;12;7;Union Carl Berner;11;6;1;4;20;15;5;19
Norway;3rd Division Group 1;2026;12;8;Vålerenga 2;11;6;1;4;24;30;-6;19
Norway;3rd Division Group 1;2026;12;9;Ullern;11;3;1;7;18;27;-9;10
Norway;3rd Division Group 1;2026;12;10;Nordstrand;11;3;1;7;14;25;-11;10
Norway;3rd Division Group 1;2026;12;11;K. Oslo 2;11;3;1;7;19;34;-15;10
Norway;3rd Division Group 1;2026;12;12;Konnerud;11;3;0;8;18;31;-13;9
Norway;3rd Division Group 1;2026;12;13;Grei;11;2;1;8;20;37;-17;7
Norway;3rd Division Group 1;2026;12;14;Lokomotiv Oslo;12;2;1;9;18;45;-27;7
