PredictionDate;MatchDate;LeagueId;Home;Away;Outcome;OriginalScore;OriginalBand;Last7Score;Last7Band;ScoreDelta;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;OriginalHomeLast10Score;OriginalAwayLast10Score;HomeLast7Rate;AwayLast7Rate;HomeLast7Score;AwayLast7Score;HomeLast7Count;AwayLast7Count;HomeLast7Sequence;AwayLast7Sequence;Transition
2026-07-04;2026-07-04;Finland_Kakkonen_GroupC;Narpes Kraft;Jaro 2;OK;75.4;ALTA;25.71;BASSA;-49.69;0.0;0.0;0.0;0.0;0.0;1.0;0.7143;15.0;10.71;7;7;1111111;0011111;ALTA_TO_NON_ALTA
2026-07-10;2026-07-10;Australia_NPLQueensland;Peninsula;Wynnum Wolves;KO;76.5;ALTA;74.57;MEDIA-ALTA;-1.93;6.0;25.0;20.0;12.0;13.5;0.7143;0.8571;10.71;12.86;7;7;0110111;1111110;ALTA_TO_NON_ALTA
2026-07-11;2026-07-11;Australia_QueenslandPremierLeague;Redlands;Capalaba;KO;77.24;ALTA;74.67;MEDIA-ALTA;-2.57;7.06;21.18;25.0;12.0;12.0;0.8571;0.5714;12.86;8.57;7;7;0111111;1011100;ALTA_TO_NON_ALTA
2026-07-11;2026-07-11;Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Olympia Warriors;OK;76.25;ALTA;74.96;MEDIA-ALTA;-1.29;7.58;25.0;16.67;15.0;12.0;1.0;0.7143;15.0;10.71;7;7;1111111;1101110;ALTA_TO_NON_ALTA
2026-07-18;2026-07-18;Latvia_Virsliga;Riga FC;Tukums 2000;OK;76.13;ALTA;73.56;MEDIA-ALTA;-2.57;6.02;25.0;21.11;12.0;12.0;0.5714;0.8571;8.57;12.86;7;7;0111001;1011111;ALTA_TO_NON_ALTA
2026-07-25;2026-07-25;Australia_NPLQueensland;Gold Coast Knights;Gold Coast;KO;75.8;ALTA;73.23;MEDIA-ALTA;-2.57;9.24;22.0;20.56;13.5;10.5;0.8571;0.5714;12.86;8.57;7;7;1111101;1010110;ALTA_TO_NON_ALTA
2026-07-25;2026-07-25;Norway_3rdDivision_Group1;Baerum Sportsklubb;Vålerenga 2;OK;75.78;ALTA;73.85;MEDIA-ALTA;-1.93;0.28;25.0;25.0;12.0;13.5;0.7143;0.8571;10.71;12.86;7;7;0111110;1011111;ALTA_TO_NON_ALTA
2026-07-26;2026-07-26;USA_USLLeagueOne;Charlotte Independ.;Richmond Kickers;OK;76.37;ALTA;72.51;MEDIA-ALTA;-3.86;14.12;22.5;18.75;12.0;9.0;0.7143;0.4286;10.71;6.43;7;7;1011011;1001010;ALTA_TO_NON_ALTA
2026-07-31;2026-08-01;Norway_3rdDivision_Group1;Vålerenga 2;Lokomotiv Oslo;OK;76.6;ALTA;74.67;MEDIA-ALTA;-1.93;3.96;22.14;25.0;13.5;12.0;0.8571;0.7143;12.86;10.71;7;7;0111111;1101110;ALTA_TO_NON_ALTA
2026-07-31;2026-08-01;Australia_NPLACT;Monaro Panthers;O'Connor Knights;KO;75.59;ALTA;73.24;MEDIA-ALTA;-2.35;11.72;25.0;19.38;13.5;6.0;0.8571;0.2857;12.86;4.29;7;7;1011111;1010000;ALTA_TO_NON_ALTA
2026-07-31;2026-08-01;Australia_NPLACT;Queanbeyan City;Brindabella;OK;75.02;ALTA;72.45;MEDIA-ALTA;-2.57;6.02;20.0;25.0;13.5;10.5;0.8571;0.5714;12.86;8.57;7;7;1111110;0111010;ALTA_TO_NON_ALTA
2026-08-04;2026-08-04;Finland_Kakkonen_GroupB;Ilves 2;MuSa;OK;77.04;ALTA;73.83;MEDIA-ALTA;-3.21;4.54;25.0;25.0;12.0;10.5;0.7143;0.5714;10.71;8.57;7;7;0110111;0011110;ALTA_TO_NON_ALTA
2026-08-04;2026-08-05;Finland_Kolmonen_Eastern_Group2;KuPS/Akatemia II;ToU;OK;77.68;ALTA;74.47;MEDIA-ALTA;-3.21;7.32;22.86;25.0;10.5;12.0;0.5714;0.7143;8.57;10.71;7;7;1110001;0101111;ALTA_TO_NON_ALTA
2026-08-07;2026-08-07;Australia_NPLQueensland;Queensland Lions;Brisbane Roar U23;OK;78.68;ALTA;74.82;MEDIA-ALTA;-3.86;10.18;25.0;22.5;9.0;12.0;0.4286;0.7143;6.43;10.71;7;7;1101000;1110110;ALTA_TO_NON_ALTA
2026-08-07;2026-08-07;Finland_Kolmonen_Western_Group2;FC LeKi;ACE;OK;75.66;ALTA;74.37;MEDIA-ALTA;-1.29;3.66;20.0;25.0;12.0;15.0;0.7143;1.0;10.71;15.0;7;7;0111110;1111111;ALTA_TO_NON_ALTA
2026-08-08;2026-08-08;Norway_3rdDivision_Group5;Harstad;Skjervoy;OK;75.91;ALTA;73.98;MEDIA-ALTA;-1.93;1.12;25.0;24.29;13.5;12.0;0.8571;0.7143;12.86;10.71;7;7;1111011;1001111;ALTA_TO_NON_ALTA
2026-08-08;2026-08-08;Norway_3rdDivision_Group3;Fana;Gneist;OK;75.37;ALTA;74.94;MEDIA-ALTA;-0.43;2.08;24.29;25.0;12.0;12.0;0.8571;0.7143;12.86;10.71;7;7;1101111;1100111;ALTA_TO_NON_ALTA
