Engine;MaxPPGGap;MinMatchesPlayed;PROX_OK;PROX_KO;PROX_Total;PROX_HitRate;ALTA_OriginalOK;ALTA_OriginalKO;ALTA_OriginalHitRate;PROX_ALTA_OK;PROX_ALTA_KO;PROX_ALTA_Total;PROX_ALTA_HitRate;RemainingALTAOK;RemainingALTAKO;RemainingALTATotal;RemainingALTAHitRate;ALTADelta;MEDIA_OriginalOK;MEDIA_OriginalKO;MEDIA_OriginalHitRate;PROX_MEDIA_OK;PROX_MEDIA_KO;PROX_MEDIA_Total;PROX_MEDIA_HitRate;RemainingMEDIAOK;RemainingMEDIAKO;RemainingMEDIATotal;RemainingMEDIAHitRate;MEDIADelta;BASSA_OriginalOK;BASSA_OriginalKO;BASSA_OriginalHitRate;PROX_BASSA_OK;PROX_BASSA_KO;PROX_BASSA_Total;PROX_BASSA_HitRate;RemainingBASSAOK;RemainingBASSAKO;RemainingBASSATotal;RemainingBASSAHitRate;BASSADelta
v21;0.25;10;249;163;412;60.4369;527;237;68.9791;116;49;165;70.303;411;188;599;68.6144;-0.3647;423;279;60.2564;95;71;166;57.2289;328;208;536;61.194;0.9376;171;153;52.7778;38;43;81;46.9136;133;110;243;54.7325;1.9547
v21;0.5;10;485;314;799;60.7009;527;237;68.9791;221;97;318;69.4969;306;140;446;68.6099;-0.3692;423;279;60.2564;190;131;321;59.19;233;148;381;61.1549;0.8985;171;153;52.7778;74;86;160;46.25;97;67;164;59.1463;6.3685
v21;0.4;10;392;254;646;60.6811;527;237;68.9791;178;77;255;69.8039;349;160;509;68.5658;-0.4133;423;279;60.2564;157;106;263;59.6958;266;173;439;60.5923;0.3359;171;153;52.7778;57;71;128;44.5312;114;82;196;58.1633;5.3855
v21;0.05;10;49;23;72;68.0556;527;237;68.9791;21;4;25;84.0;506;233;739;68.4709;-0.5082;423;279;60.2564;23;10;33;69.697;400;269;669;59.7907;-0.4657;171;153;52.7778;5;9;14;35.7143;166;144;310;53.5484;0.7706
v21;0.2;10;205;131;336;61.0119;527;237;68.9791;95;38;133;71.4286;432;199;631;68.4628;-0.5163;423;279;60.2564;84;59;143;58.7413;339;220;559;60.644;0.3876;171;153;52.7778;26;34;60;43.3333;145;119;264;54.9242;2.1464
v21;0.1;10;105;59;164;64.0244;527;237;68.9791;50;15;65;76.9231;477;222;699;68.2403;-0.7388;423;279;60.2564;43;25;68;63.2353;380;254;634;59.9369;-0.3195;171;153;52.7778;12;19;31;38.7097;159;134;293;54.2662;1.4884
v21;0.15;10;145;84;229;63.3188;527;237;68.9791;68;21;89;76.4045;459;216;675;68.0;-0.9791;423;279;60.2564;58;38;96;60.4167;365;241;606;60.231;-0.0254;171;153;52.7778;19;25;44;43.1818;152;128;280;54.2857;1.5079
v21dev;0.3;10;285;200;485;58.7629;520;233;69.0571;127;62;189;67.1958;393;171;564;69.6809;0.6238;410;278;59.593;112;87;199;56.2814;298;191;489;60.9407;1.3477;171;151;53.1056;46;51;97;47.4227;125;100;225;55.5556;2.45
v21dev;0.5;10;477;312;789;60.4563;520;233;69.0571;217;97;314;69.1083;303;136;439;69.0205;-0.0366;410;278;59.593;186;130;316;58.8608;224;148;372;60.2151;0.6221;171;151;53.1056;74;85;159;46.5409;97;66;163;59.5092;6.4036
v21dev;0.25;10;244;161;405;60.2469;520;233;69.0571;114;49;163;69.9387;406;184;590;68.8136;-0.2435;410;278;59.593;92;70;162;56.7901;318;208;526;60.4563;0.8633;171;151;53.1056;38;42;80;47.5;133;109;242;54.9587;1.8531
v21dev;0.4;10;386;252;638;60.5016;520;233;69.0571;176;77;253;69.5652;344;156;500;68.8;-0.2571;410;278;59.593;153;105;258;59.3023;257;173;430;59.7674;0.1744;171;151;53.1056;57;70;127;44.8819;114;81;195;58.4615;5.3559
v21dev;0.2;10;202;131;333;60.6607;520;233;69.0571;94;38;132;71.2121;426;195;621;68.599;-0.4581;410;278;59.593;82;59;141;58.156;328;219;547;59.9634;0.3704;171;151;53.1056;26;34;60;43.3333;145;117;262;55.3435;2.2379
v21dev;0.05;10;47;23;70;67.1429;520;233;69.0571;20;4;24;83.3333;500;229;729;68.5871;-0.47;410;278;59.593;22;10;32;68.75;388;268;656;59.1463;-0.4467;171;151;53.1056;5;9;14;35.7143;166;142;308;53.8961;0.7905
v21dev;0.1;10;103;59;162;63.5802;520;233;69.0571;49;15;64;76.5625;471;218;689;68.3599;-0.6972;410;278;59.593;42;25;67;62.6866;368;253;621;59.2593;-0.3337;171;151;53.1056;12;19;31;38.7097;159;132;291;54.6392;1.5336
v21dev;0.15;10;142;84;226;62.8319;520;233;69.0571;66;21;87;75.8621;454;212;666;68.1682;-0.8889;410;278;59.593;57;38;95;60.0;353;240;593;59.5278;-0.0652;171;151;53.1056;19;25;44;43.1818;152;126;278;54.6763;1.5707
v22;0.3;10;285;200;485;58.7629;438;182;70.6452;113;48;161;70.1863;325;134;459;70.8061;0.1609;428;281;60.3667;106;84;190;55.7895;322;197;519;62.0424;1.6757;235;199;54.1475;66;68;134;49.2537;169;131;300;56.3333;2.1858
v22;0.05;10;47;23;70;67.1429;438;182;70.6452;18;3;21;85.7143;420;179;599;70.1169;-0.5283;428;281;60.3667;21;10;31;67.7419;407;271;678;60.0295;-0.3372;235;199;54.1475;8;10;18;44.4444;227;189;416;54.5673;0.4198
v22;0.25;10;244;161;405;60.2469;438;182;70.6452;102;38;140;72.8571;336;144;480;70.0;-0.6452;428;281;60.3667;89;66;155;57.4194;339;215;554;61.1913;0.8246;235;199;54.1475;53;57;110;48.1818;182;142;324;56.1728;2.0253
v22;0.4;10;386;252;638;60.5016;438;182;70.6452;157;61;218;72.0183;281;121;402;69.9005;-0.7447;428;281;60.3667;147;103;250;58.8;281;178;459;61.22;0.8533;235;199;54.1475;82;88;170;48.2353;153;111;264;57.9545;3.807
v22;0.2;10;202;131;333;60.6607;438;182;70.6452;84;29;113;74.3363;354;153;507;69.8225;-0.8227;428;281;60.3667;79;57;136;58.0882;349;224;573;60.9075;0.5408;235;199;54.1475;39;45;84;46.4286;196;154;350;56.0;1.8525
v22;0.1;10;103;59;162;63.5802;438;182;70.6452;43;11;54;79.6296;395;171;566;69.788;-0.8572;428;281;60.3667;41;25;66;62.1212;387;256;643;60.1866;-0.1801;235;199;54.1475;19;23;42;45.2381;216;176;392;55.102;0.9545
v22;0.15;10;142;84;226;62.8319;438;182;70.6452;58;15;73;79.4521;380;167;547;69.4698;-1.1754;428;281;60.3667;55;37;92;59.7826;373;244;617;60.4538;0.0871;235;199;54.1475;29;32;61;47.541;206;167;373;55.2279;1.0804
v22;0.5;10;477;312;789;60.4563;438;182;70.6452;192;73;265;72.4528;246;109;355;69.2958;-1.3494;428;281;60.3667;181;131;312;58.0128;247;150;397;62.2166;1.8499;235;199;54.1475;104;108;212;49.0566;131;91;222;59.009;4.8615
v23;0.3;10;257;177;434;59.2166;366;156;70.1149;96;44;140;68.5714;270;112;382;70.6806;0.5657;341;236;59.0988;92;71;163;56.4417;249;165;414;60.1449;1.0461;261;200;56.6161;69;62;131;52.6718;192;138;330;58.1818;1.5657
v23;0.4;10;341;225;566;60.2473;366;156;70.1149;134;56;190;70.5263;232;100;332;69.8795;-0.2354;341;236;59.0988;122;90;212;57.5472;219;146;365;60.0;0.9012;261;200;56.6161;85;79;164;51.8293;176;121;297;59.2593;2.6432
v23;0.05;10;43;23;66;65.1515;366;156;70.1149;16;3;19;84.2105;350;153;503;69.5825;-0.5324;341;236;59.0988;20;10;30;66.6667;321;226;547;58.6837;-0.4151;261;200;56.6161;7;10;17;41.1765;254;190;444;57.2072;0.5911
v23;0.25;10;219;141;360;60.8333;366;156;70.1149;87;34;121;71.9008;279;122;401;69.5761;-0.5388;341;236;59.0988;76;56;132;57.5758;265;180;445;59.5506;0.4518;261;200;56.6161;56;51;107;52.3364;205;149;354;57.9096;1.2935
v23;0.1;10;90;52;142;63.3803;366;156;70.1149;35;10;45;77.7778;331;146;477;69.392;-0.7229;341;236;59.0988;35;21;56;62.5;306;215;521;58.7332;-0.3656;261;200;56.6161;20;21;41;48.7805;241;179;420;57.381;0.7649
v23;0.2;10;182;118;300;60.6667;366;156;70.1149;72;26;98;73.4694;294;130;424;69.3396;-0.7753;341;236;59.0988;69;49;118;58.4746;272;187;459;59.2593;0.1605;261;200;56.6161;41;43;84;48.8095;220;157;377;58.3554;1.7393
v23;0.15;10;126;77;203;62.069;366;156;70.1149;50;14;64;78.125;316;142;458;68.9956;-1.1193;341;236;59.0988;46;32;78;58.9744;295;204;499;59.1182;0.0194;261;200;56.6161;30;31;61;49.1803;231;169;400;57.75;1.1339
v23;0.5;10;423;279;702;60.2564;366;156;70.1149;163;64;227;71.8062;203;92;295;68.8136;-1.3013;341;236;59.0988;152;114;266;57.1429;189;122;311;60.7717;1.6729;261;200;56.6161;108;101;209;51.6746;153;99;252;60.7143;4.0982
v24;0.3;10;257;177;434;59.2166;614;316;66.0215;161;94;255;63.1373;453;222;675;67.1111;1.0896;225;157;58.9005;65;53;118;55.0847;160;104;264;60.6061;1.7056;129;119;52.0161;31;30;61;50.8197;98;89;187;52.4064;0.3903
v24;0.4;10;341;225;566;60.2473;614;316;66.0215;224;119;343;65.3061;390;197;587;66.4395;0.418;225;157;58.9005;79;61;140;56.4286;146;96;242;60.3306;1.4301;129;119;52.0161;38;45;83;45.7831;91;74;165;55.1515;3.1354
v24;0.5;10;423;279;702;60.2564;614;316;66.0215;275;143;418;65.7895;339;173;512;66.2109;0.1894;225;157;58.9005;100;80;180;55.5556;125;77;202;61.8812;2.9807;129;119;52.0161;48;56;104;46.1538;81;63;144;56.25;4.2339
v24;0.25;10;219;141;360;60.8333;614;316;66.0215;141;73;214;65.8879;473;243;716;66.0615;0.04;225;157;58.9005;52;44;96;54.1667;173;113;286;60.4895;1.589;129;119;52.0161;26;24;50;52.0;103;95;198;52.0202;0.0041
v24;0.2;10;182;118;300;60.6667;614;316;66.0215;121;61;182;66.4835;493;255;748;65.9091;-0.1124;225;157;58.9005;43;36;79;54.4304;182;121;303;60.066;1.1655;129;119;52.0161;18;21;39;46.1538;111;98;209;53.11;1.0939
v24;0.05;10;43;23;66;65.1515;614;316;66.0215;30;10;40;75.0;584;306;890;65.618;-0.4035;225;157;58.9005;9;6;15;60.0;216;151;367;58.8556;-0.0449;129;119;52.0161;4;7;11;36.3636;125;112;237;52.7426;0.7265
v24;0.1;10;90;52;142;63.3803;614;316;66.0215;62;26;88;70.4545;552;290;842;65.5582;-0.4633;225;157;58.9005;20;14;34;58.8235;205;143;348;58.908;0.0075;129;119;52.0161;8;12;20;40.0;121;107;228;53.0702;1.0541
v24;0.15;10;126;77;203;62.069;614;316;66.0215;87;37;124;70.1613;527;279;806;65.3846;-0.6369;225;157;58.9005;26;22;48;54.1667;199;135;334;59.5808;0.6803;129;119;52.0161;13;18;31;41.9355;116;101;217;53.4562;1.4401
v25;0.3;10;240;172;412;58.2524;372;151;71.1281;91;43;134;67.9104;281;108;389;72.2365;1.1084;356;241;59.6315;92;72;164;56.0976;264;169;433;60.97;1.3385;200;173;53.6193;57;57;114;50.0;143;116;259;55.2124;1.5931
v25;0.4;10;318;216;534;59.5506;372;151;71.1281;129;55;184;70.1087;243;96;339;71.6814;0.5533;356;241;59.6315;121;90;211;57.346;235;151;386;60.8808;1.2493;200;173;53.6193;68;71;139;48.9209;132;102;234;56.4103;2.791
v25;0.25;10;205;136;341;60.1173;372;151;71.1281;84;33;117;71.7949;288;118;406;70.936;-0.1921;356;241;59.6315;75;56;131;57.2519;281;185;466;60.3004;0.6689;200;173;53.6193;46;47;93;49.4624;154;126;280;55.0;1.3807
v25;0.2;10;170;113;283;60.0707;372;151;71.1281;70;26;96;72.9167;302;125;427;70.726;-0.4021;356;241;59.6315;66;48;114;57.8947;290;193;483;60.0414;0.4099;200;173;53.6193;34;39;73;46.5753;166;134;300;55.3333;1.714
v25;0.05;10;38;22;60;63.3333;372;151;71.1281;16;3;19;84.2105;356;148;504;70.6349;-0.4932;356;241;59.6315;17;8;25;68.0;339;233;572;59.2657;-0.3658;200;173;53.6193;5;11;16;31.25;195;162;357;54.6218;1.0025
v25;0.5;10;398;269;667;59.6702;372;151;71.1281;161;63;224;71.875;211;88;299;70.5686;-0.5595;356;241;59.6315;151;114;265;56.9811;205;127;332;61.747;2.1155;200;173;53.6193;86;92;178;48.3146;114;81;195;58.4615;4.8422
v25;0.1;10;82;49;131;62.5954;372;151;71.1281;34;9;43;79.0698;338;142;480;70.4167;-0.7114;356;241;59.6315;33;20;53;62.2642;323;221;544;59.375;-0.2565;200;173;53.6193;15;20;35;42.8571;185;153;338;54.7337;1.1144
v25;0.15;10;118;73;191;61.7801;372;151;71.1281;49;13;62;79.0323;323;138;461;70.0651;-1.063;356;241;59.6315;44;32;76;57.8947;312;209;521;59.8848;0.2533;200;173;53.6193;25;28;53;47.1698;175;145;320;54.6875;1.0682
v251;0.3;10;143;97;240;59.5833;211;89;70.3333;59;28;87;67.8161;152;61;213;71.3615;1.0282;185;137;57.4534;50;41;91;54.9451;135;96;231;58.4416;0.9882;125;98;56.0538;34;28;62;54.8387;91;70;161;56.5217;0.4679
v251;0.4;10;192;120;312;61.5385;211;89;70.3333;86;34;120;71.6667;125;55;180;69.4444;-0.8889;185;137;57.4534;65;53;118;55.0847;120;84;204;58.8235;1.3701;125;98;56.0538;41;33;74;55.4054;84;65;149;56.3758;0.322
v251;0.05;10;23;7;30;76.6667;211;89;70.3333;10;0;10;100.0;201;89;290;69.3103;-1.023;185;137;57.4534;10;5;15;66.6667;175;132;307;57.0033;-0.4501;125;98;56.0538;3;2;5;60.0;122;96;218;55.9633;-0.0905
v251;0.25;10;127;69;196;64.7959;211;89;70.3333;55;19;74;74.3243;156;70;226;69.0265;-1.3068;185;137;57.4534;43;28;71;60.5634;142;109;251;56.5737;-0.8797;125;98;56.0538;29;22;51;56.8627;96;76;172;55.814;-0.2398
v251;0.2;10;105;56;161;65.2174;211;89;70.3333;48;14;62;77.4194;163;75;238;68.4874;-1.8459;185;137;57.4534;37;24;61;60.6557;148;113;261;56.705;-0.7484;125;98;56.0538;20;18;38;52.6316;105;80;185;56.7568;0.703
v251;0.1;10;51;21;72;70.8333;211;89;70.3333;22;2;24;91.6667;189;87;276;68.4783;-1.855;185;137;57.4534;20;12;32;62.5;165;125;290;56.8966;-0.5568;125;98;56.0538;9;7;16;56.25;116;91;207;56.0386;-0.0152
v251;0.15;10;75;31;106;70.7547;211;89;70.3333;33;5;38;86.8421;178;84;262;67.9389;-2.3944;185;137;57.4534;27;15;42;64.2857;158;122;280;56.4286;-1.0248;125;98;56.0538;15;11;26;57.6923;110;87;197;55.8376;-0.2162
v251;0.5;10;234;150;384;60.9375;211;89;70.3333;108;37;145;74.4828;103;52;155;66.4516;-3.8817;185;137;57.4534;79;69;148;53.3784;106;68;174;60.9195;3.4661;125;98;56.0538;47;44;91;51.6484;78;54;132;59.0909;3.0371
