PointsGapMax;GoalsForGapMax;PROX_OK;PROX_KO;PROX_Total;PROX_HitRate;ALTA_OriginalOK;ALTA_OriginalKO;ALTA_OriginalHitRate;PROX_ALTA_OK;PROX_ALTA_KO;PROX_ALTA_Total;PROX_ALTA_HitRate;RemainingALTAOK;RemainingALTAKO;RemainingALTAHitRate;ALTADelta;MEDIA_OriginalOK;MEDIA_OriginalKO;MEDIA_OriginalHitRate;PROX_MEDIA_OK;PROX_MEDIA_KO;PROX_MEDIA_Total;PROX_MEDIA_HitRate;RemainingMEDIAOK;RemainingMEDIAKO;RemainingMEDIAHitRate;MEDIADelta;BASSA_OriginalOK;BASSA_OriginalKO;BASSA_OriginalHitRate;PROX_BASSA_OK;PROX_BASSA_KO;PROX_BASSA_Total;PROX_BASSA_HitRate;RemainingBASSAOK;RemainingBASSAKO;RemainingBASSAHitRate;BASSADelta
3;5;1375;1014;2389;57.5555;3362;1534;68.6683;386;220;606;63.6964;2976;1314;69.3706;0.7023;3081;2063;59.895;557;366;923;60.3467;2524;1697;59.7963;-0.0987;1507;1312;53.4587;432;428;860;50.2326;1075;884;54.8749;1.4162
3;6;1438;1116;2554;56.3038;3362;1534;68.6683;405;258;663;61.086;2957;1276;69.8559;1.1876;3081;2063;59.895;569;407;976;58.2992;2512;1656;60.2687;0.3737;1507;1312;53.4587;464;451;915;50.7104;1043;861;54.7794;1.3207
4;1;562;443;1005;55.9204;3362;1534;68.6683;111;95;206;53.8835;3251;1439;69.3177;0.6494;3081;2063;59.895;237;132;369;64.2276;2844;1931;59.5602;-0.3348;1507;1312;53.4587;214;216;430;49.7674;1293;1096;54.1231;0.6644
4;2;982;700;1682;58.3829;3362;1534;68.6683;243;138;381;63.7795;3119;1396;69.0808;0.4125;3081;2063;59.895;375;218;593;63.2378;2706;1845;59.4595;-0.4355;1507;1312;53.4587;364;344;708;51.4124;1143;968;54.145;0.6863
4;3;1305;907;2212;58.9964;3362;1534;68.6683;362;201;563;64.2984;3000;1333;69.2361;0.5678;3081;2063;59.895;496;295;791;62.7054;2585;1768;59.3843;-0.5107;1507;1312;53.4587;447;411;858;52.0979;1060;901;54.0541;0.5954
4;4;1509;1054;2563;58.8763;3362;1534;68.6683;426;245;671;63.4873;2936;1289;69.4911;0.8228;3081;2063;59.895;590;338;928;63.5776;2491;1725;59.0844;-0.8106;1507;1312;53.4587;493;471;964;51.1411;1014;841;54.6631;1.2044
4;5;1719;1211;2930;58.6689;3362;1534;68.6683;498;281;779;63.9281;2864;1253;69.5652;0.8969;3081;2063;59.895;693;435;1128;61.4362;2388;1628;59.4622;-0.4328;1507;1312;53.4587;528;495;1023;51.6129;979;817;54.51;1.0513
4;6;1835;1313;3148;58.291;3362;1534;68.6683;546;319;865;63.1214;2816;1215;69.8586;1.1903;3081;2063;59.895;724;476;1200;60.3333;2357;1587;59.7617;-0.1333;1507;1312;53.4587;565;518;1083;52.1699;942;794;54.2627;0.804
5;1;585;518;1103;53.0372;3362;1534;68.6683;124;112;236;52.5424;3238;1422;69.485;0.8167;3081;2063;59.895;246;166;412;59.7087;2835;1897;59.9112;0.0162;1507;1312;53.4587;215;240;455;47.2527;1292;1072;54.6531;1.1944
5;2;1092;797;1889;57.8084;3362;1534;68.6683;284;163;447;63.5347;3078;1371;69.1841;0.5158;3081;2063;59.895;402;258;660;60.9091;2679;1805;59.7458;-0.1492;1507;1312;53.4587;406;376;782;51.9182;1101;936;54.0501;0.5914
5;3;1458;1020;2478;58.8378;3362;1534;68.6683;418;233;651;64.2089;2944;1301;69.3522;0.6839;3081;2063;59.895;539;336;875;61.6;2542;1727;59.5456;-0.3494;1507;1312;53.4587;501;451;952;52.6261;1006;861;53.8832;0.4245
5;4;1683;1175;2858;58.8873;3362;1534;68.6683;500;277;777;64.3501;2862;1257;69.4829;0.8146;3081;2063;59.895;636;381;1017;62.5369;2445;1682;59.244;-0.651;1507;1312;53.4587;547;517;1064;51.4098;960;795;54.7009;1.2422
5;5;1919;1363;3282;58.4704;3362;1534;68.6683;574;317;891;64.422;2788;1217;69.613;0.9447;3081;2063;59.895;757;497;1254;60.3668;2324;1566;59.7429;-0.1521;1507;1312;53.4587;588;549;1137;51.715;919;763;54.6373;1.1786
5;6;2074;1494;3568;58.1278;3362;1534;68.6683;632;359;991;63.774;2730;1175;69.9104;1.2421;3081;2063;59.895;815;555;1370;59.4891;2266;1508;60.0424;0.1474;1507;1312;53.4587;627;580;1207;51.947;880;732;54.5906;1.1319
6;1;642;555;1197;53.6341;3362;1534;68.6683;143;127;270;52.963;3219;1407;69.585;0.9167;3081;2063;59.895;273;181;454;60.1322;2808;1882;59.8721;-0.0229;1507;1312;53.4587;226;247;473;47.7801;1281;1065;54.6036;1.1449
6;2;1198;840;2038;58.7831;3362;1534;68.6683;318;183;501;63.4731;3044;1351;69.2605;0.5922;3081;2063;59.895;455;274;729;62.4143;2626;1789;59.479;-0.416;1507;1312;53.4587;425;383;808;52.599;1082;929;53.8041;0.3454
6;3;1608;1092;2700;59.5556;3362;1534;68.6683;467;263;730;63.9726;2895;1271;69.4911;0.8228;3081;2063;59.895;614;367;981;62.5892;2467;1696;59.2601;-0.6349;1507;1312;53.4587;527;462;989;53.2861;980;850;53.5519;0.0932
6;4;1885;1252;3137;60.0893;3362;1534;68.6683;570;307;877;64.9943;2792;1227;69.47;0.8017;3081;2063;59.895;731;413;1144;63.8986;2350;1650;58.75;-1.145;1507;1312;53.4587;584;532;1116;52.3297;923;780;54.1985;0.7398
6;5;2162;1449;3611;59.8726;3362;1534;68.6683;648;347;995;65.1256;2714;1187;69.5719;0.9036;3081;2063;59.895;863;530;1393;61.9526;2218;1533;59.1309;-0.7641;1507;1312;53.4587;651;572;1223;53.2298;856;740;53.6341;0.1754
6;6;2349;1616;3965;59.2434;3362;1534;68.6683;713;399;1112;64.1187;2649;1135;70.0053;1.337;3081;2063;59.895;940;608;1548;60.7235;2141;1455;59.5384;-0.3566;1507;1312;53.4587;696;609;1305;53.3333;811;703;53.5667;0.108
