RunStamp;HistoryRows;HistoryFile;ConfigId;Type;Overall_OK;Overall_KO;Overall_Total;Overall_HitRate;Overall_SampleClass;NoAU_OK;NoAU_KO;NoAU_Total;NoAU_HitRate;Train_OK;Train_KO;Train_Total;Train_HitRate;Test_OK;Test_KO;Test_Total;Test_HitRate;Test_SampleClass;TrainTestDelta;W_RankingGap;W_HomeAttack;W_AwayAttack;W_HomeDefenseWeakness;W_AwayDefenseWeakness;W_HomeLast10Over;W_AwayLast10Over;W_HomeVenueOver;W_AwayVenueOver;W_BTTSProfile
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0680;GLOBAL;324;122;446;72.6457;100+;236;79;315;74.9206;184;85;269;68.4015;140;37;177;79.096;100+;10.6945;16.334519;12.77365;6.639775;5.535618;2.820979;11.414179;1.696112;5.730379;19.25178;23.80301
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1934;GLOBAL;459;174;633;72.5118;100+;330;119;449;73.4967;259;121;380;68.1579;200;53;253;79.0514;100+;10.8935;10.281028;22.959767;5.355252;13.699976;3.553359;5.80898;11.30415;0.987351;12.83595;19.214188
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0518;GLOBAL;412;150;562;73.3096;100+;289;97;386;74.8705;235;103;338;69.5266;177;47;224;79.0179;100+;9.4913;12.196396;21.368967;6.871941;2.727002;7.404795;6.082968;1.696521;14.694117;10.21822;22.739074
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1419;GLOBAL;290;113;403;71.9603;100+;210;74;284;73.9437;162;79;241;67.2199;128;34;162;79.0123;100+;11.7924;20.987701;7.242296;7.544207;4.102703;4.182327;7.731946;26.130056;15.287256;1.714661;11.076848
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1391;GLOBAL;245;93;338;72.4852;100+;180;61;241;74.6888;136;64;200;68.0;109;29;138;78.9855;100+;10.9855;24.125266;11.321793;1.66387;1.244538;5.565078;13.846137;10.596788;4.504927;12.723323;20.408281
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0109;GLOBAL;230;88;318;72.327;100+;177;62;239;74.0586;121;59;180;67.2222;109;29;138;78.9855;100+;11.7633;20.626337;2.869108;4.7075;1.109746;6.447705;20.292156;7.854662;2.455378;7.31071;32.326699
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0671;GLOBAL;318;116;434;73.2719;100+;229;78;307;74.5928;179;79;258;69.3798;139;37;176;78.9773;100+;9.5975;14.334667;6.930198;7.955983;2.975708;3.096988;9.709601;2.575488;22.848379;10.881895;24.691093
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1748;GLOBAL;345;133;478;72.1757;100+;256;90;346;73.9884;191;92;283;67.4912;154;41;195;78.9744;100+;11.4832;17.377953;16.695524;14.383221;5.796011;3.853573;3.505369;8.527482;11.636663;1.09021;23.133994
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1586;GLOBAL;233;87;320;72.8125;100+;177;60;237;74.6835;128;59;187;68.4492;105;28;133;78.9474;100+;10.4982;22.631953;8.764084;7.068611;3.903378;6.682703;6.045664;6.554725;12.094075;1.504771;30.750037
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1437;GLOBAL;341;126;467;73.0193;100+;248;84;332;74.6988;191;86;277;68.9531;150;40;190;78.9474;100+;9.9943;21.686377;4.625633;7.487752;4.014571;19.56103;10.023504;17.041562;9.753484;6.819248;4.986838
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1087;GLOBAL;368;141;509;72.2986;100+;265;92;357;74.2297;207;98;305;67.8689;161;43;204;78.9216;100+;11.0527;17.178538;14.525341;6.835017;5.106445;3.274286;14.429296;11.811951;13.904443;14.027281;4.907401
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0787;GLOBAL;331;119;450;73.5556;100+;240;79;319;75.2351;185;80;265;69.8113;146;39;185;78.9189;100+;9.1076;23.992555;7.621416;6.118062;5.534938;18.805186;12.092347;11.11019;2.372118;15.721378;2.631808
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1313;GLOBAL;334;121;455;73.4066;100+;241;79;320;75.3125;188;82;270;69.6296;146;39;185;78.9189;100+;9.2893;16.867778;8.914174;1.560165;4.324612;10.092371;9.305948;13.170501;14.913486;13.187072;13.663891
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0015;GLOBAL;344;120;464;74.1379;100+;248;82;330;75.1515;195;80;275;70.9091;149;40;189;78.836;100+;7.9269;20.235885;5.895281;12.407738;3.10932;14.938639;12.458278;1.748629;26.735167;2.630528;5.840534
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1610;GLOBAL;347;130;477;72.7463;100+;252;86;338;74.5562;198;90;288;68.75;149;40;189;78.836;100+;10.086;13.479953;15.312706;2.37969;3.618244;1.730448;7.157374;6.839708;5.267519;26.606501;23.607857
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1059;GLOBAL;398;149;547;72.7605;100+;279;98;377;74.0053;223;102;325;68.6154;175;47;222;78.8288;100+;10.2134;10.622613;10.173827;6.55289;4.727256;9.372918;1.598213;19.595518;13.182583;10.28849;19.885692
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1820;GLOBAL;334;122;456;73.2456;100+;242;80;322;75.1553;189;83;272;69.4853;145;39;184;78.8043;100+;9.319;15.203362;8.660339;9.174735;0.037233;10.693216;12.249366;7.282668;8.941457;14.155507;19.602118
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1888;GLOBAL;391;147;538;72.6766;100+;281;97;378;74.3386;220;101;321;68.5358;171;46;217;78.8018;100+;10.266;16.627809;17.183304;3.62469;8.556746;8.49124;16.713001;3.459251;11.897254;11.229785;8.21692
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0432;GLOBAL;401;153;554;72.3827;100+;290;98;388;74.7423;230;107;337;68.2493;171;46;217;78.8018;100+;10.5525;13.597926;18.909076;2.567504;2.96859;3.93067;0.575603;18.552704;13.244655;23.620876;8.032395
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1815;GLOBAL;286;106;392;72.9592;100+;203;69;272;74.6324;160;72;232;68.9655;126;34;160;78.75;100+;9.7845;22.906803;9.575123;7.525329;1.593675;2.197619;7.403821;23.499194;17.65432;6.879496;6.764621
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0604;GLOBAL;285;108;393;72.5191;100+;211;72;283;74.5583;159;74;233;68.2403;126;34;160;78.75;100+;10.5097;19.628712;5.66786;9.692138;5.873829;5.655158;6.271735;9.956079;16.61563;7.323116;19.315745
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0975;GLOBAL;440;162;602;73.0897;100+;318;105;423;75.1773;251;111;362;69.337;189;51;240;78.75;100+;9.413;11.628415;21.257708;11.824214;2.844544;5.070587;10.824569;6.7883;1.382786;14.376643;20.002235
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0727;GLOBAL;318;118;436;72.9358;100+;228;77;305;74.7541;181;81;262;69.084;137;37;174;78.7356;100+;9.6516;21.061047;10.290932;4.091667;4.130033;7.98331;20.660124;14.690495;7.468162;10.705039;4.91919
