Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
AvgGAL5>=1.4;5809;3624;2185;62.39;67.21;1.67
MinOverL7>=0.4;6937;4325;2612;62.35;80.26;1.63
MinGAFull>=1.0;6530;4067;2463;62.28;75.55;1.56
MinGFL8>=1.0;6486;4036;2450;62.23;75.04;1.51
MinBTTSL7>=0.4;6754;4200;2554;62.19;78.14;1.47
MinGAL8>=1.0;6401;3981;2420;62.19;74.06;1.47
MinGFL7>=1.0;6407;3983;2424;62.17;74.13;1.45
MinBTTSFull>=0.4;6957;4320;2637;62.1;80.49;1.38
AvgBTTSFull>=0.5;7082;4397;2685;62.09;81.94;1.37
MinOverFull>=0.4;7064;4386;2678;62.09;81.73;1.37
MinGAL5>=1.0;6136;3809;2327;62.08;70.99;1.36
MinOverL5>=0.4;7215;4478;2737;62.07;83.48;1.35
AvgGAL8>=1.2;6881;4269;2612;62.04;79.61;1.32
AvgBTTSL8>=0.5;7115;4411;2704;62.0;82.32;1.28
AvgBTTSL7>=0.5;7087;4390;2697;61.94;82.0;1.22
MinBTTSL5>=0.4;7038;4358;2680;61.92;81.43;1.2
AvgGAFull>=1.2;7021;4345;2676;61.89;81.23;1.17
MinGFFull>=1.0;6692;4141;2551;61.88;77.43;1.16
AvgBTTSL5>=0.5;7053;4362;2691;61.85;81.6;1.13
PPGGapFull<=0.5;4049;2501;1548;61.77;46.85;1.05
MinGFL8>=0.8;7321;4521;2800;61.75;84.7;1.03
AvgGAL7>=1.2;6968;4300;2668;61.71;80.62;0.99
MinGAL7>=0.8;7201;4442;2759;61.69;83.32;0.97
MinGAL8>=0.8;7191;4435;2756;61.67;83.2;0.95
AvgGAL5>=1.2;6966;4295;2671;61.66;80.6;0.94
MinGFL5>=0.8;7319;4512;2807;61.65;84.68;0.93
MinGFL7>=0.8;7307;4503;2804;61.63;84.54;0.91
AvgBTTSL8>=0.4;7892;4863;3029;61.62;91.31;0.9
MinGAL5>=0.8;7204;4439;2765;61.62;83.35;0.9
MinGFFull>=0.8;7592;4677;2915;61.6;87.84;0.88
MinGAFull>=0.8;7483;4602;2881;61.5;86.58;0.78
AvgBTTSL7>=0.4;7920;4870;3050;61.49;91.63;0.77
PPGGapL7<=0.5;3624;2227;1397;61.45;41.93;0.73
AvgGAL7>=1.0;7895;4851;3044;61.44;91.35;0.72
AvgBTTSFull>=0.4;8077;4962;3115;61.43;93.45;0.71
AvgGAL5>=1.0;7811;4795;3016;61.39;90.37;0.67
MinGAL7>=0.6;7825;4802;3023;61.37;90.54;0.65
PPGGapL8<=0.5;3955;2427;1528;61.37;45.76;0.65
PPGGapFull<=1.0;6807;4171;2636;61.28;78.76;0.56
PPGGapL5<=0.5;3228;1978;1250;61.28;37.35;0.56
DeltaGAL5>=0.3;1374;842;532;61.28;15.9;0.56
AvgBTTSL5>=0.4;8025;4916;3109;61.26;92.85;0.54
AvgGAFull>=1.0;7961;4876;3085;61.25;92.11;0.53
AvgGAL8>=1.0;7912;4844;3068;61.22;91.54;0.5
PPGGapL5<=1.0;6196;3789;2407;61.15;71.69;0.43
MinGAL8>=0.6;8067;4930;3137;61.11;93.34;0.39
MinGAL5>=0.6;7979;4875;3104;61.1;92.32;0.38
MinGAFull>=0.6;8187;4998;3189;61.05;94.72;0.33
PPGGapFull<=1.5;8043;4910;3133;61.05;93.06;0.33
DeltaGFL5>=0.1;3032;1851;1181;61.05;35.08;0.33
AvgGAL7>=0.8;8290;5059;3231;61.03;95.92;0.31
AvgGAL5>=0.8;8283;5054;3229;61.02;95.83;0.3
PPGGapL7<=1.0;6446;3933;2513;61.01;74.58;0.29
DeltaGFL5>=0.2;2095;1278;817;61.0;24.24;0.28
DeltaOverL5>=0.1;1416;863;553;60.95;16.38;0.23
AvgGAL8>=0.8;8359;5094;3265;60.94;96.71;0.22
PPGGapL8<=1.0;6586;4013;2573;60.93;76.2;0.21
PPGGapL7<=1.5;7807;4756;3051;60.92;90.33;0.2
PPGGapL5<=1.5;7503;4569;2934;60.9;86.81;0.18
AvgGAFull>=0.8;8401;5115;3286;60.89;97.2;0.17
PPGGapL8<=1.5;7949;4838;3111;60.86;91.97;0.14
DeltaGAL5>=0.0;5162;3139;2023;60.81;59.72;0.09
PPGGapFull<=2.0;8533;5188;3345;60.8;98.73;0.08
DeltaGAL5>=0.1;3029;1841;1188;60.78;35.05;0.06
DeltaGAL5>=0.2;2083;1266;817;60.78;24.1;0.06
PPGGapL8<=2.0;8512;5173;3339;60.77;98.48;0.05
PPGGapL5<=2.0;8394;5098;3296;60.73;97.12;0.01
PPGGapL7<=2.0;8495;5157;3338;60.71;98.29;-0.01
DeltaGFL5>=0.0;5179;3144;2035;60.71;59.92;-0.01
DeltaGFL5>=0.3;1340;813;527;60.67;15.5;-0.05
DeltaOverL5>=0.0;5102;3072;2030;60.21;59.03;-0.51
DeltaBTTSL5>=0.0;5074;3040;2034;59.91;58.71;-0.81
DeltaBTTSL5>=0.2;327;195;132;59.63;3.78;-1.09
DeltaBTTSL5>=0.1;1468;871;597;59.33;16.98;-1.39
DeltaOverL5>=0.2;301;178;123;59.14;3.48;-1.58
DeltaBTTSL5>=0.3;45;22;23;48.89;0.52;-11.83
