Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
MinOverL8>=0.8 AND MinBTTSL8>=0.7;256;182;74;71.09;2.96;10.37
MinGFFull>=1.8 AND MinGAL5>=1.4;636;452;184;71.07;7.36;10.35
MinGFL5>=1.8 AND MinGAL7>=1.2;926;658;268;71.06;10.71;10.34
MinGFFull>=1.6 AND MinGAL8>=1.4;888;631;257;71.06;10.27;10.34
MinGFL5>=1.8 AND MinGAFull>=1.4;705;501;204;71.06;8.16;10.34
AvgBTTSFull>=0.8 AND MinOverL7>=0.8;228;162;66;71.05;2.64;10.33
MinGFL8>=1.8 AND MinGAL7>=1.4;594;422;172;71.04;6.87;10.32
MinGFFull>=1.8 AND AvgGAL5>=1.6;773;549;224;71.02;8.94;10.3
MinOverFull>=0.8 AND MinOverL5>=0.5;635;451;184;71.02;7.35;10.3
MinOverFull>=0.8 AND MinOverL5>=0.6;635;451;184;71.02;7.35;10.3
MinGFL7>=1.8 AND MinGAL7>=1.4;635;451;184;71.02;7.35;10.3
MinBTTSFull>=0.7 AND MinGFL7>=1.8;314;223;91;71.02;3.63;10.3
MinGFL7>=1.8 AND MinGAL8>=1.4;576;409;167;71.01;6.66;10.29
MinOverFull>=0.8 AND MinOverL8>=0.7;624;443;181;70.99;7.22;10.27
MinGFFull>=1.8 AND AvgGAL8>=1.6;751;533;218;70.97;8.69;10.25
MinOverFull>=0.8 AND MinOverL7>=0.7;627;445;182;70.97;7.25;10.25
MinOverFull>=0.8 AND MinOverL7>=0.6;627;445;182;70.97;7.25;10.25
MinOverFull>=0.8 AND MinGFL7>=1.6;396;281;115;70.96;4.58;10.24
MinBTTSFull>=0.7 AND MinGFL7>=1.6;396;281;115;70.96;4.58;10.24
MinOverFull>=0.8 AND AvgBTTSL7>=0.7;461;327;134;70.93;5.33;10.21
MinOverFull>=0.8 AND MinBTTSL8>=0.4;608;431;177;70.89;7.03;10.17
MinGFL5>=1.8 AND MinGAL8>=1.2;978;693;285;70.86;11.32;10.14
MinOverL8>=0.8 AND MinGAFull>=1.4;453;321;132;70.86;5.24;10.14
MinOverFull>=0.8 AND MinBTTSL7>=0.8;151;107;44;70.86;1.75;10.14
MinGFFull>=1.8 AND AvgGAFull>=1.4;973;689;284;70.81;11.26;10.09
MinOverFull>=0.8 AND MinBTTSFull>=0.6;483;342;141;70.81;5.59;10.09
MinOverL8>=0.8 AND MinGAL5>=1.4;459;325;134;70.81;5.31;10.09
MinBTTSFull>=0.7 AND MinGFL5>=1.6;442;313;129;70.81;5.11;10.09
MinOverL8>=0.8 AND AvgBTTSL8>=0.8;274;194;80;70.8;3.17;10.08
MinOverFull>=0.7 AND MinGFFull>=1.8;674;477;197;70.77;7.8;10.05
MinOverL8>=0.8 AND AvgBTTSL5>=0.7;479;339;140;70.77;5.54;10.05
MinBTTSFull>=0.8 AND MinOverL7>=0.8;130;92;38;70.77;1.5;10.05
MinOverL8>=0.8 AND AvgGAFull>=1.6;513;363;150;70.76;5.94;10.04
MinGFFull>=1.8 AND MinBTTSL7>=0.7;472;334;138;70.76;5.46;10.04
MinOverL8>=0.8 AND AvgBTTSL7>=0.8;229;162;67;70.74;2.65;10.02
MinOverL8>=0.8 AND MinGFL5>=1.8;331;234;97;70.69;3.83;9.98
MinBTTSFull>=0.8 AND MinGFL5>=1.6;174;123;51;70.69;2.01;9.97
MinOverL8>=0.8 AND MinGFL8>=1.4;460;325;135;70.65;5.32;9.93
MinOverL8>=0.8 AND MinGAFull>=1.2;521;368;153;70.63;6.03;9.91
MinOverFull>=0.8 AND MinBTTSL8>=0.6;483;341;142;70.6;5.59;9.88
MinOverFull>=0.8 AND MinGFL8>=1.6;415;293;122;70.6;4.8;9.88
MinGFL8>=1.8 AND MinGAL7>=1.2;765;540;225;70.59;8.85;9.87
MinBTTSFull>=0.7 AND MinGFFull>=1.6;459;324;135;70.59;5.31;9.87
MinOverL8>=0.8 AND MinGAL7>=1.2;520;367;153;70.58;6.02;9.86
MinOverFull>=0.7 AND MinBTTSFull>=0.7;462;326;136;70.56;5.35;9.84
MinOverL8>=0.8 AND MinGAL8>=1.2;523;369;154;70.55;6.05;9.83
AvgBTTSFull>=0.8 AND MinGFL5>=1.6;326;230;96;70.55;3.77;9.83
MinOverL7>=0.8 AND MinGAFull>=1.4;570;402;168;70.53;6.59;9.81
MinOverFull>=0.8 AND AvgBTTSL8>=0.7;431;304;127;70.53;4.99;9.81
AvgBTTSFull>=0.8 AND MinOverL8>=0.7;319;225;94;70.53;3.69;9.81
MinOverFull>=0.7 AND MinGAL8>=1.4;1011;713;298;70.52;11.7;9.8
MinOverL8>=0.8 AND MinGAL7>=1.4;468;330;138;70.51;5.41;9.79
MinGFFull>=1.6 AND MinGAL7>=1.4;976;688;288;70.49;11.29;9.77
MinGFL8>=1.8 AND AvgGAL7>=1.6;742;523;219;70.49;8.58;9.77
MinGFL8>=1.8 AND AvgGAL5>=1.6;772;544;228;70.47;8.93;9.75
MinGFFull>=1.6 AND AvgGAL5>=1.6;1225;863;362;70.45;14.17;9.73
MinOverL5>=0.7 AND MinGFL7>=1.6;795;560;235;70.44;9.2;9.72
MinOverL5>=0.8 AND MinGFL7>=1.6;795;560;235;70.44;9.2;9.72
MinGFL7>=1.8 AND MinGAL7>=1.2;805;567;238;70.43;9.31;9.72
MinGFL8>=1.8 AND MinGAFull>=1.4;585;412;173;70.43;6.77;9.71
MinOverFull>=0.7 AND MinBTTSL5>=0.7;453;319;134;70.42;5.24;9.7
MinOverFull>=0.7 AND MinBTTSL5>=0.8;453;319;134;70.42;5.24;9.7
MinBTTSFull>=0.8 AND MinGAL7>=1.4;213;150;63;70.42;2.46;9.7
MinOverL8>=0.8 AND AvgBTTSL7>=0.7;446;314;132;70.4;5.16;9.68
MinOverL8>=0.8 AND AvgGAL8>=1.6;537;378;159;70.39;6.21;9.67
AvgBTTSFull>=0.8 AND MinGFFull>=1.6;331;233;98;70.39;3.83;9.67
MinOverFull>=0.8 AND MinBTTSL7>=0.6;405;285;120;70.37;4.69;9.65
MinGFFull>=1.8 AND MinBTTSL8>=0.8;135;95;40;70.37;1.56;9.65
MinOverL8>=0.8 AND MinGAL5>=1.2;519;365;154;70.33;6.0;9.61
MinGFFull>=1.6 AND AvgGAL7>=1.6;1159;815;344;70.32;13.41;9.6
MinOverL5>=0.7 AND MinGFL7>=1.8;640;450;190;70.31;7.4;9.59
MinOverL5>=0.8 AND MinGFL7>=1.8;640;450;190;70.31;7.4;9.59
MinOverL8>=0.8 AND MinGAL8>=1.4;458;322;136;70.31;5.3;9.59
MinBTTSFull>=0.8 AND MinOverFull>=0.6;239;168;71;70.29;2.77;9.57
MinGFFull>=1.6 AND MinGAL5>=1.4;1016;714;302;70.28;11.76;9.56
MinOverFull>=0.8 AND MinGFL7>=1.8;323;227;96;70.28;3.74;9.56
MinGFL8>=1.8 AND MinGAL8>=1.2;804;565;239;70.27;9.3;9.55
MinOverL8>=0.8 AND MinGFL7>=1.2;511;359;152;70.25;5.91;9.53
MinGAL8>=1.4 AND MinGFFull>=1.4;1351;949;402;70.24;15.63;9.52
MinBTTSFull>=0.8 AND MinGAL5>=1.4;205;144;61;70.24;2.37;9.52
MinBTTSFull>=0.8 AND MinGFFull>=1.6;168;118;50;70.24;1.94;9.52
MinGFL5>=1.8 AND AvgGAL5>=1.6;913;641;272;70.21;10.56;9.49
MinOverFull>=0.7 AND AvgBTTSL5>=0.8;621;436;185;70.21;7.19;9.49
AvgBTTSFull>=0.8 AND MinOverL7>=0.7;339;238;101;70.21;3.92;9.49
MinOverFull>=0.7 AND MinGAFull>=1.4;1074;754;320;70.2;12.43;9.49
MinGFL7>=1.8 AND MinGAL8>=1.2;852;598;254;70.19;9.86;9.47
MinGFFull>=1.8 AND MinGAL5>=1.2;842;591;251;70.19;9.74;9.47
MinGFL7>=1.8 AND MinGAFull>=1.4;617;433;184;70.18;7.14;9.46
MinBTTSFull>=0.8 AND MinGFFull>=1.4;218;153;65;70.18;2.52;9.46
MinGFL5>=1.8 AND AvgGAL7>=1.4;1149;806;343;70.15;13.29;9.43
MinOverL8>=0.8 AND MinGFFull>=1.8;308;216;92;70.13;3.56;9.41
MinGFFull>=1.6 AND MinGAL8>=1.2;1298;910;388;70.11;15.02;9.39
MinGFL8>=1.8 AND MinGAL5>=1.4;622;436;186;70.1;7.2;9.38
MinOverL8>=0.8 AND MinGFL8>=1.2;515;361;154;70.1;5.96;9.38
MinOverL7>=0.8 AND AvgBTTSL5>=0.8;418;293;125;70.1;4.84;9.38
MinBTTSL8>=0.7 AND MinGFL5>=1.8;408;286;122;70.1;4.72;9.38
MinBTTSFull>=0.8 AND MinOverL5>=0.5;234;164;70;70.09;2.71;9.37
MinBTTSFull>=0.8 AND MinOverL5>=0.6;234;164;70;70.09;2.71;9.37
MinBTTSFull>=0.8 AND AvgGAL7>=1.6;234;164;70;70.09;2.71;9.37
MinOverL8>=0.8 AND AvgGAL7>=1.6;528;370;158;70.08;6.11;9.36
MinOverL8>=0.8 AND AvgBTTSL8>=0.7;421;295;126;70.07;4.87;9.35
MinOverL8>=0.8 AND MinGFL5>=1.6;401;281;120;70.07;4.64;9.36
MinOverL8>=0.8 AND MinGFL5>=1.2;521;365;156;70.06;6.03;9.34
MinOverFull>=0.8 AND MinGFL8>=1.8;324;227;97;70.06;3.75;9.34
MinGFL5>=1.8 AND MinGAL5>=1.2;985;690;295;70.05;11.4;9.33
MinGFL7>=1.6 AND MinGAL7>=1.4;888;622;266;70.05;10.27;9.33
MinGFL7>=1.8 AND AvgGAL5>=1.6;811;568;243;70.04;9.38;9.32
MinBTTSFull>=0.7 AND MinGFL8>=1.8;297;208;89;70.03;3.44;9.31
MinGFL7>=1.8 AND MinGAL5>=1.4;657;460;197;70.02;7.6;9.3
MinBTTSFull>=0.7 AND MinOverL7>=0.7;487;341;146;70.02;5.63;9.3
MinGFL5>=1.8 AND MinGAFull>=1.2;1020;714;306;70.0;11.8;9.28
MinOverFull>=0.8 AND MinOverL7>=0.8;530;371;159;70.0;6.13;9.28
MinBTTSFull>=0.8 AND MinOverL8>=0.7;170;119;51;70.0;1.97;9.28
MinGAL8>=1.4 AND MinGFL7>=1.4;1303;912;391;69.99;15.08;9.27
MinOverL5>=0.7 AND MinGFL8>=1.6;863;604;259;69.99;9.98;9.27
MinOverL5>=0.8 AND MinGFL8>=1.6;863;604;259;69.99;9.98;9.27
MinBTTSFull>=0.7 AND MinGAL5>=1.4;573;401;172;69.98;6.63;9.26
MinOverL5>=0.7 AND MinGFFull>=1.6;799;559;240;69.96;9.24;9.24
MinOverL5>=0.8 AND MinGFFull>=1.6;799;559;240;69.96;9.24;9.24
MinOverL8>=0.8 AND MinBTTSL7>=0.5;526;368;158;69.96;6.09;9.24
MinBTTSFull>=0.8 AND AvgGAL5>=1.6;223;156;67;69.96;2.58;9.24
MinGFFull>=1.6 AND AvgGAL8>=1.6;1178;824;354;69.95;13.63;9.23
MinGFFull>=1.8 AND AvgBTTSL8>=0.7;639;447;192;69.95;7.39;9.23
MinOverL8>=0.8 AND MinBTTSL8>=0.5;559;391;168;69.95;6.47;9.23
MinBTTSFull>=0.8 AND MinGFL8>=1.4;213;149;64;69.95;2.46;9.23
MinGFFull>=1.6 AND MinGAL7>=1.2;1234;863;371;69.94;14.28;9.22
MinGAL8>=1.4 AND MinGFL7>=1.6;805;563;242;69.94;9.31;9.22
MinGFL8>=1.8 AND AvgGAFull>=1.6;712;498;214;69.94;8.24;9.22
MinOverL8>=0.8 AND MinBTTSFull>=0.5;542;379;163;69.93;6.27;9.21
MinOverFull>=0.7 AND AvgBTTSL8>=0.8;429;300;129;69.93;4.96;9.21
AvgBTTSFull>=0.8 AND MinGFL5>=1.4;419;293;126;69.93;4.85;9.21
MinOverL8>=0.8 AND MinGFFull>=1.4;462;323;139;69.91;5.35;9.19
MinBTTSFull>=0.7 AND MinOverL5>=0.7;372;260;112;69.89;4.3;9.17
MinBTTSFull>=0.7 AND MinOverL5>=0.8;372;260;112;69.89;4.3;9.17
MinBTTSFull>=0.8 AND MinOverL7>=0.7;176;123;53;69.89;2.04;9.17
MinOverFull>=0.7 AND MinGFL5>=1.8;667;466;201;69.87;7.72;9.15
MinGFFull>=1.6 AND AvgGAFull>=1.6;1138;795;343;69.86;13.17;9.14
MinOverL7>=0.8 AND MinGAL8>=1.4;574;401;173;69.86;6.64;9.14
MinGFL7>=1.8 AND AvgGAL7>=1.6;786;549;237;69.85;9.09;9.13
MinOverL5>=0.7 AND MinGFL5>=1.8;753;526;227;69.85;8.71;9.13
MinOverL5>=0.8 AND MinGFL5>=1.8;753;526;227;69.85;8.71;9.13
MinOverFull>=0.7 AND MinBTTSL7>=0.7;607;424;183;69.85;7.02;9.13
MinGAL8>=1.4 AND MinGFL8>=1.4;1207;843;364;69.84;13.97;9.12
MinOverL8>=0.8 AND MinBTTSL5>=0.5;497;347;150;69.82;5.75;9.1
MinOverL8>=0.8 AND MinBTTSL5>=0.6;497;347;150;69.82;5.75;9.1
MinGFL8>=1.8 AND AvgGAL8>=1.6;742;518;224;69.81;8.58;9.09
MinGFL8>=1.8 AND AvgGAL7>=1.4;970;677;293;69.79;11.22;9.07
MinBTTSFull>=0.7 AND MinOverL5>=0.5;672;469;203;69.79;7.78;9.07
MinBTTSFull>=0.7 AND MinOverL5>=0.6;672;469;203;69.79;7.78;9.07
MinOverL8>=0.8 AND AvgGAL5>=1.6;533;372;161;69.79;6.17;9.07
AvgBTTSFull>=0.8 AND AvgGAL7>=1.6;470;328;142;69.79;5.44;9.07
MinBTTSFull>=0.8 AND AvgGAFull>=1.6;235;164;71;69.79;2.72;9.07
MinGFL8>=1.6 AND MinGAL8>=1.4;930;649;281;69.78;10.76;9.07
MinBTTSL8>=0.8 AND MinGAL7>=1.4;258;180;78;69.77;2.99;9.05
MinBTTSFull>=0.8 AND MinGAFull>=1.4;215;150;65;69.77;2.49;9.05
MinGFL7>=1.8 AND AvgGAL7>=1.4;1015;708;307;69.75;11.74;9.03
MinOverL7>=0.8 AND AvgBTTSL8>=0.8;314;219;95;69.75;3.63;9.03
MinGFL5>=1.8 AND AvgGAL7>=1.6;889;620;269;69.74;10.29;9.02
MinOverFull>=0.7 AND AvgBTTSFull>=0.7;846;590;256;69.74;9.79;9.02
MinOverFull>=0.7 AND MinGFFull>=1.6;885;617;268;69.72;10.24;9.0
MinBTTSFull>=0.8 AND MinGFL5>=1.4;218;152;66;69.72;2.52;9.01
MinGFFull>=1.6 AND AvgGAL7>=1.4;1522;1061;461;69.71;17.61;8.99
MinGAL7>=1.4 AND MinGFL7>=1.4;1446;1008;438;69.71;16.73;8.99
MinOverFull>=0.7 AND MinGAL8>=1.2;1215;847;368;69.71;14.06;8.99
MinOverL8>=0.8 AND AvgBTTSFull>=0.6;548;382;166;69.71;6.34;8.99
MinOverL8>=0.8 AND MinGFL7>=1.6;383;267;116;69.71;4.43;8.99
MinOverFull>=0.7 AND MinGAL7>=1.2;1198;835;363;69.7;13.86;8.98
MinGFFull>=1.8 AND MinOverL8>=0.7;670;467;203;69.7;7.75;8.98
MinOverFull>=0.8 AND MinOverL8>=0.8;495;345;150;69.7;5.73;8.98
AvgBTTSFull>=0.8 AND MinGFFull>=1.4;429;299;130;69.7;4.96;8.98
MinOverFull>=0.7 AND AvgGAL5>=1.6;1214;846;368;69.69;14.05;8.97
MinOverFull>=0.7 AND AvgGAL7>=1.6;1211;844;367;69.69;14.01;8.97
MinGFL5>=1.8 AND AvgGAFull>=1.6;851;593;258;69.68;9.85;8.96
MinOverL8>=0.8 AND AvgBTTSL7>=0.6;554;386;168;69.68;6.41;8.96
AvgBTTSFull>=0.8 AND MinGAL8>=1.2;475;331;144;69.68;5.5;8.96
MinOverFull>=0.7 AND AvgGAL8>=1.6;1220;850;370;69.67;14.12;8.95
MinBTTSFull>=0.7 AND MinGAL8>=1.2;699;487;212;69.67;8.09;8.95
MinBTTSFull>=0.7 AND MinOverL8>=0.6;643;448;195;69.67;7.44;8.95
MinOverL7>=0.8 AND MinGAL7>=1.4;600;418;182;69.67;6.94;8.95
MinGFL7>=1.6 AND MinGAL8>=1.2;1170;815;355;69.66;13.54;8.94
MinBTTSFull>=0.7 AND MinOverL7>=0.6;534;372;162;69.66;6.18;8.94
MinGFL8>=1.8 AND MinGAFull>=1.2;850;592;258;69.65;9.83;8.93
AvgBTTSFull>=0.8 AND MinOverFull>=0.6;481;335;146;69.65;5.57;8.93
AvgBTTSFull>=0.8 AND MinGFL7>=1.6;313;218;95;69.65;3.62;8.93
MinOverL8>=0.7 AND MinBTTSL8>=0.8;201;140;61;69.65;2.33;8.93
MinGFL8>=1.6 AND MinGAL7>=1.4;1041;725;316;69.64;12.04;8.92
MinGFFull>=1.6 AND AvgGAL8>=1.4;1531;1066;465;69.63;17.71;8.91
MinOverL8>=0.8 AND MinGFL5>=1.0;563;392;171;69.63;6.51;8.91
MinBTTSFull>=0.8 AND MinGFL7>=1.4;214;149;65;69.63;2.48;8.91
MinGAL8>=1.4 AND MinGFL5>=1.6;981;683;298;69.62;11.35;8.9
MinGFFull>=1.6 AND MinGAFull>=1.4;951;662;289;69.61;11.0;8.89
MinOverL8>=0.8 AND MinBTTSL7>=0.6;408;284;124;69.61;4.72;8.89
AvgBTTSFull>=0.8 AND MinGAL5>=1.4;408;284;124;69.61;4.72;8.89
MinOverL7>=0.8 AND MinBTTSL8>=0.7;306;213;93;69.61;3.54;8.89
MinOverL7>=0.8 AND MinBTTSL5>=0.7;306;213;93;69.61;3.54;8.89
MinOverL7>=0.8 AND MinBTTSL5>=0.8;306;213;93;69.61;3.54;8.89
MinGAL8>=1.4 AND MinGFL5>=1.4;1362;948;414;69.6;15.76;8.88
MinGFFull>=1.6 AND MinGAFull>=1.2;1342;934;408;69.6;15.53;8.88
MinOverFull>=0.7 AND AvgBTTSL7>=0.8;342;238;104;69.59;3.96;8.87
MinBTTSFull>=0.8 AND MinGFL8>=1.6;171;119;52;69.59;1.98;8.87
AvgBTTSFull>=0.8 AND MinGAFull>=1.2;480;334;146;69.58;5.55;8.86
MinBTTSFull>=0.8 AND MinGFL5>=1.2;240;167;73;69.58;2.78;8.86
MinOverFull>=0.7 AND MinGFFull>=1.4;1104;768;336;69.57;12.77;8.85
MinOverL8>=0.8 AND AvgGAL7>=1.4;575;400;175;69.57;6.65;8.85
MinOverFull>=0.7 AND MinBTTSL8>=0.7;483;336;147;69.57;5.59;8.85
AvgBTTSFull>=0.8 AND MinGAL7>=1.2;470;327;143;69.57;5.44;8.85
AvgBTTSFull>=0.8 AND MinGAFull>=1.4;427;297;130;69.56;4.94;8.84
