LeagueId;Season;Round;MatchDate;Home;Away;HG;AG;Notes
Australia_NPLTasmania_2026;2026;?;2026-07-04;Ulverstone;Kingborough Lions;2;1;
Australia_NPLTasmania_2026;2026;?;2026-07-04;Glenorchy Knights;Clarence Zebras;2;2;
Australia_NPLVictoria_2026;2026;?;2026-07-04;Hume City FC;Dandenong City;0;0;
Australia_NPLVictoria_2026;2026;?;2026-07-04;Avondale FC;Preston Lions;2;3;
Australia_NPLVictoria_2026;2026;?;2026-07-04;Altona Magic;Melbourne City FC Youth;0;3;
Australia_NPLVictoria_2026;2026;?;2026-07-04;Caroline Springs George Cross;Oakleigh Cannons;1;1;
Australia_NPLWesternAustralia_2026;2026;?;2026-07-04;Armadale;Olympic Kingsway;1;6;
Australia_NPLWesternAustralia_2026;2026;?;2026-07-04;Fremantle City FC;Bayswater City;1;1;
Australia_NPLWesternAustralia_2026;2026;?;2026-07-04;Perth Glory Youth;Balcatta;1;3;
Australia_NPLWesternAustralia_2026;2026;?;2026-07-04;Stirling Macedonia FC;Perth Redstar FC;0;1;
Australia_NPLWesternAustralia_2026;2026;?;2026-07-04;Western Knights;Sorrento;2;0;
Australia_NPLWesternAustralia_2026;2026;?;2026-07-04;Dianella White Eagles;Perth SC;2;2;
Australia_NSWLeagueOne_2026;2026;?;2026-07-04;Blacktown Spartans;Newcastle Jets Youth;7;2;
Australia_NSWLeagueOne_2026;2026;?;2026-07-04;Macarthur Rams;Inter Lions FC;3;2;
Australia_NSWLeagueOne_2026;2026;?;2026-07-04;Bankstown City Lions;Dulwich Hill FC;2;2;
Australia_NSWLeagueOne_2026;2026;?;2026-07-04;Hills United FC;Northern Tigers;1;2;
Australia_NSWLeagueOne_2026;2026;?;2026-07-04;Northbridge FC Bulls;Mt Druitt Town Rangers;2;3;
Australia_QueenslandPremierLeague_2026;2026;?;2026-07-04;Robina City;Broadbeach United;0;0;
Australia_QueenslandPremierLeague_2026;2026;?;2026-07-04;Brisbane Strikers;Logan Lightning;3;2;
Australia_QueenslandPremierLeague_2026;2026;?;2026-07-04;North Star FC;Redlands United;1;2;
Australia_QueenslandPremierLeague_2026;2026;?;2026-07-04;Capalaba;St George Willawong FC;0;2;
Australia_SAStateLeague_2026;2026;?;2026-07-04;Adelaide Blue Eagles;South Adelaide;4;1;
Australia_SAStateLeague_2026;2026;?;2026-07-04;Adelaide Cobras;Fulham United FC;0;3;
Australia_SAStateLeague_2026;2026;?;2026-07-04;The Cove;Adelaide Victory;0;0;
Australia_SAStateLeague_2026;2026;?;2026-07-04;Cumberland United;Adelaide Raiders;1;2;
Australia_VictoriaPremierLeague_2026;2026;?;2026-07-04;Langwarrin SC;Eltham Redbacks;1;6;
Australia_VictoriaPremierLeague_2026;2026;?;2026-07-04;North Sunshine Eagles SC;Manningham United Blues;2;2;
Australia_VictoriaPremierLeague_2026;2026;?;2026-07-04;North Geelong Warriors;Port Melbourne Sharks SC;1;1;
USA_MLSNextPro_WesternConference_CentralDivision_2026;2026;19;2026-07-06;Huntsville;Chicago Fire II;2;2;
USA_USLLeagueTwo_Heartland_2026;2026;24;2026-07-09;Rochester FC;St. Croix;1;3;
USA_USLLeagueTwo_Ranger_2026;2026;21;2026-07-09;West Texas;Lubbock Matadors;1;0;
USA_USLLeagueTwo_Southeast_2026;2026;25;2026-07-09;Brave SC;Inter Gainesville;2;1;
USA_USLLeagueTwo_Valley_2026;2026;25;2026-07-09;Toledo Villa;Northern Indiana;1;3;
Australia_NPLNorthernNSW_2026;2026;?;2026-07-12;Valentine;Kahibah;3;2;
Australia_NPLNorthernNSW_2026;2026;?;2026-07-12;Broadmeadow;Newcastle Olympic;2;1;
Australia_NPLNSW_2026;2026;?;2026-07-12;Sydney Utd;Rockdale Ilinden;1;0;
Australia_NPLNSW_2026;2026;?;2026-07-12;Marconi;WS Wanderers U21;3;0;
Australia_NPLQueensland_2026;2026;?;2026-07-12;Gold Coast;Olympic FC;3;0;
Australia_NPLQueensland_2026;2026;?;2026-07-12;Gold Coast Knights;Brisbane City;0;0;
Australia_NPLQueensland_2026;2026;?;2026-07-12;Queensland Lions;Eastern Suburbs;1;0;
Australia_NPLVictoria_2026;2026;?;2026-07-12;St Albans;George Cross;2;2;
Australia_NorthernNSWStateLeague_2026;2026;?;2026-07-12;Toronto Awaba Stags;Wallsend Red Devils;2;2;
Australia_NSWLeagueOne_2026;2026;?;2026-07-12;Central Coast Mariners U23;Blacktown Spartans;0;2;
Australia_QueenslandPremierLeague_2026;2026;?;2026-07-12;Sunshine Coast Wanderers;Brisbane Strikers;0;2;
Australia_NPL_NSW_U20_2026;2026;?;2026-07-12;Sydney Utd U20;Rockdale Ilinden U20;6;0;
Australia_NPL_NSW_U20_2026;2026;?;2026-07-12;Marconi S. U20;WS Wanderers U20;3;1;
Australia_NPLQueenslandU23_2026;2026;?;2026-07-12;QLD State Team U17;Rochedale U23;1;3;
Australia_NPLQueenslandU23_2026;2026;?;2026-07-12;Gold Coast Blaze U23;Olympic FC U23;7;1;
Australia_NPLQueenslandU23_2026;2026;?;2026-07-12;Gold Coast Knights U23;Brisbane City U23;3;1;
Australia_NPLQueenslandU23_2026;2026;?;2026-07-12;Queensland Lions U23;Eastern Suburbs U23;1;1;
Belarus_VysshayaLiga_2026;2026;?;2026-07-12;Arsenal Dzerzhinsk;Vitebsk;0;3;
Belarus_PershayaLiga_2026;2026;?;2026-07-12;Gomel 2;BumProm Gomel;1;1;
Belarus_PershayaLiga_2026;2026;?;2026-07-12;Volna Pinsk;Soligorsk;2;4;
Bolivia_DivisionProfesional_2026;2026;?;2026-07-12;Real Potosi;Nacional Potosi;1;1;
Bolivia_DivisionProfesional_2026;2026;?;2026-07-12;The Strongest;Bolivar;1;1;
Estonia_Esiliiga_2026;2026;?;2026-07-12;Nomme Utd U21;Flora U21;1;1;
Estonia_EsiliigaB_2026;2026;?;2026-07-12;Tartu Kalev;Legion;10;2;
Estonia_EsiliigaB_2026;2026;?;2026-07-12;Johvi Phoenix;Parnu JK Vaprus U21;4;2;
Estonia_EsiliigaB_2026;2026;?;2026-07-12;Tammeka U21;Narva U21;2;1;
Estonia_EsiliigaB_2026;2026;?;2026-07-12;Levadia U19;Tallinna Kalev U21;4;1;
Finland_Kakkonen_GroupA_2026;2026;?;2026-07-12;Lahden Reipas;HIFK;1;1;
Finland_Kakkonen_GroupC_2026;2026;?;2026-07-12;SJK Akatemia 2;TP-47;0;0;
Finland_Kakkonen_GroupC_2026;2026;?;2026-07-12;Vaajakoski;Jaro 2;5;2;
Finland_Kakkonen_GroupC_2026;2026;?;2026-07-12;Narpes Kraft;VPS 2;3;2;
Iceland_BestaDeildKarla_2026;2026;?;2026-07-12;Akureyri;Akranes;3;2;
Iceland_BestaDeildKarla_2026;2026;?;2026-07-12;Fram;Thor Akureyri;6;1;
Iceland_BestaDeildKarla_2026;2026;?;2026-07-12;KR Reykjavik;Vestmannaeyjar;5;2;
Iceland_BestaDeildKarla_2026;2026;?;2026-07-12;Hafnarfjordur;Valur;2;0;
Iceland_Division_2_2026;2026;?;2026-07-12;Kari;KFA;2;2;
Iceland_Division_2_2026;2026;?;2026-07-12;Dalvik/Reynir;Fjolnir;1;4;
Iceland_Division_2_2026;2026;?;2026-07-12;Kormakur/Hvot;Olafsvik;0;0;
Iceland_Division_2_2026;2026;?;2026-07-12;Magni;Haukar;2;5;
Iceland_Division_2_2026;2026;?;2026-07-12;Throttur Vogar;KFG Gardabaer;5;1;
Kazakhstan_PremierLeague_2026;2026;?;2026-07-12;Ulytau;Kaisar;1;0;
Kazakhstan_PremierLeague_2026;2026;?;2026-07-12;FC Astana;Aktobe;3;2;
Kazakhstan_PremierLeague_2026;2026;?;2026-07-12;Tobol;Okzhetpes;3;1;
Lithuania_Toplyga_2026;2026;?;2026-07-12;Transinvest;Banga;1;3;
Norway_Eliteserien_2026;2026;?;2026-07-12;KFUM Oslo;Bodo/Glimt;0;2;
Norway_Eliteserien_2026;2026;?;2026-07-12;Brann;Start;2;1;
Norway_Eliteserien_2026;2026;?;2026-07-12;Rosenborg;Kristiansund;3;0;
Norway_Eliteserien_2026;2026;?;2026-07-12;Sandefjord;HamKam;2;2;
Norway_Eliteserien_2026;2026;?;2026-07-12;Sarpsborg 08;Viking;1;0;
Somalia_NationalLeague_2026;2026;?;2026-07-12;Jubba;Dekedaha;1;7;
Somalia_NationalLeague_2026;2026;?;2026-07-12;Raadsan;Heegan;0;4;
Sweden_Allsvenskan_2026;2026;?;2026-07-12;Hammarby;Kalmar;2;0;
Sweden_Allsvenskan_2026;2026;?;2026-07-12;Malmo FF;Göteborg;4;0;
Sweden_Allsvenskan_2026;2026;?;2026-07-12;Västerås SK;Degerfors;2;0;
Sweden_Allsvenskan_2026;2026;?;2026-07-12;Brommapojkarna;Sirius;1;2;
Sweden_Allsvenskan_2026;2026;?;2026-07-12;GAIS;Elfsborg;1;0;
USA_MLSNextPro_EasternConference_SoutheastDivision_2026;2026;?;2026-07-12;Atlanta United 2;Inter Miami II;4;1;
USA_MLSNextPro_EasternConference_SoutheastDivision_2026;2026;?;2026-07-12;Crown Legacy;New York City II;0;3;
USA_MLSNextPro_WesternConference_CentralDivision_2026;2026;?;2026-07-12;Houston Dynamo 2;St. Louis City 2;2;1;
USA_MLSNextPro_WesternConference_CentralDivision_2026;2026;?;2026-07-12;Colorado Rapids 2;North Texas;1;0;
USA_MLSNextPro_WesternConference_PacificDivision_2026;2026;?;2026-07-12;Los Angeles FC 2;Portland Timbers 2;0;0;
USA_MLSNextPro_WesternConference_PacificDivision_2026;2026;?;2026-07-12;Real Monarchs;Vancouver 2;2;1;
USA_MLSNextPro_EasternConference_NortheastDivision_2026;2026;?;2026-07-12;Philadelphia II;Huntsville;0;0;
USA_MLSNextPro_EasternConference_NortheastDivision_2026;2026;?;2026-07-12;Chicago Fire II;New York Red Bulls II;3;0;
USA_MLSNextPro_EasternConference_SoutheastDivision_2026;2026;?;2026-07-12;Carolina Core;Chattanooga;1;1;
USA_USLLeagueTwo_Northeast_2026;2026;?;2026-07-12;Boston Bolts;Albany Rush;2;1;
USA_USLLeagueTwo_Metropolitan_2026;2026;?;2026-07-12;Staten Island ASC;Morris Elite;2;2;
USA_USLLeagueTwo_Valley_2026;2026;?;2026-07-12;Ann Arbor;Kalamazoo FC;3;2;
USA_USLLeagueTwo_Chesapeake_2026;2026;?;2026-07-12;Annapolis Blues;Bethesda SC;4;1;
USA_USLLeagueTwo_Northeast_2026;2026;?;2026-07-12;Black Rock;Boston City;1;1;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;?;2026-07-12;Charlotte Independ. 2;North Carolina FC U23;3;1;
USA_USLLeagueTwo_Valley_2026;2026;?;2026-07-12;Flint City;Union FC Macomb;4;1;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;?;2026-07-12;Hickory;Asheville City;0;0;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;?;2026-07-12;Hill City;Virginia Marauders;3;0;
USA_USLLeagueTwo_Metropolitan_2026;2026;?;2026-07-12;Hudson Valley;Cedar;2;2;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;?;2026-07-12;Lionsbridge;Charlottesville Blues;1;2;
USA_USLLeagueTwo_GreatLakes_2026;2026;?;2026-07-12;Lorain County Leviathan;Steel City;0;1;
USA_USLLeagueTwo_Chesapeake_2026;2026;?;2026-07-12;Loudoun 2;Northern Virginia;2;1;
USA_USLLeagueTwo_Southeast_2026;2026;?;2026-07-12;Nona;Inter Gainesville;2;2;
USA_USLLeagueTwo_Metropolitan_2026;2026;?;2026-07-12;Ocean City;Eagle FC;2;0;
USA_USLLeagueTwo_Metropolitan_2026;2026;?;2026-07-12;PA Classics;West Chester Utd;1;0;
USA_USLLeagueTwo_Chesapeake_2026;2026;?;2026-07-12;Patuxent;Virginia Beach;0;4;
USA_USLLeagueTwo_Metropolitan_2026;2026;?;2026-07-12;Reading;LVU Rush;1;1;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;?;2026-07-12;Salem City;Wake FC;1;0;
USA_USLLeagueTwo_Heartland_2026;2026;?;2026-07-12;St. Croix;Rockford Raptors;3;0;
USA_USLLeagueTwo_SouthAtlantic_2026;2026;?;2026-07-12;Tobacco Road;Port City;2;3;
USA_USLLeagueTwo_Metropolitan_2026;2026;?;2026-07-12;Ironbound SC;Manhattan;1;1;
USA_USLLeagueTwo_Southeast_2026;2026;?;2026-07-12;Columbus United;East Atlanta;4;1;
USA_USLLeagueTwo_MidSouth_2026;2026;?;2026-07-12;AHFC Royals;Houston FC;3;3;
USA_USLLeagueTwo_Mountain_2026;2026;?;2026-07-12;Atletico Union;Flatirons;2;1;
USA_USLLeagueTwo_Southeast_2026;2026;?;2026-07-12;Dothan United;Apotheos;3;0;
USA_USLLeagueTwo_MidSouth_2026;2026;?;2026-07-12;Houston Sur;San Antonio FC 2;1;4;
USA_USLLeagueTwo_Ranger_2026;2026;?;2026-07-12;Lubbock Matadors;West Texas;0;2;
USA_USLLeagueTwo_GreatPlains_2026;2026;?;2026-07-12;Menace;St. Louis Ambush;3;1;
USA_USLLeagueTwo_MidSouth_2026;2026;?;2026-07-12;Red River;Mississippi Brilla;1;5;
USA_USLLeagueTwo_Ranger_2026;2026;?;2026-07-12;Denton Diablos;Fort Worth Vaqueros;1;0;
USA_USLLeagueTwo_Ranger_2026;2026;?;2026-07-12;McKinney Chupacabras;Texoma;1;2;
USA_USLLeagueTwo_MidSouth_2026;2026;?;2026-07-12;Memphis FC;Jackson Boom;4;2;
USA_USLLeagueTwo_GreatPlains_2026;2026;?;2026-07-12;Peoria;Springfield FC;5;1;
USA_USLLeagueTwo_NorCal_2026;2026;?;2026-07-12;Almaden;Davis Legacy;6;0;
USA_USLLeagueTwo_Mountain_2026;2026;?;2026-07-12;Colorado Storm;Albion Colorado;4;0;
USA_USLLeagueTwo_Southwest_2026;2026;?;2026-07-12;AMSG FC;Southern California;1;2;
USA_USLLeagueTwo_Southwest_2026;2026;?;2026-07-12;Redlands FC;Ventura;1;1;
USA_USLLeagueTwo_Southwest_2026;2026;?;2026-07-12;Stars FC;Capo;3;3;
USA_USLLeagueTwo_Valley_2026;2026;?;2026-07-12;Kings Hammer Columbus;Toledo Villa;4;2;
USA_USLLeagueTwo_Valley_2026;2026;?;2026-07-12;Northern Indiana;Dayton;3;2;
USA_USLLeagueTwo_Heartland_2026;2026;?;2026-07-12;Edgewater Castle;Minneapolis City;0;4;
USA_USLLeagueTwo_Northwest_2026;2026;?;2026-07-12;West Seattle Junction;Portland Bangers;0;2;
