Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate
v22;LAST5;AT_LEAST_ONE_STRONG;1.6;482;181;663;72.6998;301;130;431;69.8376;-2.8622;30.1624
v22;LAST5;BOTH_STRONG;1.6;482;181;663;72.6998;62;35;97;63.9175;-8.7823;36.0825
v22;LAST5;HOME_STRONG;1.6;482;181;663;72.6998;193;70;263;73.384;0.6842;26.616
v22;LAST5;AWAY_STRONG;1.6;482;181;663;72.6998;170;95;265;64.1509;-8.5489;35.8491
v25;LAST5;AT_LEAST_ONE_STRONG;0.8;482;181;663;72.6998;60;28;88;68.1818;-4.518;31.8182
v25;LAST5;BOTH_STRONG;0.8;482;181;663;72.6998;3;2;5;60.0;-12.6998;40.0
v25;LAST5;HOME_STRONG;0.8;482;181;663;72.6998;36;14;50;72.0;-0.6998;28.0
v25;LAST5;AWAY_STRONG;0.8;482;181;663;72.6998;27;16;43;62.7907;-9.9091;37.2093
v25;LAST5;AT_LEAST_ONE_STRONG;1.0;482;181;663;72.6998;102;53;155;65.8065;-6.8933;34.1935
v25;LAST5;BOTH_STRONG;1.0;482;181;663;72.6998;9;5;14;64.2857;-8.4141;35.7143
v25;LAST5;HOME_STRONG;1.0;482;181;663;72.6998;61;27;88;69.3182;-3.3816;30.6818
v25;LAST5;AWAY_STRONG;1.0;482;181;663;72.6998;50;31;81;61.7284;-10.9714;38.2716
v25;LAST5;AT_LEAST_ONE_STRONG;1.1;482;181;663;72.6998;102;53;155;65.8065;-6.8933;34.1935
v25;LAST5;BOTH_STRONG;1.1;482;181;663;72.6998;9;5;14;64.2857;-8.4141;35.7143
v25;LAST5;HOME_STRONG;1.1;482;181;663;72.6998;61;27;88;69.3182;-3.3816;30.6818
v25;LAST5;AWAY_STRONG;1.1;482;181;663;72.6998;50;31;81;61.7284;-10.9714;38.2716
v25;LAST5;AT_LEAST_ONE_STRONG;1.2;482;181;663;72.6998;168;73;241;69.7095;-2.9903;30.2905
v25;LAST5;BOTH_STRONG;1.2;482;181;663;72.6998;18;9;27;66.6667;-6.0331;33.3333
v25;LAST5;HOME_STRONG;1.2;482;181;663;72.6998;101;39;140;72.1429;-0.5569;27.8571
v25;LAST5;AWAY_STRONG;1.2;482;181;663;72.6998;85;43;128;66.4062;-6.2936;33.5938
v25;LAST5;AT_LEAST_ONE_STRONG;1.3;482;181;663;72.6998;168;73;241;69.7095;-2.9903;30.2905
v25;LAST5;BOTH_STRONG;1.3;482;181;663;72.6998;18;9;27;66.6667;-6.0331;33.3333
v25;LAST5;HOME_STRONG;1.3;482;181;663;72.6998;101;39;140;72.1429;-0.5569;27.8571
v25;LAST5;AWAY_STRONG;1.3;482;181;663;72.6998;85;43;128;66.4062;-6.2936;33.5938
v25;LAST5;AT_LEAST_ONE_STRONG;1.4;482;181;663;72.6998;234;102;336;69.6429;-3.0569;30.3571
v25;LAST5;BOTH_STRONG;1.4;482;181;663;72.6998;31;19;50;62.0;-10.6998;38.0
v25;LAST5;HOME_STRONG;1.4;482;181;663;72.6998;141;54;195;72.3077;-0.3921;27.6923
v25;LAST5;AWAY_STRONG;1.4;482;181;663;72.6998;124;67;191;64.9215;-7.7783;35.0785
v25;LAST5;AT_LEAST_ONE_STRONG;1.5;482;181;663;72.6998;234;102;336;69.6429;-3.0569;30.3571
v25;LAST5;BOTH_STRONG;1.5;482;181;663;72.6998;31;19;50;62.0;-10.6998;38.0
v25;LAST5;HOME_STRONG;1.5;482;181;663;72.6998;141;54;195;72.3077;-0.3921;27.6923
v25;LAST5;AWAY_STRONG;1.5;482;181;663;72.6998;124;67;191;64.9215;-7.7783;35.0785
v25;LAST5;AT_LEAST_ONE_STRONG;1.6;482;181;663;72.6998;301;130;431;69.8376;-2.8622;30.1624
v25;LAST5;BOTH_STRONG;1.6;482;181;663;72.6998;62;35;97;63.9175;-8.7823;36.0825
v25;LAST5;HOME_STRONG;1.6;482;181;663;72.6998;193;70;263;73.384;0.6842;26.616
v25;LAST5;AWAY_STRONG;1.6;482;181;663;72.6998;170;95;265;64.1509;-8.5489;35.8491
v26;LAST5;AT_LEAST_ONE_STRONG;0.8;143;44;187;76.4706;23;11;34;67.6471;-8.8235;32.3529
v26;LAST5;BOTH_STRONG;0.8;143;44;187;76.4706;0;1;1;0.0;-76.4706;100.0
v26;LAST5;HOME_STRONG;0.8;143;44;187;76.4706;13;4;17;76.4706;0.0;23.5294
v26;LAST5;AWAY_STRONG;0.8;143;44;187;76.4706;10;8;18;55.5556;-20.915;44.4444
v26;LAST5;AT_LEAST_ONE_STRONG;1.0;143;44;187;76.4706;32;18;50;64.0;-12.4706;36.0
v26;LAST5;BOTH_STRONG;1.0;143;44;187;76.4706;2;2;4;50.0;-26.4706;50.0
v26;LAST5;HOME_STRONG;1.0;143;44;187;76.4706;19;7;26;73.0769;-3.3937;26.9231
v26;LAST5;AWAY_STRONG;1.0;143;44;187;76.4706;15;13;28;53.5714;-22.8992;46.4286
v26;LAST5;AT_LEAST_ONE_STRONG;1.1;143;44;187;76.4706;32;18;50;64.0;-12.4706;36.0
v26;LAST5;BOTH_STRONG;1.1;143;44;187;76.4706;2;2;4;50.0;-26.4706;50.0
v26;LAST5;HOME_STRONG;1.1;143;44;187;76.4706;19;7;26;73.0769;-3.3937;26.9231
v26;LAST5;AWAY_STRONG;1.1;143;44;187;76.4706;15;13;28;53.5714;-22.8992;46.4286
v26;LAST5;AT_LEAST_ONE_STRONG;1.2;143;44;187;76.4706;53;22;75;70.6667;-5.8039;29.3333
v26;LAST5;BOTH_STRONG;1.2;143;44;187;76.4706;4;4;8;50.0;-26.4706;50.0
v26;LAST5;HOME_STRONG;1.2;143;44;187;76.4706;31;11;42;73.8095;-2.6611;26.1905
v26;LAST5;AWAY_STRONG;1.2;143;44;187;76.4706;26;15;41;63.4146;-13.056;36.5854
v26;LAST5;AT_LEAST_ONE_STRONG;1.3;143;44;187;76.4706;53;22;75;70.6667;-5.8039;29.3333
v26;LAST5;BOTH_STRONG;1.3;143;44;187;76.4706;4;4;8;50.0;-26.4706;50.0
v26;LAST5;HOME_STRONG;1.3;143;44;187;76.4706;31;11;42;73.8095;-2.6611;26.1905
v26;LAST5;AWAY_STRONG;1.3;143;44;187;76.4706;26;15;41;63.4146;-13.056;36.5854
v26;LAST5;AT_LEAST_ONE_STRONG;1.4;143;44;187;76.4706;78;30;108;72.2222;-4.2484;27.7778
v26;LAST5;BOTH_STRONG;1.4;143;44;187;76.4706;9;6;15;60.0;-16.4706;40.0
v26;LAST5;HOME_STRONG;1.4;143;44;187;76.4706;45;15;60;75.0;-1.4706;25.0
v26;LAST5;AWAY_STRONG;1.4;143;44;187;76.4706;42;21;63;66.6667;-9.8039;33.3333
v26;LAST5;AT_LEAST_ONE_STRONG;1.5;143;44;187;76.4706;78;30;108;72.2222;-4.2484;27.7778
v26;LAST5;BOTH_STRONG;1.5;143;44;187;76.4706;9;6;15;60.0;-16.4706;40.0
v26;LAST5;HOME_STRONG;1.5;143;44;187;76.4706;45;15;60;75.0;-1.4706;25.0
v26;LAST5;AWAY_STRONG;1.5;143;44;187;76.4706;42;21;63;66.6667;-9.8039;33.3333
v26;LAST5;AT_LEAST_ONE_STRONG;1.6;143;44;187;76.4706;99;37;136;72.7941;-3.6765;27.2059
v26;LAST5;BOTH_STRONG;1.6;143;44;187;76.4706;15;10;25;60.0;-16.4706;40.0
v26;LAST5;HOME_STRONG;1.6;143;44;187;76.4706;61;18;79;77.2152;0.7446;22.7848
v26;LAST5;AWAY_STRONG;1.6;143;44;187;76.4706;53;29;82;64.6341;-11.8365;35.3659
