Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate;AbsoluteDrop
v26;LAST5;HOME_STRONG;1.0;143;44;187;76.4706;19;7;26;73.0769;-3.3937;26.9231;3.3937
v26;LAST5;HOME_STRONG;1.1;143;44;187;76.4706;19;7;26;73.0769;-3.3937;26.9231;3.3937
v22;LAST5;HOME_STRONG;1.0;482;181;663;72.6998;61;27;88;69.3182;-3.3816;30.6818;3.3816
v22;LAST5;HOME_STRONG;1.1;482;181;663;72.6998;61;27;88;69.3182;-3.3816;30.6818;3.3816
v25;LAST5;HOME_STRONG;1.0;482;181;663;72.6998;61;27;88;69.3182;-3.3816;30.6818;3.3816
v25;LAST5;HOME_STRONG;1.1;482;181;663;72.6998;61;27;88;69.3182;-3.3816;30.6818;3.3816
v22;LAST5;AT_LEAST_ONE_STRONG;1.4;482;181;663;72.6998;234;102;336;69.6429;-3.0569;30.3571;3.0569
v22;LAST5;AT_LEAST_ONE_STRONG;1.5;482;181;663;72.6998;234;102;336;69.6429;-3.0569;30.3571;3.0569
v25;LAST5;AT_LEAST_ONE_STRONG;1.4;482;181;663;72.6998;234;102;336;69.6429;-3.0569;30.3571;3.0569
v25;LAST5;AT_LEAST_ONE_STRONG;1.5;482;181;663;72.6998;234;102;336;69.6429;-3.0569;30.3571;3.0569
v26;SEASON;AT_LEAST_ONE_STRONG;1.5;143;44;187;76.4706;72;26;98;73.4694;-3.0012;26.5306;3.0012
v22;LAST5;AT_LEAST_ONE_STRONG;1.2;482;181;663;72.6998;168;73;241;69.7095;-2.9903;30.2905;2.9903
v22;LAST5;AT_LEAST_ONE_STRONG;1.3;482;181;663;72.6998;168;73;241;69.7095;-2.9903;30.2905;2.9903
v25;LAST5;AT_LEAST_ONE_STRONG;1.2;482;181;663;72.6998;168;73;241;69.7095;-2.9903;30.2905;2.9903
v25;LAST5;AT_LEAST_ONE_STRONG;1.3;482;181;663;72.6998;168;73;241;69.7095;-2.9903;30.2905;2.9903
v22;LAST5;AT_LEAST_ONE_STRONG;1.6;482;181;663;72.6998;301;130;431;69.8376;-2.8622;30.1624;2.8622
v25;LAST5;AT_LEAST_ONE_STRONG;1.6;482;181;663;72.6998;301;130;431;69.8376;-2.8622;30.1624;2.8622
v26;LAST5;HOME_STRONG;1.2;143;44;187;76.4706;31;11;42;73.8095;-2.6611;26.1905;2.6611
v26;LAST5;HOME_STRONG;1.3;143;44;187;76.4706;31;11;42;73.8095;-2.6611;26.1905;2.6611
v20;SEASON;AT_LEAST_ONE_STRONG;1.2;95;19;114;83.3333;21;5;26;80.7692;-2.5641;19.2308;2.5641
v20;LAST5;HOME_STRONG;1.4;95;19;114;83.3333;38;9;47;80.8511;-2.4822;19.1489;2.4822
v20;LAST5;HOME_STRONG;1.5;95;19;114;83.3333;38;9;47;80.8511;-2.4822;19.1489;2.4822
v20;SEASON;AT_LEAST_ONE_STRONG;1.1;95;19;114;83.3333;17;4;21;80.9524;-2.3809;19.0476;2.3809
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;95;19;114;83.3333;56;13;69;81.1594;-2.1739;18.8406;2.1739
v20;SEASON;AT_LEAST_ONE_STRONG;1.0;95;19;114;83.3333;13;3;16;81.25;-2.0833;18.75;2.0833
v20;LAST5;HOME_STRONG;0.8;95;19;114;83.3333;13;3;16;81.25;-2.0833;18.75;2.0833
v22;SEASON;AT_LEAST_ONE_STRONG;1.4;482;181;663;72.6998;164;67;231;70.9957;-1.7041;29.0043;1.7041
v25;SEASON;AT_LEAST_ONE_STRONG;1.4;482;181;663;72.6998;164;67;231;70.9957;-1.7041;29.0043;1.7041
v26;LAST5;HOME_STRONG;1.4;143;44;187;76.4706;45;15;60;75.0;-1.4706;25.0;1.4706
v26;LAST5;HOME_STRONG;1.5;143;44;187;76.4706;45;15;60;75.0;-1.4706;25.0;1.4706
v22;SEASON;AT_LEAST_ONE_STRONG;1.3;482;181;663;72.6998;120;48;168;71.4286;-1.2712;28.5714;1.2712
v25;SEASON;AT_LEAST_ONE_STRONG;1.3;482;181;663;72.6998;120;48;168;71.4286;-1.2712;28.5714;1.2712
v22;SEASON;AWAY_STRONG;1.0;482;181;663;72.6998;20;8;28;71.4286;-1.2712;28.5714;1.2712
v25;SEASON;AWAY_STRONG;1.0;482;181;663;72.6998;20;8;28;71.4286;-1.2712;28.5714;1.2712
v26;SEASON;AT_LEAST_ONE_STRONG;1.6;143;44;187;76.4706;90;29;119;75.6303;-0.8403;24.3697;0.8403
v26;SEASON;HOME_STRONG;1.3;143;44;187;76.4706;25;8;33;75.7576;-0.713;24.2424;0.713
v22;LAST5;HOME_STRONG;0.8;482;181;663;72.6998;36;14;50;72.0;-0.6998;28.0;0.6998
