Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate;AbsoluteDrop
v22;LAST5;AWAY_STRONG;1.4;349;128;477;73.1656;84;45;129;65.1163;-8.0493;34.8837;8.0493
v22;LAST5;AWAY_STRONG;1.5;349;128;477;73.1656;84;45;129;65.1163;-8.0493;34.8837;8.0493
v25;LAST5;AWAY_STRONG;1.4;349;128;477;73.1656;84;45;129;65.1163;-8.0493;34.8837;8.0493
v25;LAST5;AWAY_STRONG;1.5;349;128;477;73.1656;84;45;129;65.1163;-8.0493;34.8837;8.0493
v26;LAST5;AT_LEAST_ONE_STRONG;0.8;115;36;151;76.1589;15;7;22;68.1818;-7.9771;31.8182;7.9771
v26;LAST5;HOME_STRONG;1.0;115;36;151;76.1589;13;6;19;68.4211;-7.7378;31.5789;7.7378
v26;LAST5;HOME_STRONG;1.1;115;36;151;76.1589;13;6;19;68.4211;-7.7378;31.5789;7.7378
v26;SEASON;AWAY_STRONG;1.6;115;36;151;76.1589;36;16;52;69.2308;-6.9281;30.7692;6.9281
v22;LAST5;AWAY_STRONG;1.0;349;128;477;73.1656;34;17;51;66.6667;-6.4989;33.3333;6.4989
v22;LAST5;AWAY_STRONG;1.1;349;128;477;73.1656;34;17;51;66.6667;-6.4989;33.3333;6.4989
v25;LAST5;AWAY_STRONG;1.0;349;128;477;73.1656;34;17;51;66.6667;-6.4989;33.3333;6.4989
v25;LAST5;AWAY_STRONG;1.1;349;128;477;73.1656;34;17;51;66.6667;-6.4989;33.3333;6.4989
v22;SEASON;AWAY_STRONG;1.0;349;128;477;73.1656;16;8;24;66.6667;-6.4989;33.3333;6.4989
v25;SEASON;AWAY_STRONG;1.0;349;128;477;73.1656;16;8;24;66.6667;-6.4989;33.3333;6.4989
v22;SEASON;AWAY_STRONG;1.4;349;128;477;73.1656;57;28;85;67.0588;-6.1068;32.9412;6.1068
v25;SEASON;AWAY_STRONG;1.4;349;128;477;73.1656;57;28;85;67.0588;-6.1068;32.9412;6.1068
v22;LAST5;AT_LEAST_ONE_STRONG;1.0;349;128;477;73.1656;67;31;98;68.3673;-4.7983;31.6327;4.7983
v22;LAST5;AT_LEAST_ONE_STRONG;1.1;349;128;477;73.1656;67;31;98;68.3673;-4.7983;31.6327;4.7983
v25;LAST5;AT_LEAST_ONE_STRONG;1.0;349;128;477;73.1656;67;31;98;68.3673;-4.7983;31.6327;4.7983
v25;LAST5;AT_LEAST_ONE_STRONG;1.1;349;128;477;73.1656;67;31;98;68.3673;-4.7983;31.6327;4.7983
v26;SEASON;AT_LEAST_ONE_STRONG;1.2;115;36;151;76.1589;25;10;35;71.4286;-4.7303;28.5714;4.7303
v22;SEASON;BOTH_STRONG;1.6;349;128;477;73.1656;24;11;35;68.5714;-4.5942;31.4286;4.5942
v25;SEASON;BOTH_STRONG;1.6;349;128;477;73.1656;24;11;35;68.5714;-4.5942;31.4286;4.5942
v20;LAST5;AT_LEAST_ONE_STRONG;1.2;68;10;78;87.1795;19;4;23;82.6087;-4.5708;17.3913;4.5708
v20;LAST5;AT_LEAST_ONE_STRONG;1.3;68;10;78;87.1795;19;4;23;82.6087;-4.5708;17.3913;4.5708
v22;SEASON;AWAY_STRONG;1.1;349;128;477;73.1656;20;9;29;68.9655;-4.2001;31.0345;4.2001
v25;SEASON;AWAY_STRONG;1.1;349;128;477;73.1656;20;9;29;68.9655;-4.2001;31.0345;4.2001
v20;LAST5;AT_LEAST_ONE_STRONG;0.8;68;10;78;87.1795;10;2;12;83.3333;-3.8462;16.6667;3.8462
v26;LAST5;AT_LEAST_ONE_STRONG;1.6;115;36;151;76.1589;76;29;105;72.381;-3.7779;27.619;3.7779
v26;SEASON;AT_LEAST_ONE_STRONG;1.1;115;36;151;76.1589;16;6;22;72.7273;-3.4316;27.2727;3.4316
v22;SEASON;AWAY_STRONG;1.5;349;128;477;73.1656;81;35;116;69.8276;-3.338;30.1724;3.338
v25;SEASON;AWAY_STRONG;1.5;349;128;477;73.1656;81;35;116;69.8276;-3.338;30.1724;3.338
v26;LAST5;AT_LEAST_ONE_STRONG;1.4;115;36;151;76.1589;59;22;81;72.8395;-3.3194;27.1605;3.3194
v26;LAST5;AT_LEAST_ONE_STRONG;1.5;115;36;151;76.1589;59;22;81;72.8395;-3.3194;27.1605;3.3194
v22;SEASON;AWAY_STRONG;1.6;349;128;477;73.1656;100;43;143;69.9301;-3.2355;30.0699;3.2355
v25;SEASON;AWAY_STRONG;1.6;349;128;477;73.1656;100;43;143;69.9301;-3.2355;30.0699;3.2355
v22;LAST5;AWAY_STRONG;1.2;349;128;477;73.1656;56;24;80;70.0;-3.1656;30.0;3.1656
v22;LAST5;AWAY_STRONG;1.3;349;128;477;73.1656;56;24;80;70.0;-3.1656;30.0;3.1656
v25;LAST5;AWAY_STRONG;1.2;349;128;477;73.1656;56;24;80;70.0;-3.1656;30.0;3.1656
v25;LAST5;AWAY_STRONG;1.3;349;128;477;73.1656;56;24;80;70.0;-3.1656;30.0;3.1656
v22;SEASON;BOTH_STRONG;1.5;349;128;477;73.1656;14;6;20;70.0;-3.1656;30.0;3.1656
v25;SEASON;BOTH_STRONG;1.5;349;128;477;73.1656;14;6;20;70.0;-3.1656;30.0;3.1656
v26;LAST5;AT_LEAST_ONE_STRONG;1.2;115;36;151;76.1589;38;14;52;73.0769;-3.082;26.9231;3.082
v26;LAST5;AT_LEAST_ONE_STRONG;1.3;115;36;151;76.1589;38;14;52;73.0769;-3.082;26.9231;3.082
v22;LAST5;HOME_STRONG;1.0;349;128;477;73.1656;38;16;54;70.3704;-2.7952;29.6296;2.7952
v22;LAST5;HOME_STRONG;1.1;349;128;477;73.1656;38;16;54;70.3704;-2.7952;29.6296;2.7952
v25;LAST5;HOME_STRONG;1.0;349;128;477;73.1656;38;16;54;70.3704;-2.7952;29.6296;2.7952
v25;LAST5;HOME_STRONG;1.1;349;128;477;73.1656;38;16;54;70.3704;-2.7952;29.6296;2.7952
v22;LAST5;AT_LEAST_ONE_STRONG;1.6;349;128;477;73.1656;211;88;299;70.5686;-2.597;29.4314;2.597
v25;LAST5;AT_LEAST_ONE_STRONG;1.6;349;128;477;73.1656;211;88;299;70.5686;-2.597;29.4314;2.597
v22;SEASON;AWAY_STRONG;1.3;349;128;477;73.1656;41;17;58;70.6897;-2.4759;29.3103;2.4759
v25;SEASON;AWAY_STRONG;1.3;349;128;477;73.1656;41;17;58;70.6897;-2.4759;29.3103;2.4759
v26;SEASON;AT_LEAST_ONE_STRONG;1.0;115;36;151;76.1589;14;5;19;73.6842;-2.4747;26.3158;2.4747
v22;SEASON;AWAY_STRONG;1.2;349;128;477;73.1656;29;12;41;70.7317;-2.4339;29.2683;2.4339
v25;SEASON;AWAY_STRONG;1.2;349;128;477;73.1656;29;12;41;70.7317;-2.4339;29.2683;2.4339
v22;LAST5;AT_LEAST_ONE_STRONG;1.4;349;128;477;73.1656;161;65;226;71.2389;-1.9267;28.7611;1.9267
v22;LAST5;AT_LEAST_ONE_STRONG;1.5;349;128;477;73.1656;161;65;226;71.2389;-1.9267;28.7611;1.9267
v25;LAST5;AT_LEAST_ONE_STRONG;1.4;349;128;477;73.1656;161;65;226;71.2389;-1.9267;28.7611;1.9267
v25;LAST5;AT_LEAST_ONE_STRONG;1.5;349;128;477;73.1656;161;65;226;71.2389;-1.9267;28.7611;1.9267
v22;SEASON;BOTH_STRONG;1.4;349;128;477;73.1656;5;2;7;71.4286;-1.737;28.5714;1.737
v25;SEASON;BOTH_STRONG;1.4;349;128;477;73.1656;5;2;7;71.4286;-1.737;28.5714;1.737
v22;LAST5;BOTH_STRONG;1.0;349;128;477;73.1656;5;2;7;71.4286;-1.737;28.5714;1.737
v22;LAST5;BOTH_STRONG;1.1;349;128;477;73.1656;5;2;7;71.4286;-1.737;28.5714;1.737
v25;LAST5;BOTH_STRONG;1.0;349;128;477;73.1656;5;2;7;71.4286;-1.737;28.5714;1.737
v25;LAST5;BOTH_STRONG;1.1;349;128;477;73.1656;5;2;7;71.4286;-1.737;28.5714;1.737
v26;SEASON;AT_LEAST_ONE_STRONG;1.3;115;36;151;76.1589;35;12;47;74.4681;-1.6908;25.5319;1.6908
v26;SEASON;AT_LEAST_ONE_STRONG;1.4;115;36;151;76.1589;47;16;63;74.6032;-1.5557;25.3968;1.5557
v26;SEASON;AT_LEAST_ONE_STRONG;1.5;115;36;151;76.1589;56;19;75;74.6667;-1.4922;25.3333;1.4922
v22;LAST5;AT_LEAST_ONE_STRONG;0.8;349;128;477;73.1656;38;15;53;71.6981;-1.4675;28.3019;1.4675
v25;LAST5;AT_LEAST_ONE_STRONG;0.8;349;128;477;73.1656;38;15;53;71.6981;-1.4675;28.3019;1.4675
v20;LAST5;AT_LEAST_ONE_STRONG;1.0;68;10;78;87.1795;12;2;14;85.7143;-1.4652;14.2857;1.4652
v20;LAST5;AT_LEAST_ONE_STRONG;1.1;68;10;78;87.1795;12;2;14;85.7143;-1.4652;14.2857;1.4652
v26;LAST5;HOME_STRONG;1.4;115;36;151;76.1589;33;11;44;75.0;-1.1589;25.0;1.1589
v26;LAST5;HOME_STRONG;1.5;115;36;151;76.1589;33;11;44;75.0;-1.1589;25.0;1.1589
v26;LAST5;HOME_STRONG;0.8;115;36;151;76.1589;9;3;12;75.0;-1.1589;25.0;1.1589
v20;SEASON;AT_LEAST_ONE_STRONG;1.6;68;10;78;87.1795;31;5;36;86.1111;-1.0684;13.8889;1.0684
v22;LAST5;AT_LEAST_ONE_STRONG;1.2;349;128;477;73.1656;112;43;155;72.2581;-0.9075;27.7419;0.9075
v22;LAST5;AT_LEAST_ONE_STRONG;1.3;349;128;477;73.1656;112;43;155;72.2581;-0.9075;27.7419;0.9075
v25;LAST5;AT_LEAST_ONE_STRONG;1.2;349;128;477;73.1656;112;43;155;72.2581;-0.9075;27.7419;0.9075
v25;LAST5;AT_LEAST_ONE_STRONG;1.3;349;128;477;73.1656;112;43;155;72.2581;-0.9075;27.7419;0.9075
v22;SEASON;AT_LEAST_ONE_STRONG;1.4;349;128;477;73.1656;118;45;163;72.3926;-0.773;27.6074;0.773
v25;SEASON;AT_LEAST_ONE_STRONG;1.4;349;128;477;73.1656;118;45;163;72.3926;-0.773;27.6074;0.773
v26;SEASON;AT_LEAST_ONE_STRONG;1.6;115;36;151;76.1589;68;22;90;75.5556;-0.6033;24.4444;0.6033
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;68;10;78;87.1795;26;4;30;86.6667;-0.5128;13.3333;0.5128
v26;LAST5;HOME_STRONG;1.2;115;36;151;76.1589;22;7;29;75.8621;-0.2968;24.1379;0.2968
v26;LAST5;HOME_STRONG;1.3;115;36;151;76.1589;22;7;29;75.8621;-0.2968;24.1379;0.2968
v20;SEASON;AT_LEAST_ONE_STRONG;1.3;68;10;78;87.1795;20;3;23;86.9565;-0.223;13.0435;0.223
v22;SEASON;AT_LEAST_ONE_STRONG;1.0;349;128;477;73.1656;38;14;52;73.0769;-0.0887;26.9231;0.0887
v25;SEASON;AT_LEAST_ONE_STRONG;1.0;349;128;477;73.1656;38;14;52;73.0769;-0.0887;26.9231;0.0887
v20;LAST5;AT_LEAST_ONE_STRONG;1.4;68;10;78;87.1795;27;4;31;87.0968;-0.0827;12.9032;0.0827
v20;LAST5;AT_LEAST_ONE_STRONG;1.5;68;10;78;87.1795;27;4;31;87.0968;-0.0827;12.9032;0.0827
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;68;10;78;87.1795;41;6;47;87.234;0.0545;12.766;-0.0545
v26;LAST5;HOME_STRONG;1.6;115;36;151;76.1589;45;14;59;76.2712;0.1123;23.7288;-0.1123
v22;LAST5;HOME_STRONG;1.4;349;128;477;73.1656;94;33;127;74.0157;0.8501;25.9843;-0.8501
v22;LAST5;HOME_STRONG;1.5;349;128;477;73.1656;94;33;127;74.0157;0.8501;25.9843;-0.8501
v25;LAST5;HOME_STRONG;1.4;349;128;477;73.1656;94;33;127;74.0157;0.8501;25.9843;-0.8501
v25;LAST5;HOME_STRONG;1.5;349;128;477;73.1656;94;33;127;74.0157;0.8501;25.9843;-0.8501
v22;SEASON;AT_LEAST_ONE_STRONG;1.5;349;128;477;73.1656;152;53;205;74.1463;0.9807;25.8537;-0.9807
v25;SEASON;AT_LEAST_ONE_STRONG;1.5;349;128;477;73.1656;152;53;205;74.1463;0.9807;25.8537;-0.9807
v22;SEASON;AT_LEAST_ONE_STRONG;1.6;349;128;477;73.1656;181;63;244;74.1803;1.0147;25.8197;-1.0147
v25;SEASON;AT_LEAST_ONE_STRONG;1.6;349;128;477;73.1656;181;63;244;74.1803;1.0147;25.8197;-1.0147
v22;SEASON;AT_LEAST_ONE_STRONG;1.3;349;128;477;73.1656;90;31;121;74.3802;1.2146;25.6198;-1.2146
v25;SEASON;AT_LEAST_ONE_STRONG;1.3;349;128;477;73.1656;90;31;121;74.3802;1.2146;25.6198;-1.2146
v20;SEASON;HOME_STRONG;1.6;68;10;78;87.1795;31;4;35;88.5714;1.3919;11.4286;-1.3919
v22;LAST5;HOME_STRONG;1.2;349;128;477;73.1656;65;22;87;74.7126;1.547;25.2874;-1.547
v22;LAST5;HOME_STRONG;1.3;349;128;477;73.1656;65;22;87;74.7126;1.547;25.2874;-1.547
v25;LAST5;HOME_STRONG;1.2;349;128;477;73.1656;65;22;87;74.7126;1.547;25.2874;-1.547
v25;LAST5;HOME_STRONG;1.3;349;128;477;73.1656;65;22;87;74.7126;1.547;25.2874;-1.547
v22;LAST5;HOME_STRONG;1.6;349;128;477;73.1656;131;44;175;74.8571;1.6915;25.1429;-1.6915
v25;LAST5;HOME_STRONG;1.6;349;128;477;73.1656;131;44;175;74.8571;1.6915;25.1429;-1.6915
v20;SEASON;AT_LEAST_ONE_STRONG;1.4;68;10;78;87.1795;24;3;27;88.8889;1.7094;11.1111;-1.7094
v22;LAST5;BOTH_STRONG;1.2;349;128;477;73.1656;9;3;12;75.0;1.8344;25.0;-1.8344
v22;LAST5;BOTH_STRONG;1.3;349;128;477;73.1656;9;3;12;75.0;1.8344;25.0;-1.8344
v25;LAST5;BOTH_STRONG;1.2;349;128;477;73.1656;9;3;12;75.0;1.8344;25.0;-1.8344
v25;LAST5;BOTH_STRONG;1.3;349;128;477;73.1656;9;3;12;75.0;1.8344;25.0;-1.8344
v22;SEASON;AT_LEAST_ONE_STRONG;1.2;349;128;477;73.1656;68;22;90;75.5556;2.39;24.4444;-2.39
v25;SEASON;AT_LEAST_ONE_STRONG;1.2;349;128;477;73.1656;68;22;90;75.5556;2.39;24.4444;-2.39
v20;SEASON;HOME_STRONG;1.5;68;10;78;87.1795;26;3;29;89.6552;2.4757;10.3448;-2.4757
v26;SEASON;HOME_STRONG;1.6;115;36;151;76.1589;37;10;47;78.7234;2.5645;21.2766;-2.5645
v20;LAST5;HOME_STRONG;1.2;68;10;78;87.1795;18;2;20;90.0;2.8205;10.0;-2.8205
v20;LAST5;HOME_STRONG;1.3;68;10;78;87.1795;18;2;20;90.0;2.8205;10.0;-2.8205
v22;SEASON;AT_LEAST_ONE_STRONG;1.1;349;128;477;73.1656;48;15;63;76.1905;3.0249;23.8095;-3.0249
v25;SEASON;AT_LEAST_ONE_STRONG;1.1;349;128;477;73.1656;48;15;63;76.1905;3.0249;23.8095;-3.0249
v26;SEASON;HOME_STRONG;1.5;115;36;151;76.1589;31;8;39;79.4872;3.3283;20.5128;-3.3283
v22;LAST5;HOME_STRONG;0.8;349;128;477;73.1656;23;7;30;76.6667;3.5011;23.3333;-3.5011
v25;LAST5;HOME_STRONG;0.8;349;128;477;73.1656;23;7;30;76.6667;3.5011;23.3333;-3.5011
v20;SEASON;HOME_STRONG;1.3;68;10;78;87.1795;20;2;22;90.9091;3.7296;9.0909;-3.7296
v20;LAST5;HOME_STRONG;0.8;68;10;78;87.1795;10;1;11;90.9091;3.7296;9.0909;-3.7296
v22;SEASON;HOME_STRONG;1.6;349;128;477;73.1656;105;31;136;77.2059;4.0403;22.7941;-4.0403
v25;SEASON;HOME_STRONG;1.6;349;128;477;73.1656;105;31;136;77.2059;4.0403;22.7941;-4.0403
v22;SEASON;HOME_STRONG;1.4;349;128;477;73.1656;66;19;85;77.6471;4.4815;22.3529;-4.4815
v25;SEASON;HOME_STRONG;1.4;349;128;477;73.1656;66;19;85;77.6471;4.4815;22.3529;-4.4815
v20;LAST5;HOME_STRONG;1.0;68;10;78;87.1795;11;1;12;91.6667;4.4872;8.3333;-4.4872
v20;LAST5;HOME_STRONG;1.1;68;10;78;87.1795;11;1;12;91.6667;4.4872;8.3333;-4.4872
v22;SEASON;AWAY_STRONG;0.8;349;128;477;73.1656;7;2;9;77.7778;4.6122;22.2222;-4.6122
v25;SEASON;AWAY_STRONG;0.8;349;128;477;73.1656;7;2;9;77.7778;4.6122;22.2222;-4.6122
v22;SEASON;HOME_STRONG;1.5;349;128;477;73.1656;85;24;109;77.9817;4.8161;22.0183;-4.8161
v25;SEASON;HOME_STRONG;1.5;349;128;477;73.1656;85;24;109;77.9817;4.8161;22.0183;-4.8161
v22;SEASON;HOME_STRONG;1.3;349;128;477;73.1656;50;14;64;78.125;4.9594;21.875;-4.9594
v25;SEASON;HOME_STRONG;1.3;349;128;477;73.1656;50;14;64;78.125;4.9594;21.875;-4.9594
v20;SEASON;HOME_STRONG;1.4;68;10;78;87.1795;24;2;26;92.3077;5.1282;7.6923;-5.1282
v20;LAST5;HOME_STRONG;1.4;68;10;78;87.1795;24;2;26;92.3077;5.1282;7.6923;-5.1282
v20;LAST5;HOME_STRONG;1.5;68;10;78;87.1795;24;2;26;92.3077;5.1282;7.6923;-5.1282
v20;SEASON;AT_LEAST_ONE_STRONG;1.0;68;10;78;87.1795;12;1;13;92.3077;5.1282;7.6923;-5.1282
v22;SEASON;HOME_STRONG;1.0;349;128;477;73.1656;22;6;28;78.5714;5.4058;21.4286;-5.4058
v25;SEASON;HOME_STRONG;1.0;349;128;477;73.1656;22;6;28;78.5714;5.4058;21.4286;-5.4058
v20;LAST5;HOME_STRONG;1.6;68;10;78;87.1795;38;3;41;92.6829;5.5034;7.3171;-5.5034
v26;SEASON;HOME_STRONG;1.0;115;36;151;76.1589;9;2;11;81.8182;5.6593;18.1818;-5.6593
v26;SEASON;HOME_STRONG;1.4;115;36;151;76.1589;28;6;34;82.3529;6.194;17.6471;-6.194
v26;SEASON;HOME_STRONG;1.2;115;36;151;76.1589;14;3;17;82.3529;6.194;17.6471;-6.194
v22;SEASON;HOME_STRONG;1.2;349;128;477;73.1656;39;10;49;79.5918;6.4262;20.4082;-6.4262
v25;SEASON;HOME_STRONG;1.2;349;128;477;73.1656;39;10;49;79.5918;6.4262;20.4082;-6.4262
v26;SEASON;HOME_STRONG;1.3;115;36;151;76.1589;19;4;23;82.6087;6.4498;17.3913;-6.4498
v20;SEASON;AT_LEAST_ONE_STRONG;1.1;68;10;78;87.1795;15;1;16;93.75;6.5705;6.25;-6.5705
v26;SEASON;HOME_STRONG;1.1;115;36;151;76.1589;10;2;12;83.3333;7.1744;16.6667;-7.1744
v20;SEASON;AT_LEAST_ONE_STRONG;1.2;68;10;78;87.1795;18;1;19;94.7368;7.5573;5.2632;-7.5573
v22;SEASON;AT_LEAST_ONE_STRONG;0.8;349;128;477;73.1656;13;3;16;81.25;8.0844;18.75;-8.0844
v25;SEASON;AT_LEAST_ONE_STRONG;0.8;349;128;477;73.1656;13;3;16;81.25;8.0844;18.75;-8.0844
v22;SEASON;HOME_STRONG;1.1;349;128;477;73.1656;28;6;34;82.3529;9.1873;17.6471;-9.1873
v25;SEASON;HOME_STRONG;1.1;349;128;477;73.1656;28;6;34;82.3529;9.1873;17.6471;-9.1873
v22;SEASON;HOME_STRONG;0.8;349;128;477;73.1656;6;1;7;85.7143;12.5487;14.2857;-12.5487
v25;SEASON;HOME_STRONG;0.8;349;128;477;73.1656;6;1;7;85.7143;12.5487;14.2857;-12.5487
v20;SEASON;HOME_STRONG;1.2;68;10;78;87.1795;18;0;18;100.0;12.8205;0.0;-12.8205
v20;SEASON;HOME_STRONG;1.1;68;10;78;87.1795;15;0;15;100.0;12.8205;0.0;-12.8205
v20;SEASON;HOME_STRONG;1.0;68;10;78;87.1795;12;0;12;100.0;12.8205;0.0;-12.8205
v20;SEASON;HOME_STRONG;0.8;68;10;78;87.1795;3;0;3;100.0;12.8205;0.0;-12.8205
v20;LAST5;BOTH_STRONG;1.6;68;10;78;87.1795;3;0;3;100.0;12.8205;0.0;-12.8205
v26;SEASON;AT_LEAST_ONE_STRONG;0.8;115;36;151;76.1589;5;0;5;100.0;23.8411;0.0;-23.8411
v26;SEASON;HOME_STRONG;0.8;115;36;151;76.1589;3;0;3;100.0;23.8411;0.0;-23.8411
v26;SEASON;AWAY_STRONG;0.8;115;36;151;76.1589;2;0;2;100.0;23.8411;0.0;-23.8411
