Engine;Metric;Rule;Threshold;Baseline_OK;Baseline_KO;Baseline_Total;Baseline_HitRate;OK;KO;Total;HitRate;DeltaVsBaseline;KO_Rate
v25;SEASON;AWAY_STRONG;1.1;482;181;663;72.6998;24;12;36;66.6667;-6.0331;33.3333
v25;SEASON;AT_LEAST_ONE_STRONG;1.2;482;181;663;72.6998;91;33;124;73.3871;0.6873;26.6129
v25;SEASON;BOTH_STRONG;1.2;482;181;663;72.6998;2;0;2;100.0;27.3002;0.0
v25;SEASON;HOME_STRONG;1.2;482;181;663;72.6998;55;16;71;77.4648;4.765;22.5352
v25;SEASON;AWAY_STRONG;1.2;482;181;663;72.6998;38;17;55;69.0909;-3.6089;30.9091
v25;SEASON;AT_LEAST_ONE_STRONG;1.3;482;181;663;72.6998;120;48;168;71.4286;-1.2712;28.5714
v25;SEASON;BOTH_STRONG;1.3;482;181;663;72.6998;4;0;4;100.0;27.3002;0.0
v25;SEASON;HOME_STRONG;1.3;482;181;663;72.6998;71;22;93;76.3441;3.6443;23.6559
v25;SEASON;AWAY_STRONG;1.3;482;181;663;72.6998;53;26;79;67.0886;-5.6112;32.9114
v25;SEASON;AT_LEAST_ONE_STRONG;1.4;482;181;663;72.6998;164;67;231;70.9957;-1.7041;29.0043
v25;SEASON;BOTH_STRONG;1.4;482;181;663;72.6998;9;4;13;69.2308;-3.469;30.7692
v25;SEASON;HOME_STRONG;1.4;482;181;663;72.6998;93;31;124;75.0;2.3002;25.0
v25;SEASON;AWAY_STRONG;1.4;482;181;663;72.6998;80;40;120;66.6667;-6.0331;33.3333
v25;SEASON;AT_LEAST_ONE_STRONG;1.5;482;181;663;72.6998;214;81;295;72.5424;-0.1574;27.4576
v25;SEASON;BOTH_STRONG;1.5;482;181;663;72.6998;20;10;30;66.6667;-6.0331;33.3333
v25;SEASON;HOME_STRONG;1.5;482;181;663;72.6998;124;38;162;76.5432;3.8434;23.4568
v25;SEASON;AWAY_STRONG;1.5;482;181;663;72.6998;110;53;163;67.4847;-5.2151;32.5153
v25;SEASON;AT_LEAST_ONE_STRONG;1.6;482;181;663;72.6998;255;99;354;72.0339;-0.6659;27.9661
v25;SEASON;BOTH_STRONG;1.6;482;181;663;72.6998;32;18;50;64.0;-8.6998;36.0
v25;SEASON;HOME_STRONG;1.6;482;181;663;72.6998;151;51;202;74.7525;2.0527;25.2475
v25;SEASON;AWAY_STRONG;1.6;482;181;663;72.6998;136;66;202;67.3267;-5.3731;32.6733
v26;SEASON;AT_LEAST_ONE_STRONG;0.8;143;44;187;76.4706;5;0;5;100.0;23.5294;0.0
v26;SEASON;BOTH_STRONG;0.8;143;44;187;76.4706;0;0;0;0.0;-76.4706;0.0
v26;SEASON;HOME_STRONG;0.8;143;44;187;76.4706;3;0;3;100.0;23.5294;0.0
v26;SEASON;AWAY_STRONG;0.8;143;44;187;76.4706;2;0;2;100.0;23.5294;0.0
v26;SEASON;AT_LEAST_ONE_STRONG;1.0;143;44;187;76.4706;16;6;22;72.7273;-3.7433;27.2727
v26;SEASON;BOTH_STRONG;1.0;143;44;187;76.4706;0;0;0;0.0;-76.4706;0.0
v26;SEASON;HOME_STRONG;1.0;143;44;187;76.4706;11;3;14;78.5714;2.1008;21.4286
v26;SEASON;AWAY_STRONG;1.0;143;44;187;76.4706;5;3;8;62.5;-13.9706;37.5
v26;SEASON;AT_LEAST_ONE_STRONG;1.1;143;44;187;76.4706;18;10;28;64.2857;-12.1849;35.7143
v26;SEASON;BOTH_STRONG;1.1;143;44;187;76.4706;0;0;0;0.0;-76.4706;0.0
v26;SEASON;HOME_STRONG;1.1;143;44;187;76.4706;12;5;17;70.5882;-5.8824;29.4118
v26;SEASON;AWAY_STRONG;1.1;143;44;187;76.4706;6;5;11;54.5455;-21.9251;45.4545
v26;SEASON;AT_LEAST_ONE_STRONG;1.2;143;44;187;76.4706;29;15;44;65.9091;-10.5615;34.0909
v26;SEASON;BOTH_STRONG;1.2;143;44;187;76.4706;0;0;0;0.0;-76.4706;0.0
v26;SEASON;HOME_STRONG;1.2;143;44;187;76.4706;18;7;25;72.0;-4.4706;28.0
v26;SEASON;AWAY_STRONG;1.2;143;44;187;76.4706;11;8;19;57.8947;-18.5759;42.1053
v26;SEASON;AT_LEAST_ONE_STRONG;1.3;143;44;187;76.4706;42;17;59;71.1864;-5.2842;28.8136
v26;SEASON;BOTH_STRONG;1.3;143;44;187;76.4706;0;0;0;0.0;-76.4706;0.0
v26;SEASON;HOME_STRONG;1.3;143;44;187;76.4706;25;8;33;75.7576;-0.713;24.2424
v26;SEASON;AWAY_STRONG;1.3;143;44;187;76.4706;17;9;26;65.3846;-11.086;34.6154
v26;SEASON;AT_LEAST_ONE_STRONG;1.4;143;44;187;76.4706;57;21;78;73.0769;-3.3937;26.9231
v26;SEASON;BOTH_STRONG;1.4;143;44;187;76.4706;1;1;2;50.0;-26.4706;50.0
v26;SEASON;HOME_STRONG;1.4;143;44;187;76.4706;35;10;45;77.7778;1.3072;22.2222
v26;SEASON;AWAY_STRONG;1.4;143;44;187;76.4706;23;12;35;65.7143;-10.7563;34.2857
v26;SEASON;AT_LEAST_ONE_STRONG;1.5;143;44;187;76.4706;72;26;98;73.4694;-3.0012;26.5306
v26;SEASON;BOTH_STRONG;1.5;143;44;187;76.4706;2;2;4;50.0;-26.4706;50.0
v26;SEASON;HOME_STRONG;1.5;143;44;187;76.4706;41;12;53;77.3585;0.8879;22.6415
v26;SEASON;AWAY_STRONG;1.5;143;44;187;76.4706;33;16;49;67.3469;-9.1237;32.6531
v26;SEASON;AT_LEAST_ONE_STRONG;1.6;143;44;187;76.4706;90;29;119;75.6303;-0.8403;24.3697
v26;SEASON;BOTH_STRONG;1.6;143;44;187;76.4706;5;5;10;50.0;-26.4706;50.0
v26;SEASON;HOME_STRONG;1.6;143;44;187;76.4706;50;15;65;76.9231;0.4525;23.0769
v26;SEASON;AWAY_STRONG;1.6;143;44;187;76.4706;45;19;64;70.3125;-6.1581;29.6875
