Engine;LeagueId;Home;Away;Reason
v21;Germany_Regionalliga_Bayern;Unterhaching;Furth II;Squadra non trovata nella classifica ricostruita
v21;Denmark_Superliga;Sonderjyske;Midtjylland;Squadra non trovata nella classifica ricostruita
v21;Denmark_Superliga;FC Copenhagen;Lyngby;Squadra non trovata nella classifica ricostruita
v21;Denmark_Superliga;Horsens;Nordsjaelland;Squadra non trovata nella classifica ricostruita
v21;Denmark_1stDivision;Hobro;Aarhus Fremad;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Nordost;Chemie Leipzig;Babelsberg;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Nordost;Greifswald;Hallescher;Squadra non trovata nella classifica ricostruita
v21;Germany_Regionalliga_Nordost;Jena;Zwickau;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Hamburg;HEBC Hamburg;Niendorfer TSV;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Hamburg;Sasel;TSV Buchholz 08;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Hamburg;Pinneberg;Harksheide;Squadra non trovata nella classifica ricostruita
v21;Germany_Oberliga_Hamburg;Vorwarts-Wacker;Tesla Hamburg;Squadra non trovata nella classifica ricostruita
v21;Poland_Ekstraklasa;Rakow;Plock;Squadra non trovata nella classifica ricostruita
v21;Poland_Ekstraklasa;Widzew Lodz;Motor Lublin;Squadra non trovata nella classifica ricostruita
v21;Poland_Ekstraklasa;Wisla;Katowice;Squadra non trovata nella classifica ricostruita
v21;Poland_Division1;Termalica B-B.;Ruch;Squadra non trovata nella classifica ricostruita
v21;Poland_Division1;Skierniewice;Stal Mielec;Squadra non trovata nella classifica ricostruita
v21;Poland_Division1;Puszcza;Polonia W.;Squadra non trovata nella classifica ricostruita
v21;Poland_Division2;Avia Swidnik;Ol. Grudziadz;Squadra non trovata nella classifica ricostruita
v21;Poland_Division2;Chojniczanka;Tychy;Squadra non trovata nella classifica ricostruita
v21;CzechRepublic_ChNL;Slavia Praga B;Pribram;Squadra non trovata nella classifica ricostruita
v21;CzechRepublic_ChNL;Ostrava B;Vlasim;Squadra non trovata nella classifica ricostruita
v21;Russia_PremierLeague;Lok. Mosca;Akhmat Grozny;Squadra non trovata nella classifica ricostruita
v21;Russia_PremierLeague;Kazan;Krasnodar;Squadra non trovata nella classifica ricostruita
v21;Russia_PremierLeague;Orenburg;FK Rostov;Squadra non trovata nella classifica ricostruita
v21;Ukraine_PershaLiga;Kolos Kovalivka 2;Prykarpattya;Squadra non trovata nella classifica ricostruita
v21;Ukraine_PershaLiga;Probiy Horodenka;Inhulets;Squadra non trovata nella classifica ricostruita
v21;Ukraine_PershaLiga;Kulikiv;Metalist Kharkiv;Squadra non trovata nella classifica ricostruita
