Rule1;Rule2;Rule3;ALTA_OK;ALTA_KO;MEDIA_OK;MEDIA_KO;AltaTotal;AltaHitRate;MediaTotal;MediaHitRate;PrimaryUse
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0;105;13;25;13;118;0.889831;38;0.657895;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.5;88;11;15;14;99;0.888889;29;0.517241;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;56;7;22;10;63;0.888889;32;0.6875;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;56;7;27;6;63;0.888889;33;0.818182;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;AwayPPGLast5<=0.8;HomeMatchesSinceRestart>=3.0;56;7;27;6;63;0.888889;33;0.818182;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=32.0;AwayPPGLast5<=0.8;48;6;24;7;54;0.888889;31;0.774194;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=32.0;AwayPPGLast5<=0.8;48;6;24;7;54;0.888889;31;0.774194;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.5;AwayPPGLast5<=0.8;HomeOverRateSinceRestart>=0.667;48;6;18;6;54;0.888889;24;0.75;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0332;HomeLongBreakDays<=32.0;135;17;24;17;152;0.888158;41;0.585366;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.714;HomeGFAvgSinceRestart>=2.0;AwayPPGLast5<=0.8;71;9;33;14;80;0.8875;47;0.702128;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=1.667;149;19;30;24;168;0.886905;54;0.555556;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;78;10;14;10;88;0.886364;24;0.583333;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;78;10;14;10;88;0.886364;24;0.583333;REDUCE_ALTA_KO
