Driver1;Driver2;Count;Correlation;AbsoluteCorrelation;RedundancyLevel
AwayOverRateSinceRestart;AtLeastOneTeamRestartNotReady;43;-0.281763;0.281763;LOW
HomeLast10OverScore;AwayPPGLast5;43;-0.280403;0.280403;LOW
HomeLast10OverScore;HomeRestartNotReady;43;-0.280052;0.280052;LOW
HomeLast10OverScore;HomeRestartReady;43;0.280052;0.280052;LOW
HomeAttackScore;AveragePPGLast5;43;0.276838;0.276838;LOW
HomeAttackScore;TotalPPGLast5;43;0.276838;0.276838;LOW
HomeLongBreakDays;HomeRestartNotReady;43;0.275859;0.275859;LOW
HomeLongBreakDays;HomeRestartReady;43;-0.275859;0.275859;LOW
AwayPPGLast5;HomeGFAvgSinceRestart;43;-0.275527;0.275527;LOW
HomeWinlessLast5;AwayRestartNotReady;43;-0.274352;0.274352;LOW
HomeWinlessLast5;AwayRestartReady;43;0.274352;0.274352;LOW
AwayVenueOverScore;AwayMatchesSinceRestart;43;0.271423;0.271423;LOW
HomeVenueOverScore;HomeMatchesSinceRestart;43;0.270473;0.270473;LOW
BTTSProfileScore;AwayGFAvgSinceRestart;43;0.268864;0.268864;LOW
HomeGALast5Avg;HomeGFAvgSinceRestart;43;-0.268493;0.268493;LOW
AwayAttackScore;HomeGALast5Avg;43;0.268283;0.268283;LOW
HomeDefenseWeaknessScore;HomeWinlessLast5;43;0.267716;0.267716;LOW
AwayVenueOverScore;AwayLowPPGLowGF;43;-0.266208;0.266208;LOW
HomeDefenseWeaknessScore;HomeLongBreakDays;43;-0.265749;0.265749;LOW
HomeDefenseWeaknessScore;WorstPPGLast5;43;-0.265518;0.265518;LOW
AwayWinsLast5;HomeGFLast5Avg;43;-0.265406;0.265406;LOW
AwayVenueOverScore;HomeMatchesSinceRestart;43;0.264089;0.264089;LOW
AveragePPGLast5;AwayGFAvgSinceRestart;43;0.263692;0.263692;LOW
TotalPPGLast5;AwayGFAvgSinceRestart;43;0.263692;0.263692;LOW
HomeRestartNotReady;BothTeamsRestartNotReady;43;0.263181;0.263181;LOW
HomeRestartReady;BothTeamsRestartNotReady;43;-0.263181;0.263181;LOW
HomeWinsLast5;AwayGFAvgSinceRestart;43;-0.262464;0.262464;LOW
HomeDefenseWeaknessScore;AwayGFAvgSinceRestart;43;0.261782;0.261782;LOW
AwayAttackScore;AwayWinlessLast5;43;-0.261417;0.261417;LOW
HomeGFAvgSinceRestart;AwayRestartNotReady;43;0.261226;0.261226;LOW
HomeGFAvgSinceRestart;AwayRestartReady;43;-0.261226;0.261226;LOW
WorstPPGLast5;AwayLowPPGLowGF;43;-0.261084;0.261084;LOW
HomeAttackScore;HomeMatchesSinceRestart;43;0.260796;0.260796;LOW
AwayGFLast5Avg;HomeRestartNotReady;43;0.257671;0.257671;LOW
AwayGFLast5Avg;HomeRestartReady;43;-0.257671;0.257671;LOW
AwayAttackScore;HomeWinsLast5;43;-0.256356;0.256356;LOW
HomeVenueOverScore;BothTeamsRestartNotReady;43;0.252731;0.252731;LOW
HomeDefenseWeaknessScore;AwayRestartNotReady;43;-0.252701;0.252701;LOW
HomeDefenseWeaknessScore;AwayRestartReady;43;0.252701;0.252701;LOW
AwayRestartNotReady;BothTeamsRestartNotReady;43;0.248008;0.248008;LOW
AwayRestartReady;BothTeamsRestartNotReady;43;-0.248008;0.248008;LOW
HomeLast10OverScore;AwayOverRateSinceRestart;43;0.248005;0.248005;LOW
AwayWinlessLast5;AwayGALast5Avg;43;0.24714;0.24714;LOW
BTTSProfileScore;AwayGFLast5Avg;43;0.246374;0.246374;LOW
AwayRestartReady;HomeRestartNotReady;43;0.24595;0.24595;LOW
HomeRestartNotReady;AwayRestartNotReady;43;-0.24595;0.24595;LOW
HomeRestartReady;AwayRestartNotReady;43;0.24595;0.24595;LOW
HomeRestartReady;AwayRestartReady;43;-0.24595;0.24595;LOW
HomeDefenseWeaknessScore;HomeMatchesSinceRestart;43;0.242045;0.242045;LOW
HomeLast10OverScore;AwayWinsLast5;43;-0.241958;0.241958;LOW
AwayGFLast5Avg;HomeGALast5Avg;43;0.241827;0.241827;LOW
AwayAttackScore;HomePPGLast5;43;-0.239874;0.239874;LOW
AwayPPGLast5;HomeLongBreakDays;43;0.239013;0.239013;LOW
AwayAttackScore;HomeGFLast5Avg;43;-0.238114;0.238114;LOW
AwayWinlessLast5;AwayRestartNotReady;43;0.236651;0.236651;LOW
AwayWinlessLast5;AwayRestartReady;43;-0.236651;0.236651;LOW
HomeLast10OverScore;AwayLongBreakDays;43;-0.236305;0.236305;LOW
HomeLast10OverScore;AwayVenueOverScore;43;0.235695;0.235695;LOW
WorstPPGLast5;HomeGFAvgSinceRestart;43;0.23567;0.23567;LOW
HomeAttackScore;WorstPPGLast5;43;0.233434;0.233434;LOW
HomePPGLast5;AwayPPGLast5;43;-0.23156;0.23156;LOW
HomeGFLast5Avg;HomeGALast5Avg;43;-0.229619;0.229619;LOW
AwayGALast5Avg;AwayOverRateSinceRestart;43;0.229473;0.229473;LOW
