Driver;Band;BinIndex;BinMin;BinMax;OK;KO;Total;HitRate
AwayVenueOverScore;ALTA;5;7.334;7.5;0;0;0;
AwayVenueOverScore;ALTA;6;7.5;7.78;3;2;5;0.6
AwayVenueOverScore;ALTA;7;7.78;8.33;1;1;2;0.5
AwayVenueOverScore;ALTA;8;8.33;8.678;1;0;1;1.0
AwayVenueOverScore;ALTA;9;8.678;10.0;5;1;6;0.833333
AwayVenueOverScore;MEDIA;1;2.0;4.0;2;1;3;0.666667
AwayVenueOverScore;MEDIA;2;4.0;5.0;4;0;4;1.0
AwayVenueOverScore;MEDIA;3;5.0;6.402;2;3;5;0.4
AwayVenueOverScore;MEDIA;4;6.402;7.334;1;1;2;0.5
AwayVenueOverScore;MEDIA;5;7.334;7.5;0;0;0;
AwayVenueOverScore;MEDIA;6;7.5;7.78;1;2;3;0.333333
AwayVenueOverScore;MEDIA;7;7.78;8.33;1;1;2;0.5
AwayVenueOverScore;MEDIA;8;8.33;8.678;3;1;4;0.75
AwayVenueOverScore;MEDIA;9;8.678;10.0;3;0;3;1.0
BTTSProfileScore;ALTA;1;4.5;6.286;0;0;0;
BTTSProfileScore;ALTA;2;6.286;6.592;0;0;0;
BTTSProfileScore;ALTA;3;6.592;7.304;1;0;1;1.0
BTTSProfileScore;ALTA;4;7.304;7.636;0;2;2;0.0
BTTSProfileScore;ALTA;5;7.636;7.99;1;0;1;1.0
BTTSProfileScore;ALTA;6;7.99;8.086;2;0;2;1.0
BTTSProfileScore;ALTA;7;8.086;8.428;2;0;2;1.0
BTTSProfileScore;ALTA;8;8.428;8.67;1;0;1;1.0
BTTSProfileScore;ALTA;9;8.67;9.33;3;1;4;0.75
BTTSProfileScore;ALTA;10;9.33;11.25;3;1;4;0.75
BTTSProfileScore;MEDIA;1;4.5;6.286;4;1;5;0.8
BTTSProfileScore;MEDIA;2;6.286;6.592;2;2;4;0.5
BTTSProfileScore;MEDIA;3;6.592;7.304;2;1;3;0.666667
BTTSProfileScore;MEDIA;4;7.304;7.636;2;0;2;1.0
BTTSProfileScore;MEDIA;5;7.636;7.99;2;1;3;0.666667
BTTSProfileScore;MEDIA;6;7.99;8.086;2;1;3;0.666667
BTTSProfileScore;MEDIA;7;8.086;8.428;1;1;2;0.5
BTTSProfileScore;MEDIA;8;8.428;8.67;1;1;2;0.5
BTTSProfileScore;MEDIA;9;8.67;9.33;0;0;0;
BTTSProfileScore;MEDIA;10;9.33;11.25;1;1;2;0.5
HomePPGLast5;ALTA;1;0.2;0.28;2;1;3;0.666667
HomePPGLast5;ALTA;2;0.28;0.8;0;0;0;
HomePPGLast5;ALTA;3;0.8;1.12;0;1;1;0.0
HomePPGLast5;ALTA;4;1.12;1.2;0;0;0;
HomePPGLast5;ALTA;5;1.2;1.4;2;0;2;1.0
HomePPGLast5;ALTA;6;1.4;1.6;1;0;1;1.0
HomePPGLast5;ALTA;7;1.6;1.8;2;1;3;0.666667
HomePPGLast5;ALTA;8;1.8;1.92;3;0;3;1.0
HomePPGLast5;ALTA;9;1.92;2.4;2;0;2;1.0
HomePPGLast5;ALTA;10;2.4;2.6;1;1;2;0.5
HomePPGLast5;MEDIA;1;0.2;0.28;1;1;2;0.5
HomePPGLast5;MEDIA;2;0.28;0.8;1;1;2;0.5
HomePPGLast5;MEDIA;3;0.8;1.12;2;3;5;0.4
HomePPGLast5;MEDIA;4;1.12;1.2;0;0;0;
HomePPGLast5;MEDIA;5;1.2;1.4;5;1;6;0.833333
HomePPGLast5;MEDIA;6;1.4;1.6;2;1;3;0.666667
HomePPGLast5;MEDIA;7;1.6;1.8;1;0;1;1.0
HomePPGLast5;MEDIA;8;1.8;1.92;2;0;2;1.0
HomePPGLast5;MEDIA;9;1.92;2.4;1;0;1;1.0
HomePPGLast5;MEDIA;10;2.4;2.6;2;2;4;0.5
AwayPPGLast5;ALTA;1;0.2;0.64;2;1;3;0.666667
AwayPPGLast5;ALTA;2;0.64;0.8;0;0;0;
AwayPPGLast5;ALTA;3;0.8;1.0;2;0;2;1.0
AwayPPGLast5;ALTA;4;1.0;1.2;2;0;2;1.0
AwayPPGLast5;ALTA;5;1.2;1.4;2;0;2;1.0
AwayPPGLast5;ALTA;6;1.4;1.6;1;1;2;0.5
AwayPPGLast5;ALTA;7;1.6;1.8;1;0;1;1.0
AwayPPGLast5;ALTA;8;1.8;1.92;1;2;3;0.333333
AwayPPGLast5;ALTA;9;1.92;2.36;0;0;0;
AwayPPGLast5;ALTA;10;2.36;2.6;2;0;2;1.0
AwayPPGLast5;MEDIA;1;0.2;0.64;1;1;2;0.5
AwayPPGLast5;MEDIA;2;0.64;0.8;0;0;0;
AwayPPGLast5;MEDIA;3;0.8;1.0;3;1;4;0.75
AwayPPGLast5;MEDIA;4;1.0;1.2;2;0;2;1.0
AwayPPGLast5;MEDIA;5;1.2;1.4;1;0;1;1.0
AwayPPGLast5;MEDIA;6;1.4;1.6;1;3;4;0.25
AwayPPGLast5;MEDIA;7;1.6;1.8;3;0;3;1.0
AwayPPGLast5;MEDIA;8;1.8;1.92;2;1;3;0.666667
AwayPPGLast5;MEDIA;9;1.92;2.36;2;2;4;0.5
AwayPPGLast5;MEDIA;10;2.36;2.6;2;1;3;0.666667
WorstPPGLast5;ALTA;1;0.2;0.6;3;1;4;0.75
WorstPPGLast5;ALTA;2;0.6;0.8;1;1;2;0.5
WorstPPGLast5;ALTA;3;0.8;1.0;2;1;3;0.666667
WorstPPGLast5;ALTA;4;1.0;1.2;1;0;1;1.0
WorstPPGLast5;ALTA;5;1.2;1.4;3;0;3;1.0
WorstPPGLast5;ALTA;6;1.4;1.6;0;0;0;
WorstPPGLast5;ALTA;7;1.6;1.8;3;1;4;0.75
WorstPPGLast5;MEDIA;1;0.2;0.6;2;2;4;0.5
WorstPPGLast5;MEDIA;2;0.6;0.8;1;1;2;0.5
WorstPPGLast5;MEDIA;3;0.8;1.0;3;3;6;0.5
WorstPPGLast5;MEDIA;4;1.0;1.2;3;0;3;1.0
WorstPPGLast5;MEDIA;5;1.2;1.4;4;1;5;0.8
WorstPPGLast5;MEDIA;6;1.4;1.6;2;2;4;0.5
WorstPPGLast5;MEDIA;7;1.6;1.8;2;0;2;1.0
AveragePPGLast5;ALTA;1;0.5;0.9;1;1;2;0.5
AveragePPGLast5;ALTA;2;0.9;1.04;2;0;2;1.0
AveragePPGLast5;ALTA;3;1.04;1.2;0;1;1;0.0
AveragePPGLast5;ALTA;4;1.2;1.3;3;0;3;1.0
AveragePPGLast5;ALTA;5;1.3;1.4;2;1;3;0.666667
AveragePPGLast5;ALTA;6;1.4;1.5;0;0;0;
AveragePPGLast5;ALTA;7;1.5;1.6;1;0;1;1.0
AveragePPGLast5;ALTA;8;1.6;1.7;1;0;1;1.0
AveragePPGLast5;ALTA;9;1.7;2.0;1;0;1;1.0
AveragePPGLast5;ALTA;10;2.0;2.1;2;1;3;0.666667
AveragePPGLast5;MEDIA;1;0.5;0.9;1;1;2;0.5
AveragePPGLast5;MEDIA;2;0.9;1.04;2;1;3;0.666667
AveragePPGLast5;MEDIA;3;1.04;1.2;1;1;2;0.5
AveragePPGLast5;MEDIA;4;1.2;1.3;0;0;0;
AveragePPGLast5;MEDIA;5;1.3;1.4;2;1;3;0.666667
AveragePPGLast5;MEDIA;6;1.4;1.5;1;0;1;1.0
AveragePPGLast5;MEDIA;7;1.5;1.6;4;2;6;0.666667
AveragePPGLast5;MEDIA;8;1.6;1.7;4;1;5;0.8
AveragePPGLast5;MEDIA;9;1.7;2.0;1;0;1;1.0
AveragePPGLast5;MEDIA;10;2.0;2.1;1;2;3;0.333333
TotalPPGLast5;ALTA;1;1.0;1.8;1;1;2;0.5
TotalPPGLast5;ALTA;2;1.8;2.08;2;0;2;1.0
TotalPPGLast5;ALTA;3;2.08;2.4;0;1;1;0.0
TotalPPGLast5;ALTA;4;2.4;2.6;3;0;3;1.0
TotalPPGLast5;ALTA;5;2.6;2.8;2;1;3;0.666667
TotalPPGLast5;ALTA;6;2.8;3.0;0;0;0;
TotalPPGLast5;ALTA;7;3.0;3.2;1;0;1;1.0
TotalPPGLast5;ALTA;8;3.2;3.4;1;0;1;1.0
TotalPPGLast5;ALTA;9;3.4;4.0;1;0;1;1.0
TotalPPGLast5;ALTA;10;4.0;4.2;2;1;3;0.666667
TotalPPGLast5;MEDIA;1;1.0;1.8;1;1;2;0.5
TotalPPGLast5;MEDIA;2;1.8;2.08;2;1;3;0.666667
TotalPPGLast5;MEDIA;3;2.08;2.4;1;1;2;0.5
TotalPPGLast5;MEDIA;4;2.4;2.6;0;0;0;
TotalPPGLast5;MEDIA;5;2.6;2.8;2;1;3;0.666667
TotalPPGLast5;MEDIA;6;2.8;3.0;1;0;1;1.0
TotalPPGLast5;MEDIA;7;3.0;3.2;4;2;6;0.666667
TotalPPGLast5;MEDIA;8;3.2;3.4;4;1;5;0.8
TotalPPGLast5;MEDIA;9;3.4;4.0;1;0;1;1.0
TotalPPGLast5;MEDIA;10;4.0;4.2;1;2;3;0.333333
HomeWinsLast5;ALTA;1;0.0;1.0;2;1;3;0.666667
HomeWinsLast5;ALTA;2;1.0;1.6;0;1;1;0.0
HomeWinsLast5;ALTA;3;1.6;2.0;0;0;0;
HomeWinsLast5;ALTA;4;2.0;2.4;6;1;7;0.857143
HomeWinsLast5;ALTA;5;2.4;3.0;0;0;0;
HomeWinsLast5;ALTA;6;3.0;4.0;5;1;6;0.833333
HomeWinsLast5;MEDIA;1;0.0;1.0;2;2;4;0.5
HomeWinsLast5;MEDIA;2;1.0;1.6;2;3;5;0.4
HomeWinsLast5;MEDIA;3;1.6;2.0;0;0;0;
HomeWinsLast5;MEDIA;4;2.0;2.4;8;2;10;0.8
HomeWinsLast5;MEDIA;5;2.4;3.0;0;0;0;
HomeWinsLast5;MEDIA;6;3.0;4.0;5;2;7;0.714286
AwayWinsLast5;ALTA;1;0.0;1.0;1;0;1;1.0
AwayWinsLast5;ALTA;2;1.0;2.0;5;1;6;0.833333
AwayWinsLast5;ALTA;3;2.0;3.0;4;1;5;0.8
AwayWinsLast5;ALTA;4;3.0;3.8;1;2;3;0.333333
AwayWinsLast5;ALTA;5;3.8;4.0;2;0;2;1.0
AwayWinsLast5;MEDIA;1;0.0;1.0;1;1;2;0.5
AwayWinsLast5;MEDIA;2;1.0;2.0;5;1;6;0.833333
AwayWinsLast5;MEDIA;3;2.0;3.0;6;3;9;0.666667
AwayWinsLast5;MEDIA;4;3.0;3.8;3;3;6;0.5
AwayWinsLast5;MEDIA;5;3.8;4.0;2;1;3;0.666667
HomeWinlessLast5;ALTA;1;0.0;1.0;13;4;17;0.764706
HomeWinlessLast5;MEDIA;1;0.0;1.0;17;9;26;0.653846
AwayWinlessLast5;ALTA;1;0.0;1.0;13;4;17;0.764706
AwayWinlessLast5;MEDIA;1;0.0;1.0;17;9;26;0.653846
BothTeamsWinlessLast5;ALTA;1;0.0;0.0;13;4;17;0.764706
BothTeamsWinlessLast5;MEDIA;1;0.0;0.0;17;9;26;0.653846
HomeGFLast5Avg;ALTA;1;0.6;1.0;1;0;1;1.0
HomeGFLast5Avg;ALTA;2;1.0;1.08;1;0;1;1.0
HomeGFLast5Avg;ALTA;3;1.08;1.2;0;0;0;
HomeGFLast5Avg;ALTA;4;1.2;1.4;1;0;1;1.0
HomeGFLast5Avg;ALTA;5;1.4;1.6;0;0;0;
HomeGFLast5Avg;ALTA;6;1.6;2.0;2;2;4;0.5
HomeGFLast5Avg;ALTA;7;2.0;2.2;1;1;2;0.5
HomeGFLast5Avg;ALTA;8;2.2;2.4;3;0;3;1.0
HomeGFLast5Avg;ALTA;9;2.4;2.96;2;0;2;1.0
HomeGFLast5Avg;ALTA;10;2.96;3.4;2;1;3;0.666667
HomeGFLast5Avg;MEDIA;1;0.6;1.0;1;2;3;0.333333
HomeGFLast5Avg;MEDIA;2;1.0;1.08;4;0;4;1.0
HomeGFLast5Avg;MEDIA;3;1.08;1.2;0;0;0;
HomeGFLast5Avg;MEDIA;4;1.2;1.4;4;2;6;0.666667
HomeGFLast5Avg;MEDIA;5;1.4;1.6;1;1;2;0.5
HomeGFLast5Avg;MEDIA;6;1.6;2.0;2;1;3;0.666667
HomeGFLast5Avg;MEDIA;7;2.0;2.2;1;0;1;1.0
HomeGFLast5Avg;MEDIA;8;2.2;2.4;0;2;2;0.0
HomeGFLast5Avg;MEDIA;9;2.4;2.96;3;0;3;1.0
HomeGFLast5Avg;MEDIA;10;2.96;3.4;1;1;2;0.5
AwayGFLast5Avg;ALTA;1;0.6;1.2;1;0;1;1.0
AwayGFLast5Avg;ALTA;2;1.2;1.4;2;1;3;0.666667
AwayGFLast5Avg;ALTA;3;1.4;1.8;2;0;2;1.0
AwayGFLast5Avg;ALTA;4;1.8;2.0;1;0;1;1.0
AwayGFLast5Avg;ALTA;5;2.0;2.08;1;0;1;1.0
AwayGFLast5Avg;ALTA;6;2.08;2.32;3;1;4;0.75
AwayGFLast5Avg;ALTA;7;2.32;2.6;1;0;1;1.0
AwayGFLast5Avg;ALTA;8;2.6;4.4;2;2;4;0.5
AwayGFLast5Avg;MEDIA;1;0.6;1.2;2;1;3;0.666667
AwayGFLast5Avg;MEDIA;2;1.2;1.4;1;2;3;0.333333
AwayGFLast5Avg;MEDIA;3;1.4;1.8;6;3;9;0.666667
AwayGFLast5Avg;MEDIA;4;1.8;2.0;1;0;1;1.0
AwayGFLast5Avg;MEDIA;5;2.0;2.08;4;2;6;0.666667
AwayGFLast5Avg;MEDIA;6;2.08;2.32;0;0;0;
AwayGFLast5Avg;MEDIA;7;2.32;2.6;1;0;1;1.0
AwayGFLast5Avg;MEDIA;8;2.6;4.4;2;1;3;0.666667
HomeGALast5Avg;ALTA;1;0.6;1.0;0;0;0;
HomeGALast5Avg;ALTA;2;1.0;1.2;0;2;2;0.0
HomeGALast5Avg;ALTA;3;1.2;1.4;3;0;3;1.0
HomeGALast5Avg;ALTA;4;1.4;1.6;1;0;1;1.0
HomeGALast5Avg;ALTA;5;1.6;1.84;2;0;2;1.0
HomeGALast5Avg;ALTA;6;1.84;2.2;0;0;0;
HomeGALast5Avg;ALTA;7;2.2;2.4;1;0;1;1.0
HomeGALast5Avg;ALTA;8;2.4;2.56;4;0;4;1.0
HomeGALast5Avg;ALTA;9;2.56;4.0;2;2;4;0.5
HomeGALast5Avg;MEDIA;1;0.6;1.0;2;1;3;0.666667
HomeGALast5Avg;MEDIA;2;1.0;1.2;1;0;1;1.0
HomeGALast5Avg;MEDIA;3;1.2;1.4;2;0;2;1.0
HomeGALast5Avg;MEDIA;4;1.4;1.6;7;1;8;0.875
HomeGALast5Avg;MEDIA;5;1.6;1.84;2;2;4;0.5
HomeGALast5Avg;MEDIA;6;1.84;2.2;1;1;2;0.5
HomeGALast5Avg;MEDIA;7;2.2;2.4;0;3;3;0.0
HomeGALast5Avg;MEDIA;8;2.4;2.56;1;1;2;0.5
HomeGALast5Avg;MEDIA;9;2.56;4.0;1;0;1;1.0
AwayGALast5Avg;ALTA;1;0.6;1.04;0;0;0;
AwayGALast5Avg;ALTA;2;1.04;1.2;0;0;0;
AwayGALast5Avg;ALTA;3;1.2;1.52;3;0;3;1.0
AwayGALast5Avg;ALTA;4;1.52;1.76;0;0;0;
AwayGALast5Avg;ALTA;5;1.76;1.8;0;0;0;
AwayGALast5Avg;ALTA;6;1.8;2.0;1;1;2;0.5
AwayGALast5Avg;ALTA;7;2.0;2.2;2;0;2;1.0
AwayGALast5Avg;ALTA;8;2.2;2.6;3;2;5;0.6
AwayGALast5Avg;ALTA;9;2.6;3.8;4;1;5;0.8
AwayGALast5Avg;MEDIA;1;0.6;1.04;1;4;5;0.2
AwayGALast5Avg;MEDIA;2;1.04;1.2;0;0;0;
AwayGALast5Avg;MEDIA;3;1.2;1.52;4;1;5;0.8
AwayGALast5Avg;MEDIA;4;1.52;1.76;4;0;4;1.0
AwayGALast5Avg;MEDIA;5;1.76;1.8;0;0;0;
AwayGALast5Avg;MEDIA;6;1.8;2.0;4;1;5;0.8
AwayGALast5Avg;MEDIA;7;2.0;2.2;2;1;3;0.666667
AwayGALast5Avg;MEDIA;8;2.2;2.6;2;1;3;0.666667
AwayGALast5Avg;MEDIA;9;2.6;3.8;0;1;1;0.0
HomeLowPPGLowGF;ALTA;1;0.0;1.0;13;4;17;0.764706
HomeLowPPGLowGF;MEDIA;1;0.0;1.0;17;9;26;0.653846
AwayLowPPGLowGF;ALTA;1;0.0;1.0;13;4;17;0.764706
AwayLowPPGLowGF;MEDIA;1;0.0;1.0;17;9;26;0.653846
BothTeamsLowPPGLowGF;ALTA;1;0.0;0.0;13;4;17;0.764706
BothTeamsLowPPGLowGF;MEDIA;1;0.0;0.0;17;9;26;0.653846
HomeLongBreakDetected;ALTA;1;1.0;1.0;13;4;17;0.764706
HomeLongBreakDetected;MEDIA;1;1.0;1.0;17;9;26;0.653846
AwayLongBreakDetected;ALTA;1;1.0;1.0;13;4;17;0.764706
AwayLongBreakDetected;MEDIA;1;1.0;1.0;17;9;26;0.653846
HomeLongBreakDays;ALTA;1;21.0;23.2;6;3;9;0.666667
HomeLongBreakDays;ALTA;2;23.2;35.8;2;0;2;1.0
HomeLongBreakDays;ALTA;3;35.8;36.0;0;0;0;
HomeLongBreakDays;ALTA;4;36.0;38.0;2;0;2;1.0
HomeLongBreakDays;ALTA;5;38.0;42.4;1;1;2;0.5
HomeLongBreakDays;ALTA;6;42.4;44.6;0;0;0;
HomeLongBreakDays;ALTA;7;44.6;47.8;0;0;0;
