LeagueId;PredictionDate;MatchDate;Round;Home;Away;Band;Outcome;HG;AG;MatchStatus;Reason;BaseCandidates;HistorySource
Germany_Regionalliga_Bayern;2026-07-30;2026-07-31;2;Norinberga II;Unterhaching;BASSA;OK;1;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Denmark_1stDivision;2026-07-30;2026-07-31;2;Aarhus Fremad;Aalborg;BASSA;OK;1;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
CzechRepublic_1Liga;2026-07-30;2026-07-31;2;Sparta Praga;Zlin;BASSA;OK;3;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
CzechRepublic_ChNL;2026-07-30;2026-07-31;2;Pribram;Opava;BASSA;KO;1;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Nord;2026-07-30;2026-07-31;4;Cham;Fortuna Regensburg;BASSA;OK;2;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-30;2026-07-31;3;Ismaning;Landshut;BASSA;OK;3;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Ukraine_PershaLiga;2026-07-30;2026-07-31;2;Ahrobiznes Volochysk;Fenix Mariupol;BASSA;KO;2;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Romania_Superliga;2026-07-30;2026-07-31;3;FC Arges;Csikszereda M. Ciuc;BASSA;KO;1;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Nord;2026-07-30;2026-07-31;4;Neumarkt;Kornburg;BASSA;KO;0;1;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Regionalliga_Bayern;2026-07-30;2026-07-31;2;Burghausen;Bayern II;BASSA;KO;2;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Sud;2026-07-30;2026-07-31;3;Erlbach;Deisenhofen;BASSA;KO;1;0;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Hungary_NBI;2026-07-30;2026-07-31;2;Puskas Academy;Kisvarda;BASSA;KO;0;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
Germany_Oberliga_Bayern_Nord;2026-07-30;2026-07-31;4;Ammerthal;Bayern Hof;BASSA;OK;1;2;FINAL;NO_TEAM_LEAGUE_CANDIDATE;0;data\storico\ranking\v25\storico_ranking_v25.csv
