Team;LeagueId
Birmingham Legion FC II;USA_USLLeagueTwo_SouthCentral_2026
East Atlanta FC;USA_USLLeagueTwo_SouthCentral_2026
Charlotte Independence 2;USA_USLLeagueTwo_SouthAtlantic_2026
Hickory FC;USA_USLLeagueTwo_SouthAtlantic_2026
Hickory;USA_USLLeagueTwo_SouthAtlantic_2026
Asheville City SC;USA_USLLeagueTwo_SouthAtlantic_2026
Appalachian FC;USA_USLLeagueTwo_SouthAtlantic_2026
South Carolina United Bantams;USA_USLLeagueTwo_SouthAtlantic_2026
North Carolina FC U23;USA_USLLeagueTwo_SouthAtlantic_2026
Charlotte Eagles;USA_USLLeagueTwo_SouthAtlantic_2026
Salem City FC;USA_USLLeagueTwo_SouthAtlantic_2026
Tobacco Road FC;USA_USLLeagueTwo_SouthAtlantic_2026
Tobacco Road;USA_USLLeagueTwo_SouthAtlantic_2026
Port City FC;USA_USLLeagueTwo_SouthAtlantic_2026
Wake FC;USA_USLLeagueTwo_SouthAtlantic_2026
San Francisco City FC;USA_USLLeagueTwo_NorCal_2026
San Francisco City;USA_USLLeagueTwo_NorCal_2026
Project 51O;USA_USLLeagueTwo_NorCal_2026
Almaden FC;USA_USLLeagueTwo_NorCal_2026
San Francisco Glens SC;USA_USLLeagueTwo_NorCal_2026
Davis Legacy SC;USA_USLLeagueTwo_NorCal_2026
Davis Legacy;USA_USLLeagueTwo_NorCal_2026
Marin FC Legends;USA_USLLeagueTwo_NorCal_2026
Marin;USA_USLLeagueTwo_NorCal_2026
Academica SC;USA_USLLeagueTwo_NorCal_2026
San Juan SC;USA_USLLeagueTwo_NorCal_2026
San Juan;USA_USLLeagueTwo_NorCal_2026
Vermont Green FC;USA_USLLeagueTwo_Northeast_2026
NEFC;USA_USLLeagueTwo_Northeast_2026
Western Mass Pioneers;USA_USLLeagueTwo_Northeast_2026
Black Rock FC;USA_USLLeagueTwo_Northeast_2026
Albany Rush;USA_USLLeagueTwo_Northeast_2026
Connecticut Rush;USA_USLLeagueTwo_Northeast_2026
Boston Bolts;USA_USLLeagueTwo_Northeast_2026
Seacoast United Phantoms;USA_USLLeagueTwo_Northeast_2026
AC Connecticut;USA_USLLeagueTwo_Northeast_2026
Boston City FC;USA_USLLeagueTwo_Northeast_2026
Ironbound SC;USA_USLLeagueTwo_Metropolitan_2026
FC Motown STA;USA_USLLeagueTwo_Metropolitan_2026
Motown 2;USA_USLLeagueTwo_Metropolitan_2026
Long Island Rough Riders;USA_USLLeagueTwo_Metropolitan_2026
Hudson Valley Hammers;USA_USLLeagueTwo_Metropolitan_2026
Hudson Valley;USA_USLLeagueTwo_Metropolitan_2026
Cedar Stars;USA_USLLeagueTwo_Metropolitan_2026
Manhattan SC;USA_USLLeagueTwo_Metropolitan_2026
New Jersey Copa FC;USA_USLLeagueTwo_Metropolitan_2026
New Jersey Copa;USA_USLLeagueTwo_Metropolitan_2026
Morris Elite SC;USA_USLLeagueTwo_Metropolitan_2026
Morris Elite;USA_USLLeagueTwo_Metropolitan_2026
Staten Island ASC;USA_USLLeagueTwo_Metropolitan_2026
Westchester Flames;USA_USLLeagueTwo_Metropolitan_2026
Laredo Heat SC;USA_USLLeagueTwo_LoneStar_2026
GFI;USA_USLLeagueTwo_LoneStar_2026
GFI Woodlands;USA_USLLeagueTwo_LoneStar_2026
AHFC Royals;USA_USLLeagueTwo_LoneStar_2026
Lonestar SC;USA_USLLeagueTwo_LoneStar_2026
San Antonio FC II;USA_USLLeagueTwo_LoneStar_2026
San Antonio FC 2;USA_USLLeagueTwo_LoneStar_2026
Houston FC;USA_USLLeagueTwo_LoneStar_2026
Twin City Toucans;USA_USLLeagueTwo_LoneStar_2026
Hill Country Lobos;USA_USLLeagueTwo_LoneStar_2026
AC Houston Sur;USA_USLLeagueTwo_LoneStar_2026
Houston Sur;USA_USLLeagueTwo_LoneStar_2026
Flint City Bucks;USA_USLLeagueTwo_GreatLakes_2026
Flint City;USA_USLLeagueTwo_GreatLakes_2026
Oakland County FC;USA_USLLeagueTwo_GreatLakes_2026
Kalamazoo FC;USA_USLLeagueTwo_GreatLakes_2026
Midwest United FC;USA_USLLeagueTwo_GreatLakes_2026
Midwest United;USA_USLLeagueTwo_GreatLakes_2026
AFC Ann Arbor;USA_USLLeagueTwo_GreatLakes_2026
Ann Arbor;USA_USLLeagueTwo_GreatLakes_2026
Union FC Macomb;USA_USLLeagueTwo_GreatLakes_2026
Lansing City Football;USA_USLLeagueTwo_GreatLakes_2026
Lionsbridge FC;USA_USLLeagueTwo_Chesapeake_2026
Lionsbridge;USA_USLLeagueTwo_Chesapeake_2026
Virginia Beach United;USA_USLLeagueTwo_Chesapeake_2026
Charlottesville Blues FC;USA_USLLeagueTwo_Chesapeake_2026
Charlottesville Blues;USA_USLLeagueTwo_Chesapeake_2026
Christos FC;USA_USLLeagueTwo_Chesapeake_2026
Hill City FC;USA_USLLeagueTwo_Chesapeake_2026
Hill City;USA_USLLeagueTwo_Chesapeake_2026
Northern Virginia FC;USA_USLLeagueTwo_Chesapeake_2026
Northern Virginia;USA_USLLeagueTwo_Chesapeake_2026
Loudoun United FC 2;USA_USLLeagueTwo_Chesapeake_2026
Loudoun 2;USA_USLLeagueTwo_Chesapeake_2026
Annapolis Blues FC;USA_USLLeagueTwo_Chesapeake_2026
Annapolis Blues;USA_USLLeagueTwo_Chesapeake_2026
Bethesda SC;USA_USLLeagueTwo_Chesapeake_2026
Virginia Marauders FC;USA_USLLeagueTwo_Chesapeake_2026
Patuxent FA;USA_USLLeagueTwo_Chesapeake_2026
Patuxent;USA_USLLeagueTwo_Chesapeake_2026
Ocean City Nor'easters;USA_USLLeagueTwo_MidAtlantic_2026
LVU Rush;USA_USLLeagueTwo_MidAtlantic_2026
West Chester United SC;USA_USLLeagueTwo_MidAtlantic_2026
Real Central NJ;USA_USLLeagueTwo_MidAtlantic_2026
RC New Jersey;USA_USLLeagueTwo_MidAtlantic_2026
Philadelphia Lone Star FC;USA_USLLeagueTwo_MidAtlantic_2026
Reading United AC;USA_USLLeagueTwo_MidAtlantic_2026
PA Classics;USA_USLLeagueTwo_MidAtlantic_2026
Delaware FC;USA_USLLeagueTwo_MidAtlantic_2026
Eagle FC;USA_USLLeagueTwo_MidAtlantic_2026
Snohomish United;USA_USLLeagueTwo_Northwest_2026
Ballard FC;USA_USLLeagueTwo_Northwest_2026
Ballard;USA_USLLeagueTwo_Northwest_2026
Bangers FC;USA_USLLeagueTwo_Northwest_2026
Tacoma Stars;USA_USLLeagueTwo_Northwest_2026
Midlakes United;USA_USLLeagueTwo_Northwest_2026
FC Olympia;USA_USLLeagueTwo_Northwest_2026
West Seattle Junction FC;USA_USLLeagueTwo_Northwest_2026
West Seattle Junction;USA_USLLeagueTwo_Northwest_2026
Bigfoot FC;USA_USLLeagueTwo_Northwest_2026
Ventura County Fusion;USA_USLLeagueTwo_Southwest_2026
Ventura;USA_USLLeagueTwo_Southwest_2026
Redlands FC;USA_USLLeagueTwo_Southwest_2026
Stars FC;USA_USLLeagueTwo_Southwest_2026
FC Tucson;USA_USLLeagueTwo_Southwest_2026
Capo FC;USA_USLLeagueTwo_Southwest_2026
Capo;USA_USLLeagueTwo_Southwest_2026
City SC;USA_USLLeagueTwo_Southwest_2026
Southern California Eagles;USA_USLLeagueTwo_Southwest_2026
Southern California;USA_USLLeagueTwo_Southwest_2026
AMSG FC;USA_USLLeagueTwo_Southwest_2026
Minneapolis City SC;USA_USLLeagueTwo_Heartland_2026
Minneapolis City;USA_USLLeagueTwo_Heartland_2026
Sueno FC;USA_USLLeagueTwo_Heartland_2026
Sueno;USA_USLLeagueTwo_Heartland_2026
River Light FC;USA_USLLeagueTwo_Heartland_2026
River Light;USA_USLLeagueTwo_Heartland_2026
Chicago Dutch Lions FC;USA_USLLeagueTwo_Heartland_2026
Rockford Raptors FC;USA_USLLeagueTwo_Heartland_2026
Rockford Raptors;USA_USLLeagueTwo_Heartland_2026
St. Croix Legends;USA_USLLeagueTwo_Heartland_2026
RKC Third Coast;USA_USLLeagueTwo_Heartland_2026
RKC SC;USA_USLLeagueTwo_Heartland_2026
Rochester FC;USA_USLLeagueTwo_Heartland_2026
Edgewater Castle FC;USA_USLLeagueTwo_Heartland_2026
Edgewater Castle;USA_USLLeagueTwo_Heartland_2026
Brave SC;USA_USLLeagueTwo_Southeast_2026
Nona FC;USA_USLLeagueTwo_Southeast_2026
Brooke House FC;USA_USLLeagueTwo_Southeast_2026
Sporting JAX;USA_USLLeagueTwo_Southeast_2026
Shark Coast FC;USA_USLLeagueTwo_Southeast_2026
Inter Gainesville KF;USA_USLLeagueTwo_Southeast_2026
Inter Gainesville;USA_USLLeagueTwo_Southeast_2026
