StrongDefenseThreshold;LowRecentPPGThreshold;VulnerableDefenseThreshold;HighRecentPPGThreshold;StrongDefenseWeight;RecentFormWeight;RestartWeight;VulnerableDefensesBonusWeight;StrongRecentFormBonusWeight;RestartReadyBonusWeight;MaxTotalPenalty;MaxTotalBonus;BaselineAltaOK;BaselineAltaKO;BaselineAltaTotal;BaselineAltaPrecision;SimulatedAltaOK;SimulatedAltaKO;SimulatedAltaTotal;SimulatedAltaPrecision;AltaCoverage;AltaKOAvoided;AltaOKLost;ProtectiveBalance;AltaOKPromoted;AltaKOPromoted;PromotionBalance;NetGain;Stage;Accepted
4.0;0.6;8.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;195;70;265;73.5849;100.0;0;0;0;0;0;0;0;strong_defense;NO
4.5;0.6;8.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;195;70;265;73.5849;100.0;0;0;0;0;0;0;0;strong_defense;NO
5.0;0.6;8.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;195;70;265;73.5849;100.0;0;0;0;0;0;0;0;strong_defense;NO
5.5;0.6;8.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;195;70;265;73.5849;100.0;0;0;0;0;0;0;0;strong_defense;NO
6.0;0.6;8.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;195;70;265;73.5849;100.0;0;0;0;0;0;0;0;strong_defense;NO
5.5;0.6;8.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;66;256;74.2188;96.6038;4;5;-1;0;0;0;-1;strong_defense;NO
6.0;0.6;8.0;1.4;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;185;62;247;74.8988;93.2075;8;10;-2;0;0;0;-2;strong_defense;NO
5.0;0.6;8.0;1.4;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;186;63;249;74.6988;93.9623;7;9;-2;0;0;0;-2;strong_defense;NO
4.5;0.6;8.0;1.4;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;66;255;74.1176;96.2264;4;6;-2;0;0;0;-2;strong_defense;NO
6.0;0.6;8.0;1.4;1.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;181;59;240;75.4167;90.566;11;14;-3;0;0;0;-3;strong_defense;NO
5.0;0.6;8.0;1.4;1.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;182;60;242;75.2066;91.3208;10;13;-3;0;0;0;-3;strong_defense;NO
5.5;0.6;8.0;1.4;1.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;185;63;248;74.5968;93.5849;7;10;-3;0;0;0;-3;strong_defense;NO
4.0;0.6;8.0;1.4;2.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;188;66;254;74.0157;95.8491;4;7;-3;0;0;0;-3;strong_defense;NO
3.5;0.6;8.0;1.4;1.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;67;256;73.8281;96.6038;3;6;-3;0;0;0;-3;strong_defense;NO
3.5;0.6;8.0;1.4;2.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;67;256;73.8281;96.6038;3;6;-3;0;0;0;-3;strong_defense;NO
4.0;0.6;8.0;1.4;1.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;189;67;256;73.8281;96.6038;3;6;-3;0;0;0;-3;strong_defense;NO
3.0;0.6;8.0;1.4;1.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;68;258;73.6434;97.3585;2;5;-3;0;0;0;-3;strong_defense;NO
3.0;0.6;8.0;1.4;2.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;190;68;258;73.6434;97.3585;2;5;-3;0;0;0;-3;strong_defense;NO
6.0;0.6;8.0;1.4;2.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;177;56;233;75.9657;87.9245;14;18;-4;0;0;0;-4;strong_defense;NO
5.0;0.6;8.0;1.4;2.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;179;58;237;75.5274;89.434;12;16;-4;0;0;0;-4;strong_defense;NO
5.5;0.6;8.0;1.4;1.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;181;60;241;75.1037;90.9434;10;14;-4;0;0;0;-4;strong_defense;NO
5.5;0.6;8.0;1.4;2.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;177;57;234;75.641;88.3019;13;18;-5;0;0;0;-5;strong_defense;NO
4.5;0.6;8.0;1.4;2.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;183;64;247;74.0891;93.2075;6;12;-6;0;0;0;-6;strong_defense;NO
4.5;0.6;8.0;1.4;1.5;0.0;0.0;0.0;0.0;0.0;4.0;2.0;195;70;265;73.5849;185;66;251;73.7052;94.717;4;10;-6;0;0;0;-6;strong_defense;NO
