Scenario;Band_v20;Band_v22;Band_v25;ScoreRule;ScoreMin;ScoreMax;OK;KO;Total;HitRate;AnalysisType;IsOriginalRule
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=75;75;;41;9;50;82.0;THRESHOLD;False
NO_AUSTRALIA;ALTA;ALTA;ALTA;>=75;75;;41;9;50;82.0;BUCKET;False
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=69;69;;8;2;10;80.0;THRESHOLD;False
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=65;65;;15;4;19;78.9474;THRESHOLD;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=71 AND <73;71;73;15;4;19;78.9474;BUCKET;False
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=67;67;;11;3;14;78.5714;THRESHOLD;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=71;71;;29;8;37;78.3784;THRESHOLD;True
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=73;73;;14;4;18;77.7778;THRESHOLD;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=73 AND <75;73;75;14;4;18;77.7778;BUCKET;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=69;69;;41;14;55;74.5455;THRESHOLD;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=65 AND <67;65;67;30;11;41;73.1707;BUCKET;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=65;65;;85;32;117;72.6496;THRESHOLD;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=67;67;;55;21;76;72.3684;THRESHOLD;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=60;60;;136;52;188;72.3404;THRESHOLD;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=60 AND <65;60;65;51;20;71;71.831;BUCKET;False
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=60;60;;47;19;66;71.2121;THRESHOLD;False
NO_AUSTRALIA;MEDIA;ALTA;ALTA;>=0 AND <60;0;60;61;27;88;69.3182;BUCKET;False
NO_AUSTRALIA;MEDIA-ALTA;MEDIA;MEDIA;>=60 AND <65;60;65;32;15;47;68.0851;BUCKET;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=69 AND <71;69;71;12;6;18;66.6667;BUCKET;False
NO_AUSTRALIA;MEDIA-ALTA;ALTA;ALTA;>=67 AND <69;67;69;14;7;21;66.6667;BUCKET;False
NO_AUSTRALIA;MEDIA;BASSA;BASSA;>=0 AND <60;0;60;44;22;66;66.6667;BUCKET;False
NO_AUSTRALIA;MEDIA;MEDIA;MEDIA;>=0 AND <60;0;60;155;119;274;56.5693;BUCKET;False
NO_AUSTRALIA;BASSA;MEDIA;MEDIA;>=0 AND <60;0;60;28;23;51;54.902;BUCKET;False
NO_AUSTRALIA;BASSA;BASSA;BASSA;>=0 AND <60;0;60;127;115;242;52.4793;BUCKET;False
