model_version;country;league;home;away;match;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;risultato;ESITO;reason
1.1;Norway;3rd Division;Harstad;Kongsvinger 2;Harstad - Kongsvinger 2;68.82;MEDIA-ALTA;3.47;17.5;17.27;7.0;7.0;9.07;7.5;0.0;;;Squadra alta: Kongsvinger 2 (7ª), squadra bassa: Harstad (10ª) | GF alta: 2.10/gara | GS bassa: 1.90/gara | Profilo ultime 10: 0.91
1.1;Iceland;Division 1;Vestri;Afturelding;Vestri - Afturelding;68.09;MEDIA-ALTA;0.52;20.0;17.27;7.0;7.0;8.92;7.38;0.0;;;Squadra alta: Afturelding (3ª), squadra bassa: Vestri (4ª) | GF alta: 2.88/gara | GS bassa: 1.90/gara | Profilo ultime 10: 0.89
1.1;Iceland;Division 1;Grotta;Fylkir;Grotta - Fylkir;67.76;MEDIA-ALTA;6.95;12.96;19.32;6.58;7.0;8.36;6.6;0.0;;;Squadra alta: Fylkir (2ª), squadra bassa: Grotta (8ª) | GF alta: 1.56/gara | GS bassa: 2.12/gara | Profilo ultime 10: 0.84
1.1;Norway;OBOS-ligaen;Raufoss;Sogndal;Raufoss - Sogndal;66.75;MEDIA-ALTA;3.47;14.39;20.0;7.0;6.89;8.17;6.82;0.0;;;Squadra alta: Sogndal (12ª), squadra bassa: Raufoss (15ª) | GF alta: 1.73/gara | GS bassa: 2.45/gara | Profilo ultime 10: 0.82
1.1;Norway;3rd Division;Mandalskameratene;Vag;Mandalskameratene - Vag;66.66;MEDIA-ALTA;4.63;20.0;15.45;7.0;7.0;7.58;5.0;0.0;;;Squadra alta: Mandalskameratene (6ª), squadra bassa: Vag (10ª) | GF alta: 2.40/gara | GS bassa: 1.70/gara | Profilo ultime 10: 0.76
1.1;Iceland;Besta deild;Hafnarfjordur;Thor Akureyri;Hafnarfjordur - Thor Akureyri;65.64;MEDIA-ALTA;9.9;6.67;20.0;7.0;7.0;7.58;7.5;0.0;;;Squadra alta: Thor Akureyri (11ª), squadra bassa: Hafnarfjordur (12ª) | GF alta: 0.80/gara | GS bassa: 2.70/gara | Profilo ultime 10: 0.76
1.1;Norway;OBOS-ligaen;Bryne;Åsane;Bryne - Åsane;65.17;MEDIA-ALTA;5.79;12.88;19.01;7.0;7.0;7.59;5.91;0.0;;;Squadra alta: Bryne (9ª), squadra bassa: Åsane (14ª) | GF alta: 1.55/gara | GS bassa: 2.09/gara | Profilo ultime 10: 0.76
1.1;Iceland;Division 1;IR Reykjavik;Volsungur;IR Reykjavik - Volsungur;64.95;MEDIA-ALTA;3.47;16.67;18.18;7.0;4.54;7.87;7.22;0.0;;;Squadra alta: IR Reykjavik (9ª), squadra bassa: Volsungur (12ª) | GF alta: 2.00/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.79
1.1;Norway;2nd Division;Grorud;Junkeren;Grorud - Junkeren;64.41;MEDIA-ALTA;9.9;12.5;15.45;6.46;7.0;7.59;5.5;0.0;;;Squadra alta: Grorud (6ª), squadra bassa: Junkeren (8ª) | GF alta: 1.50/gara | GS bassa: 1.70/gara | Profilo ultime 10: 0.76
1.1;Iceland;Besta deild;Fram;Vikingur Reykjavik;Fram - Vikingur Reykjavik;62.92;MEDIA-ALTA;1.04;20.0;17.27;2.94;7.0;7.94;6.73;0.0;;;Squadra alta: Vikingur Reykjavik (1ª), squadra bassa: Fram (3ª) | GF alta: 3.27/gara | GS bassa: 1.90/gara | Profilo ultime 10: 0.79
1.1;Norway;OBOS-ligaen;Odd;Hodd;Odd - Hodd;62.1;MEDIA-ALTA;4.63;18.18;12.4;6.85;7.0;7.13;5.91;0.0;;;Squadra alta: Odd (4ª), squadra bassa: Hodd (8ª) | GF alta: 2.18/gara | GS bassa: 1.36/gara | Profilo ultime 10: 0.71
1.1;Norway;OBOS-ligaen;Moss;Sandnes;Moss - Sandnes;59.72;MEDIA;3.47;15.15;14.88;7.0;7.0;7.22;5.0;0.0;;;Squadra alta: Moss (7ª), squadra bassa: Sandnes (10ª) | GF alta: 1.82/gara | GS bassa: 1.64/gara | Profilo ultime 10: 0.72
1.1;Norway;OBOS-ligaen;Kongsvinger;Strömsgodset;Kongsvinger - Strömsgodset;58.06;MEDIA;0.52;20.0;9.92;5.87;7.0;7.93;6.82;0.0;;;Squadra alta: Strömsgodset (1ª), squadra bassa: Kongsvinger (2ª) | GF alta: 2.91/gara | GS bassa: 1.09/gara | Profilo ultime 10: 0.79
1.1;Iceland;Division 1;Kopavogur;Grindavik;Kopavogur - Grindavik;54.94;MEDIA;4.63;14.81;11.36;7.0;5.1;6.82;5.21;0.0;;;Squadra alta: Kopavogur (6ª), squadra bassa: Grindavik (10ª) | GF alta: 1.78/gara | GS bassa: 1.25/gara | Profilo ultime 10: 0.68
