id;data;model_version;country;league;home;away;match;risultato;ESITO;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;reason;Column1;_1;_2
20260622_043;22/06/2026;1.1;Sweden;Division 2 Norrland;Boden;IFK Lulea;Boden - IFK Lulea;1-4;OK;54.09;MEDIA;5.2;20;8.18;6.46;7;6.93;5;0;Squadra alta: IFK Lulea (3¦), squadra bassa: Boden (4¦) | GF alta: 2.80/gara | GS bassa: 0.90/gara | Profilo ultime 10: 0.69;;;
20260622_044;22/06/2026;1.1;Sweden;Superettan;Varberg;Landskrona;Varberg - Landskrona;2-3;OK;53.53;MEDIA;4.63;16.67;9.09;5.83;7;6.55;3.75;0;Squadra alta: Varberg (3¦), squadra bassa: Landskrona (7¦) | GF alta: 2.00/gara | GS bassa: 1.00/gara | Profilo ultime 10: 0.66;;;
20260622_045;22/06/2026;1.1;Ireland;Premier Division;Shelbourne;Bohemians;Shelbourne - Bohemians;0-3;OK;47.03;MEDIA;11.6;12.5;12.55;6.61;7;4.21;3.01;0;Squadra alta: Bohemians (4¦), squadra bassa: Shelbourne (5¦) | GF alta: 1.50/gara | GS bassa: 1.38/gara | Profilo ultime 10: 0.42;;;
20260622_046;22/06/2026;1.1;Ireland;Premier Division;Shamrock Rovers;Derry City;Shamrock Rovers - Derry City;1-1;KO;45.33;MEDIA;5.79;12.88;10.74;4.65;7;2.67;1.59;0;Squadra alta: Shamrock Rovers (1¦), squadra bassa: Derry City (6¦) | GF alta: 1.55/gara | GS bassa: 1.18/gara | Profilo ultime 10: 0.27;;;
20260623_001;23/06/2026;1.1;Australia;Queensland Premier League;Robina City;Capalaba;Robina City - Capalaba;5-1;OK;64.16;MEDIA-ALTA;5.79;13.69;20;7;5.83;6.49;5.36;0;Squadra alta: Robina City (6¦), squadra bassa: Capalaba (11¦) | GF alta: 1.64/gara | GS bassa: 2.86/gara | Profilo ultime 10: 0.65;;;
20260623_002;23/06/2026;1.1;Australia;Queensland Premier League;Logan Lightning;Holland Park Hawks;Logan Lightning - Holland Park Hawks;2-3;OK;63.32;MEDIA-ALTA;9.9;13.1;16.08;7;7;5.82;4.42;0;Squadra alta: Holland Park Hawks (7¦), squadra bassa: Logan Lightning (9¦) | GF alta: 1.57/gara | GS bassa: 1.77/gara | Profilo ultime 10: 0.58;;;
20260623_003;23/06/2026;1.1;Finland;Veikkausliiga;Jaro;Gnistan;Jaro - Gnistan;1-1;;61.53;MEDIA-ALTA;6.95;12.88;20;7;4.86;5.98;3.86;0;Squadra alta: Gnistan (5¦), squadra bassa: Jaro (11¦) | GF alta: 1.55/gara | GS bassa: 2.25/gara | Profilo ultime 10: 0.60;;;
20260623_004;23/06/2026;1.1;Australia;Northern NSW NPL;Edgeworth E.;Lambton J.;Edgeworth E. - Lambton J.;3-2;OK;58.6;MEDIA;11.6;16.67;15.58;7;7;6.33;4.86;0;Squadra alta: Lambton J. (5¦), squadra bassa: Edgeworth E. (6¦) | GF alta: 2.00/gara | GS bassa: 1.71/gara | Profilo ultime 10: 0.63;;;
20260623_005;23/06/2026;1.1;Australia;Queensland NPL;Gold Coast Knights;Eastern Suburbs;Gold Coast Knights - Eastern Suburbs;4-1;OK;58.56;MEDIA;2.32;17.26;13.64;6.54;7;6.74;5.06;0;Squadra alta: Eastern Suburbs (4¦), squadra bassa: Gold Coast Knights (6¦) | GF alta: 2.07/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.67;;;
20260623_006;23/06/2026;1.1;Finland;Veikkausliiga;Inter Turku;SJK;Inter Turku - SJK;1-1;;57.27;MEDIA;10.42;12.82;14.88;4.56;6.36;4.87;3.36;0;Squadra alta: Inter Turku (1¦), squadra bassa: SJK (10¦) | GF alta: 1.54/gara | GS bassa: 1.64/gara | Profilo ultime 10: 0.49;;;
