Rule;OK;KO;Total;HitRate;CoveragePct;Train_OK;Train_KO;Train_Total;Train_HitRate;Test_OK;Test_KO;Test_Total;Test_HitRate;NoAU_OK;NoAU_KO;NoAU_Total;NoAU_HitRate;WorstMonth;WorstMonthTotal;WorstMonthHitRate;DeltaVsBaseline;Interesting
away_ga_l5_ge_2_0 AND away_attack_le_10_0;240;52;292;82.19;22.1;187;42;229;81.66;53;10;63;84.13;183;43;226;80.97;2026-07;63;79.37;8.0;YES
worst_ppg_l5_le_0_8 AND away_attack_le_11_0;283;62;345;82.03;26.12;218;45;263;82.89;65;17;82;79.27;202;49;251;80.48;2026-09;31;74.19;7.84;YES
away_attack_le_10_0 AND away_def_weak_ge_8_0;291;64;355;81.97;26.87;226;53;279;81.0;65;11;76;85.53;227;49;276;82.25;2026-07;82;74.39;7.78;YES
away_ga_l5_ge_2_0 AND worst_ppg_l5_le_1_0;381;85;466;81.76;35.28;296;61;357;82.91;85;24;109;77.98;290;69;359;80.78;2026-07;106;74.53;7.57;YES
away_ga_l5_ge_1_8 AND away_attack_le_10_0;272;61;333;81.68;25.21;212;50;262;80.92;60;11;71;84.51;210;49;259;81.08;2026-07;72;77.78;7.49;YES
worst_ppg_l5_le_0_8 AND away_def_weak_ge_8_0;371;84;455;81.54;34.44;286;60;346;82.66;85;24;109;77.98;282;70;352;80.11;2026-09;37;72.97;7.35;YES
away_attack_le_10_0 AND away_def_weak_ge_9_0;257;59;316;81.33;23.92;201;49;250;80.4;56;10;66;84.85;207;44;251;82.47;2026-07;73;71.23;7.14;YES
away_ga_l5_ge_2_0 AND away_def_weak_ge_9_0;401;93;494;81.17;37.4;314;68;382;82.2;87;25;112;77.68;313;74;387;80.88;2026-09;39;71.79;6.98;YES
away_ga_l5_ge_2_0 AND away_def_weak_ge_8_0;461;108;569;81.02;43.07;365;80;445;82.02;96;28;124;77.42;355;84;439;80.87;2026-09;44;72.73;6.83;YES
worst_ppg_l5_le_1_0 AND away_attack_le_11_0;307;72;379;81.0;28.69;235;55;290;81.03;72;17;89;80.9;222;55;277;80.14;2026-09;31;74.19;6.81;YES
away_ga_l5_ge_1_8 AND worst_ppg_l5_le_0_8;388;91;479;81.0;36.26;302;66;368;82.07;86;25;111;77.48;296;72;368;80.43;2026-07;107;72.9;6.81;YES
away_attack_le_11_0 AND away_def_weak_ge_8_0;370;87;457;80.96;34.6;287;68;355;80.85;83;19;102;81.37;278;69;347;80.12;2026-09;34;76.47;6.77;YES
away_attack_le_11_0 AND away_def_weak_ge_9_0;321;76;397;80.86;30.05;250;61;311;80.39;71;15;86;82.56;247;60;307;80.46;2026-07;84;73.81;6.67;YES
away_ga_l5_ge_1_8 AND away_def_weak_ge_9_0;435;103;538;80.86;40.73;345;77;422;81.75;90;26;116;77.59;339;83;422;80.33;2026-09;40;72.5;6.67;YES
worst_ppg_l5_le_0_8 AND away_def_weak_ge_9_0;315;75;390;80.77;29.52;242;56;298;81.21;73;19;92;79.35;240;62;302;79.47;2026-09;33;72.73;6.58;YES
away_ga_l5_ge_1_8 AND away_attack_le_11_0;347;83;430;80.7;32.55;271;64;335;80.9;76;19;95;80.0;256;69;325;78.77;2026-09;35;77.14;6.51;YES
away_ga_l5_ge_1_8 AND worst_ppg_l5_le_1_0;429;104;533;80.49;40.35;336;76;412;81.55;93;28;121;76.86;328;84;412;79.61;2026-07;124;70.97;6.3;YES
worst_ppg_l5_le_1_0 AND away_attack_le_10_0;235;57;292;80.48;22.1;178;48;226;78.76;57;9;66;86.36;183;41;224;81.7;2026-07;63;77.78;6.29;YES
away_ga_l5_ge_1_8 AND away_def_weak_ge_8_0;522;127;649;80.43;49.13;414;93;507;81.66;108;34;142;76.06;400;102;502;79.68;2026-09;50;74.0;6.24;YES
worst_ppg_l5_le_1_0 AND away_def_weak_ge_8_0;409;100;509;80.35;38.53;316;72;388;81.44;93;28;121;76.86;307;82;389;78.92;2026-09;37;72.97;6.16;YES
away_ga_l5_ge_2_0;527;133;660;79.85;49.96;414;101;515;80.39;113;32;145;77.93;407;104;511;79.65;2026-07;157;73.89;5.66;YES
worst_ppg_l5_le_1_0 AND away_def_weak_ge_9_0;338;86;424;79.72;32.1;260;64;324;80.25;78;22;100;78.0;257;69;326;78.83;2026-09;33;72.73;5.53;YES
worst_ppg_l5_le_0_8;503;131;634;79.34;47.99;390;100;490;79.59;113;31;144;78.47;382;103;485;78.76;2026-07;131;73.28;5.15;YES
away_attack_le_10_0;329;86;415;79.28;31.42;254;70;324;78.4;75;16;91;82.42;260;68;328;79.27;2026-07;92;75.0;5.09;YES
away_def_weak_ge_9_0;503;136;639;78.72;48.37;396;109;505;78.42;107;27;134;79.85;390;109;499;78.16;2026-09;41;73.17;4.53;YES
away_def_weak_ge_8_0;636;173;809;78.62;61.24;500;135;635;78.74;136;38;174;78.16;491;137;628;78.18;2026-07;187;73.8;4.43;YES
away_ga_l5_ge_1_8;619;171;790;78.35;59.8;487;131;618;78.8;132;40;172;76.74;480;135;615;78.05;2026-07;181;71.82;4.16;YES
away_attack_le_11_0;443;124;567;78.13;42.92;346;97;443;78.1;97;27;124;78.23;333;101;434;76.73;2026-09;43;72.09;3.94;YES
worst_ppg_l5_le_1_0;566;164;730;77.53;55.26;439;127;566;77.56;127;37;164;77.44;429;127;556;77.16;2026-07;158;70.25;3.34;YES
BASELINE_ALTA;980;341;1321;74.19;100.0;771;272;1043;73.92;209;69;278;75.18;757;260;1017;74.43;2026-07;304;66.45;0.0;NO
