PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;HG;AG;Goals;Over25;BTTS
2026-07-03;2.1.0;Lithuania_Toplyga_2026;23;Dziugas Telsiai;Kauno Zalgiris;Dziugas Telsiai - Kauno Zalgiris;64.17;MEDIA;1;2;3;OK;OK
2026-07-03;2.1.0;Kyrgyzstan_PremierLiga_2026;15;Muras United;Asiagoal Bishkek;Muras United - Asiagoal Bishkek;64.0;MEDIA;;;;;
2026-07-03;2.1.0;FaroeIslands_PremierLeague_2026;16;Runavik;Klaksvik;Runavik - Klaksvik;62.69;MEDIA;;;;;
2026-07-03;2.1.0;Australia_VictoriaPremierLeague_2026;19;Melbourne Knights;Bulleen;Melbourne Knights - Bulleen;62.48;MEDIA;;;;;
2026-07-03;2.1.0;Iceland_Division_2_2026;22;Hviti;Dalvik/Reynir;Hviti - Dalvik/Reynir;61.73;MEDIA;;;;;
2026-07-03;2.1.0;Lebanon_PremierLeague_2026;23;Al Hikma;Nejmeh SC;Al Hikma - Nejmeh SC;61.23;MEDIA;;;;;
2026-07-03;2.1.0;Australia_VictoriaPremierLeague_2026;19;Northcote City;Melbourne Srbija;Northcote City - Melbourne Srbija;57.37;BASSA;;;;;
2026-07-03;2.1.0;Belarus_VysshayaLiga_2026;15;Naftan;Dynamo Brest;Naftan - Dynamo Brest;55.74;BASSA;;;;;
2026-07-03;2.1.0;Kyrgyzstan_PremierLiga_2026;15;Talant;Neftchi Kochkor-Ata;Talant - Neftchi Kochkor-Ata;55.63;BASSA;;;;;
2026-07-03;2.1.0;Kazakhstan_PremierLeague_2026;26;FC Astana;Zhenis;FC Astana - Zhenis;55.59;BASSA;;;;;
2026-07-03;2.1.0;Lebanon_PremierLeague_2026;23;Tadamon;Al Ansar;Tadamon - Al Ansar;51.74;BASSA;;;;;
2026-07-03;2.1.0;Finland_Ykkosliiga_2026;13;KTP;Jippo;KTP - Jippo;45.05;BASSA;;;;;
2026-07-03;2.1.0;Lebanon_PremierLeague_2026;23;Safa;Al-Mabarrah;Safa - Al-Mabarrah;40.65;BASSA;;;;;
2026-07-03;2.1.0;Finland_Ykkosliiga_2026;13;JaPS;SJK Akatemia;JaPS - SJK Akatemia;36.04;BASSA;;;;;
