LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
USA_USLLeagueTwo_Chesapeake;Northern Virginia;Lionsbridge;83.98;ALTA;27;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: BTTS basso: possibile partita a senso unico;4.8;13.0;13.0;7.58;4.2;9.6;9.6;8.33;7.14;6.73;2.5.0
USA_USLLeagueTwo_Chesapeake;Bethesda SC;Virginia Marauders;82.77;ALTA;27;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;3.6;13.0;3.18;7.55;10.0;10.8;9.6;8.57;10.0;6.46;2.5.0
Bolivia_DivisionProfesional;Real Oruro;Universitario de Vinto;82.29;ALTA;12;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over esterno debole;0.8;11.82;9.85;7.79;8.08;10.29;8.0;10.0;5.0;10.67;2.5.0
USA_USLLeagueTwo_MidAtlantic;Ocean City;LVU Rush;80.66;ALTA;29;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: BTTS basso: possibile partita a senso unico;0.75;13.0;13.0;1.96;6.29;9.6;10.8;8.33;10.0;6.92;2.5.0
USA_USLLeagueTwo_Heartland;Rochester FC;St. Croix;79.8;ALTA;24;2026-07-11;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;1.5;5.25;11.82;8.0;10.0;10.67;10.8;7.5;8.0;6.27;2.5.0
Kazakhstan_FirstLeague;Aktobe 2;Khan Tengri;79.71;ALTA;23;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga;1.38;11.82;8.18;8.0;8.74;10.8;8.4;8.33;6.67;7.38;2.5.0
USA_USLLeagueTwo_GreatLakes;Kalamazoo FC;Lansing City;79.39;ALTA;23;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;4.0;13.0;5.91;6.28;10.0;8.4;10.8;6.67;8.33;6.0;2.5.0
USA_USLLeagueTwo_MidSouth;Jackson Boom;Hattiesburg;78.19;ALTA;19;2026-07-11;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;3.0;1.07;13.0;8.0;9.09;7.2;12.0;8.33;10.0;6.49;2.5.0
USA_USLLeagueTwo_SouthAtlantic;Wake FC;Port City;77.91;ALTA;37;2026-07-11;PRO: difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga;0.6;7.27;5.0;8.0;10.0;10.8;10.8;10.0;6.67;8.77;2.5.0
USA_USLLeagueTwo_LoneStar;San Antonio FC 2;Twin City Toucans;76.05;ALTA;26;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;1.5;10.74;6.89;8.0;9.09;9.6;8.4;8.33;6.67;6.82;2.5.0
USA_USLLeagueTwo_Heartland;River Light;Rockford Raptors;75.89;ALTA;24;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over esterno debole;2.25;13.0;10.21;6.87;9.09;9.33;7.2;6.0;4.0;7.94;2.5.0
USA_USLLeagueTwo_Northwest;Bigfoot;Ballard;75.84;ALTA;34;2026-07-11;PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo || CONTRO: attacco casa non dominante | profilo over esterno debole | BTTS basso: possibile partita a senso unico;6.0;6.89;13.0;8.0;3.5;9.6;8.4;8.0;5.71;6.73;2.5.0
USA_USLLeagueTwo_Chesapeake;Virginia Beach;Annapolis Blues;75.51;ALTA;27;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over esterno debole | BTTS basso: possibile partita a senso unico;3.0;12.73;13.0;4.76;6.64;7.2;8.4;7.14;5.71;6.92;2.5.0
USA_USLLeagueTwo_MidAtlantic;Reading;Philadelphia Lone Star;75.42;ALTA;29;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over interno debole | BTTS basso: possibile partita a senso unico;1.5;10.83;10.45;5.76;10.0;8.4;9.6;5.0;7.14;6.73;2.5.0
Bolivia_DivisionProfesional;Real Potosi;Academia del Balompie;75.31;ALTA;12;2026-07-11;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte;3.2;5.91;11.08;4.16;10.0;5.14;10.5;7.5;10.0;7.82;2.5.0
Bhutan_PremierLeague;Transport United;BFF Academy U19;75.27;ALTA;9;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga;2.67;8.86;11.08;5.0;9.66;7.5;7.5;8.0;7.5;7.5;2.5.0
Somalia_NationalLeague;Jeenyo;Gantaalaha Afgooye;74.74;MEDIA;19;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte;2.73;10.43;5.91;5.99;10.0;4.8;10.8;6.25;10.0;7.84;2.5.0
USA_USLLeagueTwo_Heartland;RKC SC;Chicago Dutch Lions;73.22;MEDIA;24;2026-07-11;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente trasferta | profilo over esterno positivo || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole | BTTS basso: possibile partita a senso unico;1.5;7.52;12.36;5.95;9.09;6.0;10.8;4.0;10.0;6.0;2.5.0
Kazakhstan_FirstLeague;Akademiya Ontustik;Arys;72.42;MEDIA;23;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga;3.23;8.64;6.82;4.76;9.79;8.4;9.6;7.14;6.67;7.38;2.5.0
USA_USLLeagueTwo_LoneStar;Laredo Heat;GFI Woodlands;72.28;MEDIA;26;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;0.75;13.0;13.0;1.82;7.58;8.4;8.4;6.67;6.67;6.0;2.5.0
USA_USLLeagueTwo_SouthFlorida;Lakeland United;Miami City;72.26;MEDIA;19;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole;4.8;11.82;7.68;5.09;10.0;6.0;8.4;4.0;6.67;7.8;2.5.0
USA_USLLeagueTwo_Valley;Toledo Villa;Northern Indiana;71.7;MEDIA;25;2026-07-11;PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;3.6;6.5;10.64;8.0;6.36;8.4;8.4;6.0;6.0;7.8;2.5.0
USA_USLLeagueTwo_SouthAtlantic;SC United Bantams;Charlotte Independ. 2;71.18;MEDIA;37;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo || CONTRO: trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico;3.0;10.45;12.27;7.27;2.8;9.6;6.0;8.57;4.29;6.92;2.5.0
USA_USLLeagueTwo_Southeast;Brave SC;Inter Gainesville;70.86;MEDIA;25;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | BTTS basso: possibile partita a senso unico;6.0;11.82;5.91;2.91;8.52;7.2;7.5;7.5;7.5;6.0;2.5.0
USA_USLLeagueTwo_MidAtlantic;RC New Jersey;West Chester Utd;69.25;MEDIA;29;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | trend over trasferta non forte | profilo over interno debole;1.5;9.09;8.86;6.71;6.82;8.4;6.0;5.71;8.0;8.15;2.5.0
USA_USLLeagueTwo_Northeast;Black Rock;Boston Bolts;69.13;MEDIA;30;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | profilo over esterno debole;2.0;9.55;7.73;4.48;9.09;8.4;7.2;6.67;5.71;8.31;2.5.0
USA_USLLeagueTwo_Chesapeake;Patuxent;Christos;68.88;MEDIA;27;2026-07-11;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | BTTS basso: possibile partita a senso unico;3.0;1.48;10.97;8.0;10.0;6.0;8.4;6.67;8.57;5.79;2.5.0
USA_USLLeagueTwo_SouthAtlantic;North Carolina FC U23;Charlotte Eagles;67.81;MEDIA;37;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole;1.2;10.34;9.29;7.58;7.79;8.4;6.0;5.0;4.29;7.93;2.5.0
USA_USLLeagueTwo_GreatForest;Cleveland Force;Steel City;66.86;MEDIA;25;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo || CONTRO: trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico;5.0;10.34;10.21;8.0;1.24;10.8;4.8;8.33;2.0;6.14;2.5.0
Kazakhstan_FirstLeague;Jaiyq;Tobol 2;66.54;MEDIA;23;2026-07-11;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo || CONTRO: attacco casa non dominante | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole | BTTS basso: possibile partita a senso unico;3.23;5.0;9.55;4.76;10.0;6.0;10.8;3.33;8.33;5.54;2.5.0
USA_USLLeagueTwo_Metropolitan;Cedar;Ironbound SC;66.13;MEDIA;26;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: trend over casa non forte | profilo over interno debole;1.33;9.45;13.0;4.36;5.91;4.8;8.4;3.33;8.33;7.2;2.5.0
USA_USLLeagueOne;New York Cosmos;FC Naples;65.8;MEDIA;23;2026-07-11;PRO: difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | profilo over esterno debole | BTTS basso: possibile partita a senso unico;1.5;7.18;6.26;8.0;7.22;10.8;7.2;7.14;3.75;6.76;2.5.0
USA_USLLeagueTwo_Metropolitan;Morris Elite;Westchester Flames;64.81;MEDIA;26;2026-07-11;PRO: difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | profilo over interno debole | BTTS basso: possibile partita a senso unico;0.67;5.37;7.52;8.0;10.0;8.4;8.4;5.0;6.0;5.45;2.5.0
Finland_Kakkonen_GroupB;MuSa;GrIFK;64.45;MEDIA;13;2026-07-11;PRO: difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over trasferta non forte;1.33;7.39;7.52;8.0;7.02;7.2;6.0;6.67;6.0;7.32;2.5.0
USA_USLLeagueTwo_SouthCentral;Montgomery United;Columbus United;64.37;MEDIA;21;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over trasferta non forte | profilo over esterno debole;1.0;8.6;8.06;6.94;7.85;8.4;4.8;6.67;3.33;8.73;2.5.0
USA_USLLeagueTwo_Southwest;Ventura;Stars FC;61.83;MEDIA;28;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa || CONTRO: trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico;3.43;13.0;8.6;1.98;6.2;7.2;6.0;5.0;3.33;7.09;2.5.0
USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Memphis FC;61.58;MEDIA;19;2026-07-11;PRO: attacco casa positivo | difesa trasferta vulnerabile | trend over recente trasferta || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico;5.0;10.64;7.52;1.45;9.09;6.0;7.2;4.0;5.0;5.67;2.5.0
USA_USLChampionship;Sacramento Republic;Rhode Island;61.49;MEDIA;23;2026-07-11;PRO: attacco trasferta positivo | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | trend over casa non forte | profilo over interno debole;1.83;6.82;10.45;3.64;6.29;4.8;7.2;4.29;8.33;7.85;2.5.0
USA_USLLeagueTwo_SouthCentral;Apotheos;Dothan United;61.14;MEDIA;21;2026-07-11;PRO: attacco trasferta positivo | difesa casa vulnerabile || CONTRO: attacco casa non dominante | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico;3.0;5.91;12.89;6.94;3.31;6.0;6.0;5.0;5.0;7.09;2.5.0
USA_USLLeagueTwo_Ranger;West Texas;Lubbock Matadors;60.9;MEDIA;21;2026-07-11;PRO: attacco casa positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo || CONTRO: ospite poco prolifico: rischio 1-0 / 2-0 | trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico;1.2;9.19;6.5;6.46;4.55;8.0;6.0;8.0;4.0;7.0;2.5.0
USA_USLLeagueTwo_SouthFlorida;Fort Lauderdale;Weston;59.49;BASSA;19;2026-07-11;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole | BTTS basso: possibile partita a senso unico;2.4;11.28;10.05;1.32;7.27;6.0;7.2;3.33;6.0;4.64;2.5.0
USA_USLChampionship;Hartford Athletic;Orange County SC;53.16;BASSA;23;2026-07-11;PRO: attacco trasferta positivo | trend over recente trasferta || CONTRO: attacco casa non dominante | trend over casa non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico;3.39;5.06;9.23;3.38;5.11;3.6;7.2;5.71;5.0;5.46;2.5.0
USA_USLLeagueOne;Greenville;Sarasota Paradise;52.6;BASSA;23;2026-07-11;PRO: difesa trasferta vulnerabile | difesa casa vulnerabile | profilo over interno positivo || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico;1.12;6.36;5.58;5.87;7.07;4.8;6.0;7.14;3.33;5.31;2.5.0
