Rule;Month;OK;N;HitRate;Baseline;Lift
OVERL5_70;2026-06;64;74;86.49;73.8;12.69
OVERL5_70;2026-07;17;17;100.0;75.93;24.07
OVERL5_70;2026-08;2;3;66.67;54.55;12.12
OVERL5_70;2026-09;13;17;76.47;58.88;17.59
OVERL7_70;2026-03;1;3;33.33;60.0;-26.67
OVERL7_70;2026-04;41;53;77.36;68.72;8.64
OVERL7_70;2026-05;140;207;67.63;64.42;3.22
OVERL7_70;2026-06;82;101;81.19;73.8;7.39
OVERL7_70;2026-07;18;18;100.0;75.93;24.07
OVERL7_70;2026-08;3;4;75.0;54.55;20.45
OVERL7_70;2026-09;15;21;71.43;58.88;12.55
GF14_OVERL5_70;2026-04;13;17;76.47;68.72;7.76
GF14_OVERL5_70;2026-05;61;90;67.78;64.42;3.36
GF14_OVERL5_70;2026-06;48;52;92.31;73.8;18.51
GF14_OVERL5_70;2026-07;10;10;100.0;75.93;24.07
GF14_OVERL5_70;2026-08;2;2;100.0;54.55;45.45
GF14_OVERL5_70;2026-09;6;8;75.0;58.88;16.12
GF16_OVERL5_70;2026-04;10;14;71.43;68.72;2.71
GF16_OVERL5_70;2026-05;48;72;66.67;64.42;2.25
GF16_OVERL5_70;2026-06;38;39;97.44;73.8;23.64
GF16_OVERL5_70;2026-07;7;7;100.0;75.93;24.07
GF16_OVERL5_70;2026-08;2;2;100.0;54.55;45.45
GF16_OVERL5_70;2026-09;4;5;80.0;58.88;21.12
GF18_OVERL5_70;2026-04;6;9;66.67;68.72;-2.05
GF18_OVERL5_70;2026-05;34;50;68.0;64.42;3.58
GF18_OVERL5_70;2026-06;31;32;96.88;73.8;23.08
GF18_OVERL5_70;2026-07;5;5;100.0;75.93;24.07
GF18_OVERL5_70;2026-08;1;1;100.0;54.55;45.45
GF18_OVERL5_70;2026-09;2;3;66.67;58.88;7.79
GFL5_14_OVERL5_70;2026-04;12;16;75.0;68.72;6.28
GFL5_14_OVERL5_70;2026-05;66;97;68.04;64.42;3.62
GFL5_14_OVERL5_70;2026-06;44;50;88.0;73.8;14.2
GFL5_14_OVERL5_70;2026-07;11;11;100.0;75.93;24.07
GFL5_14_OVERL5_70;2026-08;2;3;66.67;54.55;12.12
GFL5_14_OVERL5_70;2026-09;6;8;75.0;58.88;16.12
GFL5_16_OVERL5_70;2026-04;10;14;71.43;68.72;2.71
GFL5_16_OVERL5_70;2026-05;51;77;66.23;64.42;1.82
GFL5_16_OVERL5_70;2026-06;38;43;88.37;73.8;14.57
GFL5_16_OVERL5_70;2026-07;10;10;100.0;75.93;24.07
GFL5_16_OVERL5_70;2026-08;2;2;100.0;54.55;45.45
GFL5_16_OVERL5_70;2026-09;5;6;83.33;58.88;24.45
GFL5_18_OVERL5_70;2026-04;7;11;63.64;68.72;-5.08
GFL5_18_OVERL5_70;2026-05;41;59;69.49;64.42;5.07
GFL5_18_OVERL5_70;2026-06;30;33;90.91;73.8;17.11
GFL5_18_OVERL5_70;2026-07;6;6;100.0;75.93;24.07
GFL5_18_OVERL5_70;2026-08;1;1;100.0;54.55;45.45
GFL5_18_OVERL5_70;2026-09;3;4;75.0;58.88;16.12
OVERL5_70_DGF20;2026-04;5;6;83.33;68.72;14.62
OVERL5_70_DGF20;2026-05;41;50;82.0;64.42;17.58
OVERL5_70_DGF20;2026-06;25;30;83.33;73.8;9.53
OVERL5_70_DGF20;2026-07;8;8;100.0;75.93;24.07
OVERL5_70_DGF20;2026-08;2;2;100.0;54.55;45.45
OVERL5_70_DGF20;2026-09;5;6;83.33;58.88;24.45
OVERL5_70_DGF30;2026-04;3;3;100.0;68.72;31.28
OVERL5_70_DGF30;2026-05;18;21;85.71;64.42;21.3
OVERL5_70_DGF30;2026-06;19;23;82.61;73.8;8.81
OVERL5_70_DGF30;2026-07;5;5;100.0;75.93;24.07
OVERL5_70_DGF30;2026-08;1;1;100.0;54.55;45.45
OVERL5_70_DGF30;2026-09;3;4;75.0;58.88;16.12
GF14_OVERL5_70_DGF20;2026-04;4;5;80.0;68.72;11.28
GF14_OVERL5_70_DGF20;2026-05;25;32;78.12;64.42;13.71
GF14_OVERL5_70_DGF20;2026-06;19;21;90.48;73.8;16.68
GF14_OVERL5_70_DGF20;2026-07;6;6;100.0;75.93;24.07
GF14_OVERL5_70_DGF20;2026-08;2;2;100.0;54.55;45.45
GF14_OVERL5_70_DGF20;2026-09;1;1;100.0;58.88;41.12
GF16_OVERL5_70_DGF20;2026-04;3;4;75.0;68.72;6.28
GF16_OVERL5_70_DGF20;2026-05;19;26;73.08;64.42;8.66
GF16_OVERL5_70_DGF20;2026-06;14;14;100.0;73.8;26.2
GF16_OVERL5_70_DGF20;2026-07;4;4;100.0;75.93;24.07
GF16_OVERL5_70_DGF20;2026-08;2;2;100.0;54.55;45.45
GF16_OVERL5_70_DGF20;2026-09;1;1;100.0;58.88;41.12
GF14_OVERL5_70_DGF30;2026-04;3;3;100.0;68.72;31.28
GF14_OVERL5_70_DGF30;2026-05;12;15;80.0;64.42;15.58
GF14_OVERL5_70_DGF30;2026-06;16;17;94.12;73.8;20.32
GF14_OVERL5_70_DGF30;2026-07;3;3;100.0;75.93;24.07
GF14_OVERL5_70_DGF30;2026-08;1;1;100.0;54.55;45.45
GF14_OVERL5_70_DGF30;2026-09;1;1;100.0;58.88;41.12
GF16_OVERL5_70_DGF30;2026-04;2;2;100.0;68.72;31.28
GF16_OVERL5_70_DGF30;2026-05;10;13;76.92;64.42;12.51
GF16_OVERL5_70_DGF30;2026-06;13;13;100.0;73.8;26.2
GF16_OVERL5_70_DGF30;2026-07;2;2;100.0;75.93;24.07
GF16_OVERL5_70_DGF30;2026-08;1;1;100.0;54.55;45.45
GF16_OVERL5_70_DGF30;2026-09;1;1;100.0;58.88;41.12
