Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
38;v20;Norway_3rdDivision_Group3;2;0;2026-08-08;2026-08-08;2;100.0
39;v20;Slovakia_NikeLiga;2;0;2026-09-06;2026-09-19;2;100.0
40;v20;Sweden_Division2_NorraSvealand;2;0;2026-08-16;2026-09-13;2;100.0
41;v20;Finland_Kolmonen_Eastern_Group1;2;1;2026-07-24;2026-09-19;3;66.67
42;v20;Finland_Kolmonen_Western_Group3;2;1;2026-08-28;2026-09-18;3;66.67
43;v20;USA_USLLeagueOne;2;1;2026-07-26;2026-09-03;3;66.67
44;v20;Norway_3rdDivision_Group2;2;3;2026-08-03;2026-09-12;5;40.0
45;v20;Austria_Salzburg;1;0;2026-09-13;2026-09-13;1;100.0
46;v20;Belarus_PershayaLiga;1;0;2026-08-30;2026-08-30;1;100.0
47;v20;Bhutan_PremierLeague;1;0;2026-09-13;2026-09-13;1;100.0
48;v20;CzechRepublic_3CFL_GroupB;1;0;2026-09-20;2026-09-20;1;100.0
49;v20;CzechRepublic_4Liga_GroupC;1;0;2026-09-19;2026-09-19;1;100.0
50;v20;CzechRepublic_4Liga_GroupE;1;0;2026-09-20;2026-09-20;1;100.0
51;v20;CzechRepublic_4Liga_GroupF;1;0;2026-09-20;2026-09-20;1;100.0
52;v20;Denmark_3rdDivision;1;0;2026-09-18;2026-09-18;1;100.0
53;v20;Germany_Oberliga_Hessen;1;0;2026-09-09;2026-09-09;1;100.0
54;v20;Germany_Regionalliga_Nord;1;0;2026-09-15;2026-09-15;1;100.0
55;v20;Iceland_Division_1;1;0;2026-08-28;2026-08-28;1;100.0
56;v20;Kyrgyzstan_PremierLiga;1;0;2026-09-18;2026-09-18;1;100.0
57;v20;Lithuania_ILyga;1;0;2026-09-05;2026-09-05;1;100.0
58;v20;Mexico_LigaExpansionMX_Apertura;1;0;2026-09-13;2026-09-13;1;100.0
59;v20;Moldova_SuperLiga;1;0;2026-09-20;2026-09-20;1;100.0
60;v20;Netherlands_EersteDivisie;1;0;2026-09-11;2026-09-11;1;100.0
61;v20;Norway_2ndDivision_Group1;1;0;2026-08-08;2026-08-08;1;100.0
62;v20;Norway_Eliteserien;1;0;2026-08-30;2026-08-30;1;100.0
63;v20;Somalia_NationalLeague;1;0;2026-08-09;2026-08-09;1;100.0
64;v20;SriLanka_SuperLeague;1;0;2026-08-22;2026-08-22;1;100.0
65;v20;Sweden_Allsvenskan;1;0;2026-07-26;2026-07-26;1;100.0
66;v20;Sweden_Division1_Norra;1;0;2026-09-17;2026-09-17;1;100.0
67;v20;Sweden_Division2_SodraGotaland;1;0;2026-09-19;2026-09-19;1;100.0
68;v20;Switzerland_ChallengeLeague;1;0;2026-07-30;2026-07-30;1;100.0
69;v20;USA_MLSNextPro_EasternConference_NortheastDivision;1;0;2026-07-25;2026-07-25;1;100.0
70;v20;USA_MLSNextPro_EasternConference_SoutheastDivision;1;0;2026-08-02;2026-08-02;1;100.0
71;v20;Germany_Oberliga_Bayern_Sud;1;1;2026-07-27;2026-07-30;2;50.0
72;v20;Kazakhstan_FirstLeague;1;1;2026-07-23;2026-08-27;2;50.0
73;v20;Moldova_Liga1_GroupA;1;1;2026-09-12;2026-09-18;2;50.0
74;v20;CzechRepublic_3MSFL;1;3;2026-09-02;2026-09-20;4;25.0
75;v20;Sweden_Division2_SodraSvealand;0;2;2026-09-12;2026-09-14;2;0.0
76;v20;Mexico_LigaMX_Apertura;0;1;2026-07-25;2026-07-25;1;0.0
77;v20;Scotland_Premiership;0;1;2026-09-15;2026-09-15;1;0.0
78;v20;Switzerland_SuperLeague;0;1;2026-09-19;2026-09-19;1;0.0
79;v20;Ukraine_PremierLeague;0;1;2026-09-18;2026-09-18;1;0.0
