Window;MatchDate;LeagueId;Home;Away;Outcome;StoredV20Score;RecomputedLast10Score;RecomputedLast10Band;ParityDelta;ParityOK;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;Last10Score;Last10Band;HomeLast10Rate;AwayLast10Rate;HomeLast10Sequence;AwayLast10Sequence;Last9Score;Last9Band;HomeLast9Rate;AwayLast9Rate;HomeLast9Sequence;AwayLast9Sequence;Last8Score;Last8Band;HomeLast8Rate;AwayLast8Rate;HomeLast8Sequence;AwayLast8Sequence;Last7Score;Last7Band;HomeLast7Rate;AwayLast7Rate;HomeLast7Sequence;AwayLast7Sequence;Last6Score;Last6Band;HomeLast6Rate;AwayLast6Rate;HomeLast6Sequence;AwayLast6Sequence;Last5Score;Last5Band;HomeLast5Rate;AwayLast5Rate;HomeLast5Sequence;AwayLast5Sequence
Last7;2026-08-04;Finland_Kakkonen_GroupB;Ilves 2;MuSa;OK;77.04;77.04;ALTA;0.0;True;4.54;25.0;25.0;77.04;ALTA;0.8;0.7;1110110111;1110011110;76.21;ALTA;0.777778;0.666667;110110111;110011110;75.16;ALTA;0.75;0.625;10110111;10011110;73.83;MEDIA-ALTA;0.714286;0.571429;0110111;0011110;77.04;ALTA;0.833333;0.666667;110111;011110;78.54;ALTA;0.8;0.8;10111;11110
Last7;2026-08-05;Finland_Kolmonen_Eastern_Group2;KuPS/Akatemia II;ToU;OK;77.68;77.68;ALTA;0.0;True;7.32;22.86;25.0;77.68;ALTA;0.7;0.8;1111110001;1110101111;76.85;ALTA;0.666667;0.777778;111110001;110101111;75.81;ALTA;0.625;0.75;11110001;10101111;74.47;MEDIA-ALTA;0.571429;0.714286;1110001;0101111;75.18;ALTA;0.5;0.833333;110001;101111;73.18;MEDIA-ALTA;0.4;0.8;10001;01111
Last7;2026-08-07;Australia_NPLQueensland;Queensland Lions;Brisbane Roar U23;OK;78.68;78.68;ALTA;0.0;True;10.18;25.0;22.5;78.68;ALTA;0.6;0.8;1111101000;1111110110;77.68;ALTA;0.555556;0.777778;111101000;111110110;76.43;ALTA;0.5;0.75;11101000;11110110;74.82;MEDIA-ALTA;0.428571;0.714286;1101000;1110110;72.68;MEDIA-ALTA;0.333333;0.666667;101000;110110;69.68;MEDIA-ALTA;0.2;0.6;01000;10110
Last7;2026-08-07;Finland_Kolmonen_Western_Group2;FC LeKi;ACE;OK;75.66;75.66;ALTA;0.0;True;3.66;20.0;25.0;75.66;ALTA;0.8;1.0;1110111110;1111111111;75.33;ALTA;0.777778;1.0;110111110;111111111;74.91;MEDIA-ALTA;0.75;1.0;10111110;11111111;74.37;MEDIA-ALTA;0.714286;1.0;0111110;1111111;76.16;ALTA;0.833333;1.0;111110;111111;75.66;ALTA;0.8;1.0;11110;11111
Last7;2026-08-08;Norway_3rdDivision_Group5;Harstad;Skjervoy;OK;75.91;75.91;ALTA;0.0;True;1.12;25.0;24.29;75.91;ALTA;0.9;0.8;1111111011;1111001111;75.41;ALTA;0.888889;0.777778;111111011;111001111;74.78;MEDIA-ALTA;0.875;0.75;11111011;11001111;73.98;MEDIA-ALTA;0.857143;0.714286;1111011;1001111;72.91;MEDIA-ALTA;0.833333;0.666667;111011;001111;74.41;MEDIA-ALTA;0.8;0.8;11011;01111
Last7;2026-08-08;Norway_3rdDivision_Group3;Fana;Gneist;OK;75.37;75.37;ALTA;0.0;True;2.08;24.29;25.0;75.37;ALTA;0.8;0.8;0111101111;1111100111;76.37;ALTA;0.888889;0.777778;111101111;111100111;75.75;ALTA;0.875;0.75;11101111;11100111;74.94;MEDIA-ALTA;0.857143;0.714286;1101111;1100111;73.87;MEDIA-ALTA;0.833333;0.666667;101111;100111;72.37;MEDIA-ALTA;0.8;0.6;01111;00111
Last6;2026-06-25;Norway_3rdDivision_Group3;Austevoll;Fyllingsdalen;KO;72.32;75.09;ALTA;2.77;False;1.86;22.73;25.0;75.09;ALTA;1.0;0.7;1111111111;1011111100;74.59;MEDIA-ALTA;1.0;0.666667;111111111;011111100;75.84;ALTA;1.0;0.75;11111111;11111100;75.3;ALTA;1.0;0.714286;1111111;1111100;74.59;MEDIA-ALTA;1.0;0.666667;111111;111100;73.59;MEDIA-ALTA;1.0;0.6;11111;11100
Last6;2026-06-26;Norway_3rdDivision_Group5;Skedsmo;Skjetten;KO;77.25;77.25;ALTA;0.0;True;4.48;24.55;22.73;77.26;ALTA;0.8;0.9;1111110101;1111111110;76.76;ALTA;0.777778;0.888889;111110101;111111110;76.14;ALTA;0.75;0.875;11110101;11111110;75.33;ALTA;0.714286;0.857143;1110101;1111110;74.26;MEDIA-ALTA;0.666667;0.833333;110101;111110;72.76;MEDIA-ALTA;0.6;0.8;10101;11110
Last6;2026-07-11;Australia_NPLTasmania;Devonport;South East Utd.;KO;77.66;78.32;ALTA;0.66;False;7.32;25.0;25.0;78.32;ALTA;0.8;0.6;0111110111;1111011000;78.99;ALTA;0.888889;0.555556;111110111;111011000;77.94;ALTA;0.875;0.5;11110111;11011000;76.61;ALTA;0.857143;0.428571;1110111;1011000;74.82;MEDIA-ALTA;0.833333;0.333333;110111;011000;75.32;ALTA;0.8;0.4;10111;11000
Last6;2026-07-12;Iceland_BestaDeildKarla;Fram;Thor Akureyri;OK;77.56;77.36;ALTA;-0.2;False;6.74;24.62;25.0;77.36;ALTA;0.7;0.7;1111011100;1011011011;76.36;ALTA;0.666667;0.666667;111011100;011011011;76.98;ALTA;0.625;0.75;11011100;11011011;75.65;ALTA;0.571429;0.714286;1011100;1011011;73.86;MEDIA-ALTA;0.5;0.666667;011100;011011;77.36;ALTA;0.6;0.8;11100;11011
Last6;2026-07-25;Australia_NPLQueensland;Gold Coast Knights;Gold Coast;KO;75.8;75.8;ALTA;0.0;True;9.24;22.0;20.56;75.8;ALTA;0.9;0.7;1111111101;1111010110;75.13;ALTA;0.888889;0.666667;111111101;111010110;74.3;MEDIA-ALTA;0.875;0.625;11111101;11010110;73.23;MEDIA-ALTA;0.857143;0.571429;1111101;1010110;71.8;MEDIA-ALTA;0.833333;0.5;111101;010110;72.8;MEDIA-ALTA;0.8;0.6;11101;10110
Last6;2026-07-26;USA_USLLeagueOne;Charlotte Independ.;Richmond Kickers;OK;76.37;76.37;ALTA;0.0;True;14.12;22.5;18.75;76.37;ALTA;0.8;0.6;1111011011;1111001010;75.37;ALTA;0.777778;0.555556;111011011;111001010;74.12;MEDIA-ALTA;0.75;0.5;11011011;11001010;72.51;MEDIA-ALTA;0.714286;0.428571;1011011;1001010;70.37;MEDIA-ALTA;0.666667;0.333333;011011;001010;73.37;MEDIA-ALTA;0.8;0.4;11011;01010
Last6;2026-08-01;Australia_NPLACT;Monaro Panthers;O'Connor Knights;KO;75.59;75.59;ALTA;0.0;True;11.72;25.0;19.38;75.6;ALTA;0.9;0.4;1111011111;1101010000;74.43;MEDIA-ALTA;0.888889;0.333333;111011111;101010000;72.97;MEDIA-ALTA;0.875;0.25;11011111;01010000;73.24;MEDIA-ALTA;0.857143;0.285714;1011111;1010000;71.1;MEDIA-ALTA;0.833333;0.166667;011111;010000;74.1;MEDIA-ALTA;1.0;0.2;11111;10000
