ConfigId;Type;Overall_OK;Overall_KO;Overall_Total;Overall_HitRate;Overall_SampleClass;NoAU_OK;NoAU_KO;NoAU_Total;NoAU_HitRate;Train_OK;Train_KO;Train_Total;Train_HitRate;Test_OK;Test_KO;Test_Total;Test_HitRate;Test_SampleClass;TrainTestDelta;W_RankingGap;W_HomeAttack;W_AwayAttack;W_HomeDefenseWeakness;W_AwayDefenseWeakness;W_HomeLast10Over;W_AwayLast10Over;W_HomeVenueOver;W_AwayVenueOver;W_BTTSProfile
GLOB_0987;GLOBAL;372;132;504;73.8095;100+;269;84;353;76.204;212;93;305;69.5082;160;39;199;80.402;100+;10.8938;18.487577;21.361905;3.085046;5.173193;11.173893;2.398087;13.908444;14.732734;5.668492;10.01063
GLOB_1069;GLOBAL;325;116;441;73.6961;100+;235;81;316;74.3671;182;77;259;70.2703;143;39;182;78.5714;100+;8.3011;21.6934;7.381126;5.41687;5.321642;17.271174;21.573282;6.857709;2.837988;5.518237;12.128573
GLOB_0461;GLOBAL;360;129;489;73.6196;100+;260;82;342;76.0234;201;90;291;69.0722;159;39;198;80.303;100+;11.2308;21.098446;21.746069;7.697464;2.171157;15.23847;8.738418;3.986894;5.253167;10.686322;9.383594
GLOB_0901;GLOBAL;418;150;568;73.5915;100+;295;100;395;74.6835;240;101;341;70.3812;178;49;227;78.4141;100+;8.0329;11.570821;10.779613;3.62703;4.048615;18.238674;11.079237;12.307299;7.083242;9.419729;17.84574
GLOB_0787;GLOBAL;331;119;450;73.5556;100+;240;79;319;75.2351;185;80;265;69.8113;146;39;185;78.9189;100+;9.1076;23.992555;7.621416;6.118062;5.534938;18.805186;12.092347;11.11019;2.372118;15.721378;2.631808
GLOB_1727;GLOBAL;314;113;427;73.5363;100+;226;70;296;76.3514;174;78;252;69.0476;140;35;175;80.0;100+;10.9524;19.10914;17.57135;6.800387;2.248606;9.242783;3.95135;8.048927;10.205251;7.229145;21.593062
GLOB_0619;GLOBAL;283;102;385;73.5065;100+;208;66;274;75.9124;158;67;225;70.2222;125;35;160;78.125;100+;7.9028;23.675691;11.846409;7.393256;4.87788;8.051907;2.782091;11.961228;3.341306;16.839621;15.230612
GLOB_1027;GLOBAL;405;146;551;73.5027;100+;285;95;380;75.0;230;102;332;69.2771;175;44;219;79.9087;100+;10.6316;13.167379;16.611368;4.640334;5.640949;8.233984;8.060542;0.867789;16.940728;16.743251;15.093675
GLOB_1082;GLOBAL;380;137;517;73.501;100+;270;91;361;74.7922;216;96;312;69.2308;164;41;205;80.0;100+;10.7692;17.278852;23.369931;4.148296;2.803927;5.048384;7.840362;20.064453;6.463982;6.359024;12.622788
GLOB_1531;GLOBAL;366;132;498;73.494;100+;264;89;353;74.7875;202;85;287;70.3833;164;47;211;77.7251;100+;7.3418;19.654883;10.125577;8.918214;3.557749;21.872905;12.161963;2.758189;3.458659;10.761785;12.730074
GLOB_0418;GLOBAL;399;144;543;73.4807;100+;291;95;386;75.3886;228;99;327;69.7248;171;45;216;79.1667;100+;9.4419;12.592925;22.617103;3.786004;3.290658;1.347788;7.713291;11.241722;14.719402;2.028649;26.662458
GLOB_1335;GLOBAL;415;150;565;73.4513;100+;304;97;401;75.8105;231;98;329;70.2128;184;52;236;77.9661;100+;7.7533;17.46637;19.210965;3.53782;0.578007;27.71841;5.993541;2.505303;11.925023;6.115842;10.94872
GLOB_1313;GLOBAL;334;121;455;73.4066;100+;241;79;320;75.3125;188;82;270;69.6296;146;39;185;78.9189;100+;9.2893;16.867778;8.914174;1.560165;4.324612;10.092371;9.305948;13.170501;14.913486;13.187072;13.663891
GLOB_1734;GLOBAL;270;98;368;73.3696;100+;196;68;264;74.2424;154;66;220;70.0;116;32;148;78.3784;100+;8.3784;22.502402;6.558638;11.702867;0.28621;2.450079;11.560516;6.978655;25.74705;3.186886;15.026698
GLOB_0766;GLOBAL;369;134;503;73.3598;100+;263;87;350;75.1429;210;96;306;68.6275;159;38;197;80.7107;100+;12.0832;16.249561;21.2682;2.690215;6.001474;3.277268;4.997549;4.956628;12.835927;18.126952;15.596228
GLOB_1859;GLOBAL;402;146;548;73.3577;100+;285;96;381;74.8031;229;97;326;70.2454;173;49;222;77.9279;100+;7.6825;16.80679;14.815037;5.126981;14.124522;3.691237;8.888776;10.30892;24.273784;6.106329;1.857623
GLOB_0233;GLOBAL;322;117;439;73.3485;100+;237;80;317;74.7634;178;79;257;69.2607;144;38;182;79.1209;100+;9.8602;18.395442;10.256076;4.562955;0.442385;16.665265;5.998107;12.734168;9.660061;5.466122;21.819419
GLOB_0144;GLOBAL;352;128;480;73.3333;100+;253;84;337;75.0742;198;85;283;69.9647;154;43;197;78.1726;100+;8.2079;21.332724;17.102497;8.663869;3.300982;8.587677;22.669176;6.001728;9.52495;3.629681;5.186716
GLOB_0518;GLOBAL;412;150;562;73.3096;100+;289;97;386;74.8705;235;103;338;69.5266;177;47;224;79.0179;100+;9.4913;12.196396;21.368967;6.871941;2.727002;7.404795;6.082968;1.696521;14.694117;10.21822;22.739074
GLOB_0671;GLOBAL;318;116;434;73.2719;100+;229;78;307;74.5928;179;79;258;69.3798;139;37;176;78.9773;100+;9.5975;14.334667;6.930198;7.955983;2.975708;3.096988;9.709601;2.575488;22.848379;10.881895;24.691093
GLOB_0262;GLOBAL;397;145;542;73.2472;100+;283;94;377;75.0663;224;98;322;69.5652;173;47;220;78.6364;100+;9.0712;14.603387;10.84547;10.564904;5.307125;7.45706;13.687285;6.19854;17.063152;10.94295;9.330127
GLOB_0790;GLOBAL;334;122;456;73.2456;100+;239;83;322;74.2236;189;82;271;69.7417;145;40;185;78.3784;100+;8.6367;16.918596;7.020537;4.005991;1.153344;10.736284;7.012527;8.32537;30.770854;4.975009;15.081488
GLOB_1820;GLOBAL;334;122;456;73.2456;100+;242;80;322;75.1553;189;83;272;69.4853;145;39;184;78.8043;100+;9.319;15.203362;8.660339;9.174735;0.037233;10.693216;12.249366;7.282668;8.941457;14.155507;19.602118
GLOB_0792;GLOBAL;317;116;433;73.2102;100+;230;77;307;74.9186;174;80;254;68.5039;143;36;179;79.8883;100+;11.3844;20.49561;11.903249;8.156475;2.439832;3.140409;21.031242;8.381136;3.258501;17.415887;9.777659
GLOB_0584;GLOBAL;359;132;491;73.1161;100+;268;90;358;74.8603;201;89;290;69.3103;158;43;201;78.607;100+;9.2967;16.345409;13.205796;3.811685;14.462306;9.067974;7.640255;1.479172;8.358181;6.27376;25.355462
GLOB_0975;GLOBAL;440;162;602;73.0897;100+;318;105;423;75.1773;251;111;362;69.337;189;51;240;78.75;100+;9.413;11.628415;21.257708;11.824214;2.844544;5.070587;10.824569;6.7883;1.382786;14.376643;20.002235
GLOB_1079;GLOBAL;353;130;483;73.0849;100+;257;87;344;74.7093;196;87;283;69.258;157;43;200;78.5;100+;9.242;17.680478;9.30013;5.048459;6.161624;13.596452;17.568127;6.305035;9.064218;8.500564;12.774914
GLOB_1285;GLOBAL;448;165;613;73.0832;100+;317;110;427;74.2389;255;105;360;70.8333;193;60;253;76.2846;100+;5.4513;14.165838;13.510136;3.770755;10.94946;21.670128;8.41197;5.613453;0.711619;14.066351;13.130292
GLOB_1549;GLOBAL;331;122;453;73.0684;100+;238;83;321;74.1433;184;84;268;68.6567;147;38;185;79.4595;100+;10.8028;20.826674;10.631291;9.933345;7.372251;1.733912;17.756278;9.7484;13.474857;10.967054;3.555937
GLOB_1437;GLOBAL;341;126;467;73.0193;100+;248;84;332;74.6988;191;86;277;68.9531;150;40;190;78.9474;100+;9.9943;21.686377;4.625633;7.487752;4.014571;19.56103;10.023504;17.041562;9.753484;6.819248;4.986838
GLOB_0838;GLOBAL;441;163;604;73.0132;100+;313;109;422;74.1706;247;110;357;69.1877;194;53;247;78.5425;100+;9.3548;9.994153;19.058333;2.409936;11.569112;4.509619;11.517558;6.346357;6.850537;16.36291;17.381484
GLOB_0013;GLOBAL;311;115;426;73.0047;100+;225;77;302;74.5033;176;77;253;69.5652;135;38;173;78.0347;100+;8.4695;22.008545;17.357485;11.430134;4.600992;5.220329;3.187302;12.292704;13.160231;2.669761;14.072516
GLOB_0033;GLOBAL;392;145;537;72.9981;100+;280;95;375;74.6667;219;98;317;69.0852;173;47;220;78.6364;100+;9.5512;17.720882;11.639645;6.884569;4.874905;15.900239;12.992234;14.359849;5.269304;13.51048;2.847893
GLOB_0308;GLOBAL;386;143;529;72.9679;100+;282;98;380;74.2105;214;94;308;69.4805;172;49;221;77.8281;100+;8.3476;20.862541;7.612186;7.070215;15.959072;22.307301;5.566332;3.211963;3.423187;13.035971;6.951231
GLOB_1815;GLOBAL;286;106;392;72.9592;100+;203;69;272;74.6324;160;72;232;68.9655;126;34;160;78.75;100+;9.7845;22.906803;9.575123;7.525329;1.593675;2.197619;7.403821;23.499194;17.65432;6.879496;6.764621
GLOB_0804;GLOBAL;383;142;525;72.9524;100+;275;94;369;74.5257;215;95;310;69.3548;168;47;215;78.1395;100+;8.7847;13.96561;3.747213;5.353494;5.73516;18.5475;14.903901;7.682289;11.417518;9.343157;15.304158
GLOB_1298;GLOBAL;329;122;451;72.949;100+;233;79;312;74.6795;190;86;276;68.8406;139;36;175;79.4286;100+;10.588;20.144287;16.637254;6.057018;2.755313;2.000568;9.570197;1.468176;15.065984;23.082357;9.218847
GLOB_0692;GLOBAL;364;135;499;72.9459;100+;260;89;349;74.4986;206;88;294;70.068;158;47;205;77.0732;100+;7.0052;18.351653;7.038321;11.55324;10.817447;8.378343;12.002377;3.144858;3.682571;23.202257;7.828932
GLOB_0369;GLOBAL;283;105;388;72.9381;100+;212;71;283;74.9117;155;70;225;68.8889;128;35;163;78.5276;100+;9.6387;22.310085;10.527517;13.288333;5.755193;5.663725;12.268679;1.742082;6.618077;8.726398;19.099912
GLOB_0727;GLOBAL;318;118;436;72.9358;100+;228;77;305;74.7541;181;81;262;69.084;137;37;174;78.7356;100+;9.6516;21.061047;10.290932;4.091667;4.130033;7.98331;20.660124;14.690495;7.468162;10.705039;4.91919
GLOB_0292;GLOBAL;415;154;569;72.935;100+;294;104;398;73.8693;237;100;337;70.3264;178;54;232;76.7241;100+;6.3977;11.22896;8.964434;3.472577;2.286476;16.328253;9.404697;5.051225;11.199781;24.643665;13.41993
GLOB_1478;GLOBAL;385;143;528;72.9167;100+;270;88;358;75.419;216;99;315;68.5714;169;44;213;79.3427;100+;10.7713;16.38977;18.762567;8.6865;3.742903;1.433381;1.949672;9.819687;18.680778;22.591242;3.943498
GLOB_1080;GLOBAL;339;126;465;72.9032;100+;251;88;339;74.0413;189;84;273;69.2308;150;42;192;78.125;100+;8.8942;18.464871;16.81873;6.342269;14.648305;0.91676;3.918275;8.086436;11.7312;3.6195;21.453654
GLOB_1090;GLOBAL;406;151;557;72.8905;100+;287;100;387;74.1602;231;103;334;69.1617;175;48;223;78.4753;100+;9.3136;8.949431;10.994907;4.369338;2.703812;7.611258;10.834105;9.592559;12.349284;18.935657;19.65965
GLOB_0636;GLOBAL;438;163;601;72.8785;100+;307;102;409;75.0611;249;108;357;69.7479;189;55;244;77.459;100+;7.7111;12.583929;18.900893;13.10859;1.168955;6.132877;14.909013;3.600203;10.640341;12.857401;12.097799
GLOB_0907;GLOBAL;282;105;387;72.8682;100+;211;70;281;75.089;155;72;227;68.2819;127;33;160;79.375;100+;11.0931;22.131898;8.092213;11.895312;4.326514;7.208037;12.93043;9.060532;7.257181;5.602788;17.495095
GLOB_0722;GLOBAL;381;142;523;72.8489;100+;278;96;374;74.3316;217;97;314;69.1083;164;45;209;78.4689;100+;9.3606;12.54967;12.892262;8.503176;2.521345;7.509568;18.599503;7.110222;9.586089;2.908943;23.819221
GLOB_1558;GLOBAL;413;154;567;72.8395;100+;296;102;398;74.3719;228;102;330;69.0909;185;52;237;78.0591;100+;8.9682;14.310675;9.313739;11.250077;10.523134;8.626583;6.231516;17.325432;10.75252;8.614316;9.052009
GLOB_1991;GLOBAL;362;135;497;72.837;100+;264;88;352;75.0;200;91;291;68.7285;162;44;206;78.6408;100+;9.9123;20.897785;5.930332;6.775915;1.648134;22.073153;9.316612;13.10078;4.567897;15.935969;5.753424
GLOB_0437;GLOBAL;402;150;552;72.8261;100+;287;98;385;74.5455;228;102;330;69.0909;174;48;222;78.3784;100+;9.2875;15.364912;21.631381;7.022477;8.135322;10.376365;3.235774;3.490334;13.697342;5.505833;17.540259
GLOB_0119;GLOBAL;351;131;482;72.8216;100+;252;88;340;74.1176;199;89;288;69.0972;152;42;194;78.3505;100+;9.2533;13.359368;3.255719;11.477385;2.541263;9.029537;4.9039;10.026699;28.776304;3.38552;19.244304
GLOB_1592;GLOBAL;426;159;585;72.8205;100+;299;100;399;74.9373;239;106;345;69.2754;187;53;240;77.9167;100+;8.6413;13.7623;19.265611;11.721416;7.408744;2.05271;7.304944;4.016732;16.68136;13.14401;10.642173
GLOB_1046;GLOBAL;434;162;596;72.8188;100+;303;107;410;73.9024;246;104;350;70.2857;188;58;246;76.4228;100+;6.1371;10.750099;14.745942;5.814982;12.67363;2.194298;6.971812;10.780518;13.4969;18.227653;10.344166
GLOB_1586;GLOBAL;233;87;320;72.8125;100+;177;60;237;74.6835;128;59;187;68.4492;105;28;133;78.9474;100+;10.4982;22.631953;8.764084;7.068611;3.903378;6.682703;6.045664;6.554725;12.094075;1.504771;30.750037
GLOB_1249;GLOBAL;407;152;559;72.8086;100+;287;99;386;74.3523;229;103;332;68.9759;178;49;227;78.4141;100+;9.4382;13.606847;15.211792;10.25737;2.816462;7.589762;7.314225;10.026237;14.599232;16.570538;8.007535
GLOB_1103;GLOBAL;431;161;592;72.8041;100+;298;105;403;73.9454;245;105;350;70.0;186;56;242;76.8595;100+;6.8595;9.660137;9.985836;3.0696;1.480475;18.643825;15.980915;4.08357;11.537857;15.333791;16.223995
GLOB_0860;GLOBAL;348;130;478;72.8033;100+;254;87;341;74.4868;191;87;278;68.705;157;43;200;78.5;100+;9.795;15.582791;5.291483;6.031857;3.417837;16.365307;19.051378;3.673947;8.709931;8.057237;19.818231
GLOB_0876;GLOBAL;337;126;463;72.7862;100+;243;84;327;74.3119;188;84;272;69.1176;149;42;191;78.0105;100+;8.8929;23.382416;16.175983;15.595824;6.016305;10.710513;3.749855;8.340271;2.712872;8.758718;10.557245
GLOB_1947;GLOBAL;337;126;463;72.7862;100+;250;81;331;75.5287;184;87;271;67.8967;153;39;192;79.6875;100+;11.7908;19.137064;13.616555;9.259335;8.699366;2.312151;9.761536;18.445388;3.181829;9.742274;11.844502
GLOB_1314;GLOBAL;353;132;485;72.7835;100+;254;88;342;74.269;200;89;289;69.2042;153;43;196;78.0612;100+;8.857;14.296463;6.082378;3.970486;10.596043;4.121418;9.416677;11.871039;23.394809;6.318265;15.932422
GLOB_0825;GLOBAL;393;147;540;72.7778;100+;287;99;386;74.3523;222;100;322;68.9441;171;47;218;78.4404;100+;9.4963;14.883722;22.246539;2.429133;5.339682;9.708212;16.878242;5.131403;7.501393;1.940907;19.940767
GLOB_1614;GLOBAL;358;134;492;72.7642;100+;259;89;348;74.4253;202;87;289;69.8962;156;47;203;76.8473;100+;6.9511;18.635808;7.512427;8.110868;1.613543;11.910827;24.582908;11.416237;15.850639;2.419942;3.946799
GLOB_1059;GLOBAL;398;149;547;72.7605;100+;279;98;377;74.0053;223;102;325;68.6154;175;47;222;78.8288;100+;10.2134;10.622613;10.173827;6.55289;4.727256;9.372918;1.598213;19.595518;13.182583;10.28849;19.885692
GLOB_1610;GLOBAL;347;130;477;72.7463;100+;252;86;338;74.5562;198;90;288;68.75;149;40;189;78.836;100+;10.086;13.479953;15.312706;2.37969;3.618244;1.730448;7.157374;6.839708;5.267519;26.606501;23.607857
GLOB_1292;GLOBAL;395;148;543;72.744;100+;289;98;387;74.677;229;102;331;69.1843;166;46;212;78.3019;100+;9.1176;17.900543;22.737905;3.768625;11.733742;6.526094;7.009251;17.333258;4.93269;3.700072;10.357821
LOC_1362;LOCAL;435;163;598;72.7425;100+;305;104;409;74.5721;247;109;356;69.382;188;54;242;77.686;100+;8.304;8.630892;12.267026;6.479504;3.364974;12.331637;9.6309;13.581116;10.026173;11.362402;18.325375
GLOB_1767;GLOBAL;360;135;495;72.7273;100+;265;90;355;74.6479;200;90;290;68.9655;160;45;205;78.0488;100+;9.0833;15.793554;14.849124;12.141095;2.462702;6.39075;9.937731;10.924135;9.646772;0.903347;22.95079
GLOB_1473;GLOBAL;416;156;572;72.7273;100+;300;106;406;73.8916;236;104;340;69.4118;180;52;232;77.5862;100+;8.1744;16.265959;21.523415;10.165006;15.285584;3.516231;1.949581;8.841722;2.576179;10.639613;15.23671
GLOB_1552;GLOBAL;432;162;594;72.7273;100+;304;103;407;74.6929;249;110;359;69.3593;183;52;235;77.8723;100+;8.513;10.967118;15.453308;4.610598;2.006042;11.074836;16.158518;8.855224;13.318267;10.167384;13.388705
GLOB_1157;GLOBAL;397;149;546;72.7106;100+;284;98;382;74.3455;228;100;328;69.5122;169;49;218;77.5229;100+;8.0107;15.579637;12.495634;8.47797;5.566742;11.564481;4.391808;11.71113;11.472462;19.271687;5.468449
GLOB_1806;GLOBAL;381;143;524;72.7099;100+;276;93;369;74.7967;214;95;309;69.2557;167;48;215;77.6744;100+;8.4187;17.578244;12.152563;11.191838;3.576948;15.303756;14.265328;5.476474;8.927712;9.82901;7.698126
GLOB_0098;GLOBAL;333;125;458;72.7074;100+;243;84;327;74.3119;188;85;273;68.8645;145;40;185;78.3784;100+;9.5139;19.385577;11.903434;11.58755;1.738773;17.760876;11.747145;4.35158;1.363383;3.902042;22.259642
GLOB_0404;GLOBAL;338;127;465;72.6882;100+;243;84;327;74.3119;191;87;278;68.705;147;40;187;78.6096;100+;9.9046;16.894738;9.684649;8.530699;3.696574;2.177803;11.827284;8.139161;24.391488;7.301996;13.355608
GLOB_0988;GLOBAL;322;121;443;72.6862;100+;230;79;309;74.4337;177;84;261;67.8161;145;37;182;79.6703;100+;11.8542;21.515612;8.947877;10.751438;6.110955;7.948209;11.381857;9.90984;9.32847;14.425599;5.680142
GLOB_1481;GLOBAL;306;115;421;72.6841;100+;218;74;292;74.6575;171;82;253;67.5889;135;33;168;80.3571;100+;12.7682;19.733576;11.145542;2.620001;9.478277;6.411616;2.341571;16.295501;13.764463;12.350808;11.858644
GLOB_0753;GLOBAL;423;159;582;72.6804;100+;301;105;406;74.1379;239;107;346;69.0751;184;52;236;77.9661;100+;8.891;14.526316;19.583798;5.174254;13.975533;11.056044;6.846173;2.089142;9.199863;10.024644;13.524233
GLOB_1166;GLOBAL;415;156;571;72.6795;100+;302;101;403;74.938;237;106;343;69.0962;178;50;228;78.0702;100+;8.974;15.429588;22.886323;5.044344;2.009414;9.555795;18.117622;11.918008;8.999631;4.461425;7.57785
GLOB_1888;GLOBAL;391;147;538;72.6766;100+;281;97;378;74.3386;220;101;321;68.5358;171;46;217;78.8018;100+;10.266;16.627809;17.183304;3.62469;8.556746;8.49124;16.713001;3.459251;11.897254;11.229785;8.21692
GLOB_1340;GLOBAL;396;149;545;72.6606;100+;281;95;376;74.734;224;102;326;68.7117;172;47;219;78.5388;100+;9.8271;11.510987;17.288359;6.786794;5.538385;0.655547;7.631745;8.395285;24.551974;3.274227;20.366696
GLOB_1291;GLOBAL;441;166;607;72.6524;100+;312;106;418;74.6411;250;111;361;69.2521;191;55;246;77.6423;100+;8.3902;8.126526;16.891444;2.111091;1.667091;9.865596;13.054042;8.536837;8.031078;19.648594;18.067701
GLOB_1632;GLOBAL;409;154;563;72.6465;100+;296;102;398;74.3719;232;105;337;68.8427;177;49;226;78.3186;100+;9.4759;10.01646;20.376678;5.646946;1.8843;2.46741;21.693169;6.901792;5.588731;5.764093;25.66042
GLOB_0680;GLOBAL;324;122;446;72.6457;100+;236;79;315;74.9206;184;85;269;68.4015;140;37;177;79.096;100+;10.6945;16.334519;12.77365;6.639775;5.535618;2.820979;11.414179;1.696112;5.730379;19.25178;23.80301
GLOB_0590;GLOBAL;440;166;606;72.6073;100+;311;112;423;73.5225;252;108;360;70.0;188;58;246;76.4228;100+;6.4228;13.700633;11.336887;9.260988;13.635878;10.774437;13.090302;9.033581;10.336818;8.890812;5.939664
GLOB_0471;GLOBAL;363;137;500;72.6;100+;268;92;360;74.4444;204;90;294;69.3878;159;47;206;77.1845;100+;7.7967;12.181862;2.831765;3.232462;12.005429;5.32946;18.245104;8.849793;4.674193;17.338676;21.311257
GLOB_1487;GLOBAL;381;144;525;72.5714;100+;275;95;370;74.3243;216;94;310;69.6774;165;50;215;76.7442;100+;7.0668;14.921736;8.021021;10.316847;13.471181;6.342633;6.867725;8.188698;3.140795;19.935691;14.793675
GLOB_0844;GLOBAL;336;127;463;72.5702;100+;244;83;327;74.6177;189;80;269;70.2602;147;47;194;75.7732;100+;5.513;18.965503;9.205426;16.362757;7.319299;6.257798;4.246928;7.717524;2.690014;17.608908;15.625842
GLOB_0410;GLOBAL;418;158;576;72.5694;100+;298;107;405;73.5802;234;105;339;69.0265;184;53;237;77.6371;100+;8.6106;15.880825;17.641111;21.477586;4.326998;5.318027;11.737515;0.710167;8.624705;6.330262;13.952805
GLOB_0572;GLOBAL;410;155;565;72.5664;100+;289;104;393;73.5369;229;102;331;69.1843;181;53;234;77.3504;100+;8.1661;14.100187;14.971967;7.228303;10.815811;3.695381;7.440739;7.921545;13.939785;19.527436;6.358846
GLOB_0516;GLOBAL;484;183;667;72.5637;100+;337;120;457;73.7418;271;120;391;69.3095;213;63;276;77.1739;100+;7.8644;10.612066;19.133272;8.87874;7.743152;6.665;16.259612;4.803425;10.950876;15.969243;4.984616
GLOB_1390;GLOBAL;439;166;605;72.562;100+;314;110;424;74.0566;249;110;359;69.3593;190;56;246;77.2358;100+;7.8765;11.861914;16.42611;3.858083;12.655597;3.267251;12.651292;9.3671;14.743891;14.037319;7.131442
GLOB_1943;GLOBAL;423;160;583;72.5557;100+;302;105;407;74.2015;241;107;348;69.2529;182;53;235;77.4468;100+;8.1939;10.607082;12.372044;6.191011;2.202737;11.645167;16.171729;16.331343;2.131868;12.227845;16.119174
GLOB_1670;GLOBAL;391;148;539;72.5417;100+;284;98;382;74.3455;217;100;317;68.4543;174;48;222;78.3784;100+;9.9241;18.040532;11.623912;6.331468;7.164081;15.017653;3.578971;25.773233;1.745924;12.232261;4.491965
GLOB_1512;GLOBAL;367;139;506;72.5296;100+;268;93;361;74.2382;204;90;294;69.3878;163;49;212;76.8868;100+;7.499;15.228547;4.002098;4.20216;3.189481;17.280082;17.394163;14.380515;13.250971;1.707921;15.364061
GLOB_0604;GLOBAL;285;108;393;72.5191;100+;211;72;283;74.5583;159;74;233;68.2403;126;34;160;78.75;100+;10.5097;19.628712;5.66786;9.692138;5.873829;5.655158;6.271735;9.956079;16.61563;7.323116;19.315745
GLOB_1934;GLOBAL;459;174;633;72.5118;100+;330;119;449;73.4967;259;121;380;68.1579;200;53;253;79.0514;100+;10.8935;10.281028;22.959767;5.355252;13.699976;3.553359;5.80898;11.30415;0.987351;12.83595;19.214188
GLOB_1252;GLOBAL;364;138;502;72.51;100+;263;92;355;74.0845;207;91;298;69.4631;157;47;204;76.9608;100+;7.4977;23.267256;16.738815;4.377996;1.432308;24.976608;7.760885;2.676941;3.139834;15.625151;6.004206
GLOB_1391;GLOBAL;245;93;338;72.4852;100+;180;61;241;74.6888;136;64;200;68.0;109;29;138;78.9855;100+;10.9855;24.125266;11.321793;1.66387;1.244538;5.565078;13.846137;10.596788;4.504927;12.723323;20.408281
GLOB_1491;GLOBAL;408;155;563;72.4689;100+;294;106;400;73.5;225;100;325;69.2308;183;55;238;76.8908;100+;7.66;13.946686;8.017015;12.215766;11.740861;1.897226;11.558784;13.680789;13.871752;15.023228;4.047893
GLOB_0305;GLOBAL;329;125;454;72.467;100+;239;82;321;74.4548;186;85;271;68.6347;143;40;183;78.1421;100+;9.5074;14.895534;9.233132;9.050961;2.654465;1.449576;7.677136;14.499559;11.765302;13.844197;20.930138
LOC_0935;LOCAL;471;179;650;72.4615;100+;328;120;448;73.2143;266;119;385;69.0909;205;60;265;77.3585;100+;8.2676;8.556006;11.716895;10.799105;9.272349;11.80789;11.404519;7.634332;10.75388;11.421351;12.633673
LOC_1797;LOCAL;434;165;599;72.4541;100+;306;110;416;73.5577;247;112;359;68.8022;187;53;240;77.9167;100+;9.1145;10.63851;12.978503;10.160267;8.01912;9.516814;8.828773;9.738743;10.293284;9.629328;16.196658
GLOB_1211;GLOBAL;476;181;657;72.4505;100+;339;119;458;74.0175;269;117;386;69.6891;207;64;271;76.3838;100+;6.6947;8.891707;11.620604;6.744403;10.824761;10.258442;8.928095;21.179349;10.537688;8.652436;8.362515
