Engine;Population;Maturity;OK;KO;N;HitRate
v20defplus;ALTA+IMM-ALTA;13-20;58;8;66;87.88
v20defplus;ALTA+IMM-ALTA;21+;12;2;14;85.71
v20defplus_v2;ALL;ALL;1256;727;1983;63.34
v20defplus_v2;ALL;5-6;418;271;689;60.67
v20defplus_v2;ALL;7-8;72;55;127;56.69
v20defplus_v2;ALL;9-12;14;7;21;66.67
v20defplus_v2;ALL;13-20;529;250;779;67.91
v20defplus_v2;ALL;21+;223;144;367;60.76
v20defplus_v2;ALTA;ALL;104;25;129;80.62
v20defplus_v2;ALTA;5-6;29;14;43;67.44
v20defplus_v2;ALTA;7-8;6;0;6;100.0
v20defplus_v2;ALTA;9-12;2;0;2;100.0
v20defplus_v2;ALTA;13-20;55;9;64;85.94
v20defplus_v2;ALTA;21+;12;2;14;85.71
v20defplus_v2;ALTA+IMM-ALTA;ALL;104;25;129;80.62
v20defplus_v2;ALTA+IMM-ALTA;5-6;29;14;43;67.44
v20defplus_v2;ALTA+IMM-ALTA;7-8;6;0;6;100.0
v20defplus_v2;ALTA+IMM-ALTA;9-12;2;0;2;100.0
v20defplus_v2;ALTA+IMM-ALTA;13-20;55;9;64;85.94
v20defplus_v2;ALTA+IMM-ALTA;21+;12;2;14;85.71
v20defplus_v3;ALL;ALL;1256;727;1983;63.34
v20defplus_v3;ALL;5-6;418;271;689;60.67
v20defplus_v3;ALL;7-8;72;55;127;56.69
v20defplus_v3;ALL;9-12;14;7;21;66.67
v20defplus_v3;ALL;13-20;529;250;779;67.91
v20defplus_v3;ALL;21+;223;144;367;60.76
v20defplus_v3;ALTA;ALL;113;28;141;80.14
v20defplus_v3;ALTA;5-6;32;15;47;68.09
v20defplus_v3;ALTA;7-8;6;0;6;100.0
v20defplus_v3;ALTA;9-12;2;0;2;100.0
v20defplus_v3;ALTA;13-20;59;11;70;84.29
v20defplus_v3;ALTA;21+;14;2;16;87.5
v20defplus_v3;ALTA+IMM-ALTA;ALL;113;28;141;80.14
v20defplus_v3;ALTA+IMM-ALTA;5-6;32;15;47;68.09
v20defplus_v3;ALTA+IMM-ALTA;7-8;6;0;6;100.0
v20defplus_v3;ALTA+IMM-ALTA;9-12;2;0;2;100.0
v20defplus_v3;ALTA+IMM-ALTA;13-20;59;11;70;84.29
v20defplus_v3;ALTA+IMM-ALTA;21+;14;2;16;87.5
v20defselect;ALL;ALL;1290;741;2031;63.52
v20defselect;ALL;5-6;420;271;691;60.78
v20defselect;ALL;7-8;72;55;127;56.69
v20defselect;ALL;9-12;15;7;22;68.18
v20defselect;ALL;13-20;555;262;817;67.93
v20defselect;ALL;21+;228;146;374;60.96
v20defselect;ALTA;ALL;41;10;51;80.39
v20defselect;ALTA;5-6;5;5;10;50.0
v20defselect;ALTA;7-8;1;0;1;100.0
v20defselect;ALTA;9-12;2;0;2;100.0
v20defselect;ALTA;13-20;27;5;32;84.38
v20defselect;ALTA;21+;6;0;6;100.0
v20defselect;ALTA+IMM-ALTA;ALL;41;10;51;80.39
v20defselect;ALTA+IMM-ALTA;5-6;5;5;10;50.0
v20defselect;ALTA+IMM-ALTA;7-8;1;0;1;100.0
v20defselect;ALTA+IMM-ALTA;9-12;2;0;2;100.0
v20defselect;ALTA+IMM-ALTA;13-20;27;5;32;84.38
v20defselect;ALTA+IMM-ALTA;21+;6;0;6;100.0
v20plus;ALL;ALL;1846;1033;2879;64.12
v20plus;ALL;5-6;432;281;713;60.59
v20plus;ALL;7-8;75;56;131;57.25
v20plus;ALL;9-12;32;10;42;76.19
v20plus;ALL;13-20;1010;499;1509;66.93
v20plus;ALL;21+;297;187;484;61.36
v20plus;ALTA;ALL;196;45;241;81.33
v20plus;ALTA;5-6;33;21;54;61.11
v20plus;ALTA;7-8;7;0;7;100.0
v20plus;ALTA;9-12;6;0;6;100.0
v20plus;ALTA;13-20;127;20;147;86.39
v20plus;ALTA;21+;23;4;27;85.19
v20plus;ALTA+IMM-ALTA;ALL;196;45;241;81.33
v20plus;ALTA+IMM-ALTA;5-6;33;21;54;61.11
v20plus;ALTA+IMM-ALTA;7-8;7;0;7;100.0
v20plus;ALTA+IMM-ALTA;9-12;6;0;6;100.0
v20plus;ALTA+IMM-ALTA;13-20;127;20;147;86.39
v20plus;ALTA+IMM-ALTA;21+;23;4;27;85.19
v20select;ALL;ALL;1846;1033;2879;64.12
v20select;ALL;5-6;432;281;713;60.59
v20select;ALL;7-8;75;56;131;57.25
v20select;ALL;9-12;32;10;42;76.19
v20select;ALL;13-20;1010;499;1509;66.93
v20select;ALL;21+;297;187;484;61.36
v20select;ALTA;ALL;69;21;90;76.67
v20select;ALTA;5-6;8;9;17;47.06
v20select;ALTA;7-8;2;0;2;100.0
v20select;ALTA;9-12;3;0;3;100.0
v20select;ALTA;13-20;45;11;56;80.36
v20select;ALTA;21+;11;1;12;91.67
v20select;ALTA+IMM-ALTA;ALL;69;21;90;76.67
v20select;ALTA+IMM-ALTA;5-6;8;9;17;47.06
v20select;ALTA+IMM-ALTA;7-8;2;0;2;100.0
v20select;ALTA+IMM-ALTA;9-12;3;0;3;100.0
v20select;ALTA+IMM-ALTA;13-20;45;11;56;80.36
v20select;ALTA+IMM-ALTA;21+;11;1;12;91.67
v21;ALL;ALL;2624;1494;4118;63.72
v21;ALL;5-6;434;281;715;60.7
v21;ALL;7-8;78;59;137;56.93
v21;ALL;9-12;204;95;299;68.23
v21;ALL;13-20;1538;837;2375;64.76
v21;ALL;21+;370;222;592;62.5
v21;ALTA;ALL;1185;457;1642;72.17
v21;ALTA;5-6;122;71;193;63.21
v21;ALTA;7-8;23;8;31;74.19
v21;ALTA;9-12;125;41;166;75.3
v21;ALTA;13-20;761;290;1051;72.41
v21;ALTA;21+;154;47;201;76.62
v21;ALTA+IMM-ALTA;ALL;1185;457;1642;72.17
v21;ALTA+IMM-ALTA;5-6;122;71;193;63.21
v21;ALTA+IMM-ALTA;7-8;23;8;31;74.19
v21;ALTA+IMM-ALTA;9-12;125;41;166;75.3
v21;ALTA+IMM-ALTA;13-20;761;290;1051;72.41
v21;ALTA+IMM-ALTA;21+;154;47;201;76.62
v21dev;ALL;ALL;2127;1198;3325;63.97
v21dev;ALL;5-6;432;281;713;60.59
v21dev;ALL;7-8;75;56;131;57.25
v21dev;ALL;9-12;64;25;89;71.91
v21dev;ALL;13-20;1237;636;1873;66.04
v21dev;ALL;21+;319;200;519;61.46
v21dev;ALTA;ALL;937;338;1275;73.49
v21dev;ALTA;5-6;121;71;192;63.02
v21dev;ALTA;7-8;22;8;30;73.33
v21dev;ALTA;9-12;38;9;47;80.85
v21dev;ALTA;13-20;626;210;836;74.88
v21dev;ALTA;21+;130;40;170;76.47
v21dev;ALTA+IMM-ALTA;ALL;937;338;1275;73.49
v21dev;ALTA+IMM-ALTA;5-6;121;71;192;63.02
v21dev;ALTA+IMM-ALTA;7-8;22;8;30;73.33
v21dev;ALTA+IMM-ALTA;9-12;38;9;47;80.85
v21dev;ALTA+IMM-ALTA;13-20;626;210;836;74.88
v21dev;ALTA+IMM-ALTA;21+;130;40;170;76.47
v22;ALL;ALL;2825;1606;4431;63.76
v22;ALL;5-6;433;281;714;60.64
v22;ALL;7-8;85;60;145;58.62
v22;ALL;9-12;248;116;364;68.13
v22;ALL;13-20;1672;916;2588;64.61
v22;ALL;21+;387;233;620;62.42
v22;ALTA;ALL;1047;374;1421;73.68
v22;ALTA;5-6;96;55;151;63.58
v22;ALTA;7-8;19;5;24;79.17
v22;ALTA;9-12;131;39;170;77.06
v22;ALTA;13-20;671;239;910;73.74
v22;ALTA;21+;130;36;166;78.31
v22;ALTA+IMM-ALTA;ALL;1047;374;1421;73.68
v22;ALTA+IMM-ALTA;5-6;96;55;151;63.58
v22;ALTA+IMM-ALTA;7-8;19;5;24;79.17
v22;ALTA+IMM-ALTA;9-12;131;39;170;77.06
v22;ALTA+IMM-ALTA;13-20;671;239;910;73.74
v22;ALTA+IMM-ALTA;21+;130;36;166;78.31
v22def;ALL;ALL;1441;816;2257;63.85
v22def;ALL;5-6;429;277;706;60.76
v22def;ALL;7-8;73;56;129;56.59
v22def;ALL;9-12;18;7;25;72.0
v22def;ALL;13-20;671;318;989;67.85
v22def;ALL;21+;250;158;408;61.27
v22def;ALTA;ALL;318;92;410;77.56
v22def;ALTA;5-6;62;29;91;68.13
v22def;ALTA;7-8;10;4;14;71.43
v22def;ALTA;9-12;7;2;9;77.78
v22def;ALTA;13-20;188;44;232;81.03
v22def;ALTA;21+;51;13;64;79.69
v22def;ALTA+IMM-ALTA;ALL;318;92;410;77.56
v22def;ALTA+IMM-ALTA;5-6;62;29;91;68.13
v22def;ALTA+IMM-ALTA;7-8;10;4;14;71.43
v22def;ALTA+IMM-ALTA;9-12;7;2;9;77.78
v22def;ALTA+IMM-ALTA;13-20;188;44;232;81.03
v22def;ALTA+IMM-ALTA;21+;51;13;64;79.69
v23;ALL;ALL;2774;1585;4359;63.64
v23;ALL;5-6;434;281;715;60.7
v23;ALL;7-8;85;60;145;58.62
v23;ALL;9-12;229;110;339;67.55
v23;ALL;13-20;1642;902;2544;64.54
v23;ALL;21+;384;232;616;62.34
v23;ALTA;ALL;985;353;1338;73.62
v23;ALTA;5-6;91;49;140;65.0
v23;ALTA;7-8;19;5;24;79.17
v23;ALTA;9-12;118;37;155;76.13
v23;ALTA;13-20;635;227;862;73.67
v23;ALTA;21+;122;35;157;77.71
v23;ALTA+IMM-ALTA;ALL;985;353;1338;73.62
v23;ALTA+IMM-ALTA;5-6;91;49;140;65.0
v23;ALTA+IMM-ALTA;7-8;19;5;24;79.17
v23;ALTA+IMM-ALTA;9-12;118;37;155;76.13
v23;ALTA+IMM-ALTA;13-20;635;227;862;73.67
v23;ALTA+IMM-ALTA;21+;122;35;157;77.71
v24;ALL;ALL;2774;1585;4359;63.64
v24;ALL;5-6;434;281;715;60.7
v24;ALL;7-8;85;60;145;58.62
v24;ALL;9-12;229;110;339;67.55
v24;ALL;13-20;1642;902;2544;64.54
v24;ALL;21+;384;232;616;62.34
v24;ALTA;ALL;1759;788;2547;69.06
v24;ALTA;5-6;199;105;304;65.46
v24;ALTA;7-8;44;19;63;69.84
v24;ALTA;9-12;172;67;239;71.97
v24;ALTA;13-20;1118;499;1617;69.14
v24;ALTA;21+;226;98;324;69.75
v24;ALTA+IMM-ALTA;ALL;1759;788;2547;69.06
v24;ALTA+IMM-ALTA;5-6;199;105;304;65.46
v24;ALTA+IMM-ALTA;7-8;44;19;63;69.84
v24;ALTA+IMM-ALTA;9-12;172;67;239;71.97
v24;ALTA+IMM-ALTA;13-20;1118;499;1617;69.14
v24;ALTA+IMM-ALTA;21+;226;98;324;69.75
v25;ALL;ALL;2771;1581;4352;63.67
v25;ALL;5-6;434;281;715;60.7
v25;ALL;7-8;85;60;145;58.62
v25;ALL;9-12;227;108;335;67.76
v25;ALL;13-20;1641;902;2543;64.53
v25;ALL;21+;384;230;614;62.54
v25;ALTA;ALL;1033;364;1397;73.94
v25;ALTA;5-6;97;55;152;63.82
v25;ALTA;7-8;20;5;25;80.0
v25;ALTA;9-12;123;34;157;78.34
v25;ALTA;13-20;665;234;899;73.97
v25;ALTA;21+;128;36;164;78.05
v25;ALTA+IMM-ALTA;ALL;1033;364;1397;73.94
v25;ALTA+IMM-ALTA;5-6;97;55;152;63.82
v25;ALTA+IMM-ALTA;7-8;20;5;25;80.0
v25;ALTA+IMM-ALTA;9-12;123;34;157;78.34
v25;ALTA+IMM-ALTA;13-20;665;234;899;73.97
v25;ALTA+IMM-ALTA;21+;128;36;164;78.05
v251;ALL;ALL;2376;1347;3723;63.82
v251;ALL;5-6;432;281;713;60.59
v251;ALL;7-8;76;56;132;57.58
v251;ALL;9-12;135;52;187;72.19
v251;ALL;13-20;1392;743;2135;65.2
v251;ALL;21+;341;215;556;61.33
v251;ALTA;ALL;864;299;1163;74.29
v251;ALTA;5-6;94;54;148;63.51
v251;ALTA;7-8;16;5;21;76.19
v251;ALTA;9-12;82;19;101;81.19
v251;ALTA;13-20;560;189;749;74.77
v251;ALTA;21+;112;32;144;77.78
v251;ALTA+IMM-ALTA;ALL;864;299;1163;74.29
v251;ALTA+IMM-ALTA;5-6;94;54;148;63.51
v251;ALTA+IMM-ALTA;7-8;16;5;21;76.19
v251;ALTA+IMM-ALTA;9-12;82;19;101;81.19
v251;ALTA+IMM-ALTA;13-20;560;189;749;74.77
v251;ALTA+IMM-ALTA;21+;112;32;144;77.78
v25def;ALL;ALL;1441;816;2257;63.85
v25def;ALL;5-6;429;277;706;60.76
v25def;ALL;7-8;73;56;129;56.59
v25def;ALL;9-12;18;7;25;72.0
v25def;ALL;13-20;671;318;989;67.85
v25def;ALL;21+;250;158;408;61.27
v25def;ALTA;ALL;318;92;410;77.56
v25def;ALTA;5-6;62;29;91;68.13
v25def;ALTA;7-8;10;4;14;71.43
v25def;ALTA;9-12;7;2;9;77.78
v25def;ALTA;13-20;188;44;232;81.03
v25def;ALTA;21+;51;13;64;79.69
v25def;ALTA+IMM-ALTA;ALL;318;92;410;77.56
v25def;ALTA+IMM-ALTA;5-6;62;29;91;68.13
v25def;ALTA+IMM-ALTA;7-8;10;4;14;71.43
v25def;ALTA+IMM-ALTA;9-12;7;2;9;77.78
v25def;ALTA+IMM-ALTA;13-20;188;44;232;81.03
v25def;ALTA+IMM-ALTA;21+;51;13;64;79.69
v26;ALL;ALL;1893;1060;2953;64.1
v26;ALL;5-6;432;281;713;60.59
v26;ALL;7-8;75;56;131;57.25
v26;ALL;9-12;40;13;53;75.47
v26;ALL;13-20;1047;521;1568;66.77
v26;ALL;21+;299;189;488;61.27
v26;ALTA;ALL;502;164;666;75.38
v26;ALTA;5-6;95;55;150;63.33
v26;ALTA;7-8;16;5;21;76.19
v26;ALTA;9-12;17;2;19;89.47
v26;ALTA;13-20;312;89;401;77.81
v26;ALTA;21+;62;13;75;82.67
v26;ALTA+IMM-ALTA;ALL;502;164;666;75.38
v26;ALTA+IMM-ALTA;5-6;95;55;150;63.33
v26;ALTA+IMM-ALTA;7-8;16;5;21;76.19
v26;ALTA+IMM-ALTA;9-12;17;2;19;89.47
v26;ALTA+IMM-ALTA;13-20;312;89;401;77.81
v26;ALTA+IMM-ALTA;21+;62;13;75;82.67
v26def;ALL;ALL;1441;816;2257;63.85
v26def;ALL;5-6;429;277;706;60.76
v26def;ALL;7-8;73;56;129;56.59
v26def;ALL;9-12;18;7;25;72.0
v26def;ALL;13-20;671;318;989;67.85
v26def;ALL;21+;250;158;408;61.27
v26def;ALTA;ALL;219;79;298;73.49
v26def;ALTA;5-6;60;34;94;63.83
v26def;ALTA;7-8;8;4;12;66.67
v26def;ALTA;9-12;3;0;3;100.0
v26def;ALTA;13-20;117;36;153;76.47
v26def;ALTA;21+;31;5;36;86.11
v26def;ALTA+IMM-ALTA;ALL;219;79;298;73.49
v26def;ALTA+IMM-ALTA;5-6;60;34;94;63.83
v26def;ALTA+IMM-ALTA;7-8;8;4;12;66.67
v26def;ALTA+IMM-ALTA;9-12;3;0;3;100.0
v26def;ALTA+IMM-ALTA;13-20;117;36;153;76.47
v26def;ALTA+IMM-ALTA;21+;31;5;36;86.11
