Metric;Month;AltaOK;AltaKO;AltaKOShare;MediaOK;MediaKO;MediaOKPrecision;Occurrences
attack_gap_le_13__AND__home_defense_weakness_le_9;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__home_venue_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__home_venue_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__home_venue_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__last10_gap_le_10.8;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1379
attack_gap_le_13__AND__last10_gap_le_10.8;2026-08;714;209;0.22643553629469124;1160;695;0.6253369272237197;4854
attack_gap_le_13__AND__last10_gap_le_10.8;2026-09;97;48;0.3310344827586207;215;154;0.5826558265582655;1216
attack_gap_le_13__AND__last10_gap_le_9.6;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1377
attack_gap_le_13__AND__last10_gap_le_9.6;2026-08;714;209;0.22643553629469124;1160;695;0.6253369272237197;4847
attack_gap_le_13__AND__last10_gap_le_9.6;2026-09;97;48;0.3310344827586207;215;154;0.5826558265582655;1212
attack_gap_le_13__AND__last10_max_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1337
attack_gap_le_13__AND__last10_max_ge_4;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4886
attack_gap_le_13__AND__last10_max_ge_4;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1199
attack_gap_le_13__AND__last10_min_le_10.8;2026-07;229;107;0.31845238095238093;252;142;0.6395939086294417;1393
attack_gap_le_13__AND__last10_min_le_10.8;2026-08;709;209;0.22766884531590414;1163;701;0.6239270386266095;4780
attack_gap_le_13__AND__last10_min_le_10.8;2026-09;94;48;0.3380281690140845;214;155;0.5799457994579946;1209
attack_gap_le_13__AND__last10_sum_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1342
attack_gap_le_13__AND__last10_sum_ge_4;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4907
attack_gap_le_13__AND__last10_sum_ge_4;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1217
attack_gap_le_13__AND__last10_sum_ge_6;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1339
attack_gap_le_13__AND__last10_sum_ge_6;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4860
attack_gap_le_13__AND__last10_sum_ge_6;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1197
attack_gap_le_13__AND__venue_gap_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__venue_gap_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__venue_gap_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__venue_max_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__venue_max_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__venue_max_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_13__AND__venue_min_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_gap_le_13__AND__venue_min_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_gap_le_13__AND__venue_min_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_gap_le_4;2026-07;172;87;0.3359073359073359;175;108;0.6183745583038869;1035
attack_gap_le_4;2026-08;533;177;0.24929577464788732;737;461;0.6151919866444073;3219
attack_gap_le_4;2026-09;68;34;0.3333333333333333;135;95;0.5869565217391305;765
attack_gap_le_6;2026-07;205;104;0.3365695792880259;224;130;0.632768361581921;1250
attack_gap_le_6;2026-08;647;199;0.23522458628841608;977;603;0.6183544303797468;4144
attack_gap_le_6;2026-09;82;44;0.3492063492063492;182;127;0.5889967637540453;1030
attack_gap_le_8;2026-07;223;106;0.3221884498480243;243;143;0.6295336787564767;1337
attack_gap_le_8;2026-08;697;207;0.22898230088495575;1086;663;0.6209262435677531;4568
attack_gap_le_8;2026-09;92;48;0.34285714285714286;199;142;0.5835777126099707;1137
attack_max_ge_10;2026-07;218;101;0.3166144200626959;176;93;0.654275092936803;951
attack_max_ge_10;2026-08;673;200;0.2290950744558992;755;442;0.6307435254803676;3138
attack_max_ge_10;2026-09;89;45;0.3358208955223881;142;94;0.6016949152542372;747
attack_max_ge_11;2026-07;200;92;0.3150684931506849;137;64;0.681592039800995;788
attack_max_ge_11;2026-08;602;171;0.22121604139715395;619;353;0.6368312757201646;2706
attack_max_ge_11;2026-09;81;38;0.31932773109243695;108;74;0.5934065934065934;613
attack_max_ge_12;2026-07;170;77;0.3117408906882591;88;44;0.6666666666666666;592
attack_max_ge_12;2026-08;516;149;0.22406015037593985;411;216;0.6555023923444976;1947
attack_max_ge_12;2026-09;71;33;0.3173076923076923;72;48;0.6;454
attack_max_ge_13;2026-07;134;66;0.33;71;29;0.71;481
attack_max_ge_13;2026-08;436;117;0.2115732368896926;335;165;0.67;1683
attack_max_ge_13;2026-09;64;30;0.3191489361702128;60;38;0.6122448979591837;399
attack_max_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1349
attack_max_ge_4;2026-08;714;209;0.22643553629469124;1165;700;0.6246648793565683;4857
attack_max_ge_4;2026-09;97;48;0.3310344827586207;213;153;0.5819672131147541;1208
attack_max_ge_4__AND__last10_min_le_10.8;2026-07;229;107;0.31845238095238093;252;142;0.6395939086294417;1335
attack_max_ge_4__AND__last10_min_le_10.8;2026-08;709;209;0.22766884531590414;1160;698;0.6243272335844995;4677
attack_max_ge_4__AND__last10_min_le_10.8;2026-09;94;48;0.3380281690140845;212;153;0.5808219178082191;1183
attack_max_ge_4__AND__last10_sum_ge_6;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1337
