Model;Slice;N;OK;KO;HitRate
L8_90REC_10FULL;maturity_7-8_top25pct;321;251;70;78.19
L5_70REC_30FULL;maturity_7-8_top25pct;321;249;72;77.57
L5_80REC_20FULL;maturity_7-8_top25pct;321;249;72;77.57
L5_90REC_10FULL;maturity_7-8_top25pct;321;249;72;77.57
L5;maturity_7-8_top25pct;321;247;74;76.95
FULL;maturity_9-12_top25pct;565;423;142;74.87
L7;maturity_9-12_top25pct;565;423;142;74.87
L8_60REC_40FULL;maturity_9-12_top25pct;565;423;142;74.87
L8_80REC_20FULL;maturity_9-12_top25pct;565;423;142;74.87
L7_70REC_30FULL;maturity_9-12_top25pct;565;422;143;74.69
L7_80REC_20FULL;maturity_9-12_top25pct;565;422;143;74.69
L7_90REC_10FULL;maturity_9-12_top25pct;565;422;143;74.69
L8_70REC_30FULL;maturity_9-12_top25pct;565;422;143;74.69
L7_60REC_40FULL;maturity_9-12_top25pct;565;421;144;74.51
L8_90REC_10FULL;maturity_9-12_top25pct;565;421;144;74.51
L8;maturity_9-12_top25pct;565;420;145;74.34
L5_60REC_40FULL;maturity_9-12_top25pct;565;419;146;74.16
L5_70REC_30FULL;maturity_9-12_top25pct;565;415;150;73.45
L5_80REC_20FULL;maturity_9-12_top25pct;565;413;152;73.1
L5_90REC_10FULL;maturity_9-12_top25pct;565;412;153;72.92
L5;maturity_9-12_top25pct;565;411;154;72.74
L7;score>=0.60;8424;5609;2815;66.58
L7_90REC_10FULL;score>=0.60;8480;5643;2837;66.54
L5_80REC_20FULL;score>=0.60;8380;5573;2807;66.5
L5_90REC_10FULL;score>=0.60;8313;5526;2787;66.47
L5_60REC_40FULL;score>=0.60;8504;5652;2852;66.46
L5_70REC_30FULL;score>=0.60;8444;5612;2832;66.46
L7_80REC_20FULL;score>=0.60;8523;5663;2860;66.44
L5;score>=0.60;8339;5540;2799;66.43
L8_80REC_20FULL;score>=0.60;8540;5669;2871;66.38
L8_70REC_30FULL;score>=0.60;8569;5686;2883;66.36
L8_90REC_10FULL;score>=0.60;8513;5649;2864;66.36
L7_70REC_30FULL;score>=0.60;8552;5674;2878;66.35
L8;score>=0.60;8504;5640;2864;66.32
L8_60REC_40FULL;score>=0.60;8589;5690;2899;66.25
L7_60REC_40FULL;score>=0.60;8574;5680;2894;66.25
FULL;score>=0.60;8641;5714;2927;66.13
L8_90REC_10FULL;score>=0.65;7670;5177;2493;67.5
L7_60REC_40FULL;score>=0.65;7703;5199;2504;67.49
L8_80REC_20FULL;score>=0.65;7703;5199;2504;67.49
L8_70REC_30FULL;score>=0.65;7722;5211;2511;67.48
L7_70REC_30FULL;score>=0.65;7695;5192;2503;67.47
FULL;score>=0.65;7740;5220;2520;67.44
L8_60REC_40FULL;score>=0.65;7734;5214;2520;67.42
L8;score>=0.65;7639;5150;2489;67.42
L7_80REC_20FULL;score>=0.65;7672;5168;2504;67.36
L5_70REC_30FULL;score>=0.65;7564;5095;2469;67.36
L7;score>=0.65;7637;5142;2495;67.33
L7_90REC_10FULL;score>=0.65;7648;5148;2500;67.31
L5_60REC_40FULL;score>=0.65;7600;5113;2487;67.28
L5_80REC_20FULL;score>=0.65;7519;5056;2463;67.24
L5_90REC_10FULL;score>=0.65;7476;5025;2451;67.22
L5;score>=0.65;7539;5047;2492;66.95
FULL;score>=0.70;6586;4553;2033;69.13
L8_60REC_40FULL;score>=0.70;6605;4562;2043;69.07
L7_60REC_40FULL;score>=0.70;6586;4543;2043;68.98
L8_70REC_30FULL;score>=0.70;6609;4557;2052;68.95
L7_70REC_30FULL;score>=0.70;6584;4537;2047;68.91
L7_80REC_20FULL;score>=0.70;6571;4526;2045;68.88
L8_80REC_20FULL;score>=0.70;6617;4554;2063;68.82
L7_90REC_10FULL;score>=0.70;6567;4519;2048;68.81
L8_90REC_10FULL;score>=0.70;6610;4548;2062;68.8
L5_60REC_40FULL;score>=0.70;6535;4493;2042;68.75
L8;score>=0.70;6558;4506;2052;68.71
L5_70REC_30FULL;score>=0.70;6507;4471;2036;68.71
L7;score>=0.70;6620;4547;2073;68.69
L5_80REC_20FULL;score>=0.70;6479;4443;2036;68.58
L5_90REC_10FULL;score>=0.70;6457;4417;2040;68.41
L5;score>=0.70;6598;4498;2100;68.17
FULL;score>=0.75;5386;3815;1571;70.83
L8_60REC_40FULL;score>=0.75;5441;3843;1598;70.63
L8_70REC_30FULL;score>=0.75;5459;3852;1607;70.56
L7_60REC_40FULL;score>=0.75;5438;3835;1603;70.52
L8_80REC_20FULL;score>=0.75;5459;3849;1610;70.51
L8_90REC_10FULL;score>=0.75;5479;3857;1622;70.4
L7_80REC_20FULL;score>=0.75;5467;3848;1619;70.39
L7_70REC_30FULL;score>=0.75;5454;3839;1615;70.39
L7_90REC_10FULL;score>=0.75;5484;3857;1627;70.33
L5_60REC_40FULL;score>=0.75;5408;3799;1609;70.25
L7;score>=0.75;5556;3901;1655;70.21
L8;score>=0.75;5576;3911;1665;70.14
L5_70REC_30FULL;score>=0.75;5417;3795;1622;70.06
L5_80REC_20FULL;score>=0.75;5416;3790;1626;69.98
L5_90REC_10FULL;score>=0.75;5418;3780;1638;69.77
L5;score>=0.75;5555;3850;1705;69.31
FULL;score>=0.80;4097;2976;1121;72.64
L8_80REC_20FULL;score>=0.80;4222;3064;1158;72.57
L8_70REC_30FULL;score>=0.80;4204;3047;1157;72.48
L7_60REC_40FULL;score>=0.80;4209;3049;1160;72.44
L8_60REC_40FULL;score>=0.80;4195;3038;1157;72.42
L8_90REC_10FULL;score>=0.80;4244;3072;1172;72.38
L7_70REC_30FULL;score>=0.80;4217;3050;1167;72.33
L8;score>=0.80;4314;3116;1198;72.23
L7_80REC_20FULL;score>=0.80;4228;3053;1175;72.21
L5_60REC_40FULL;score>=0.80;4261;3072;1189;72.1
L7_90REC_10FULL;score>=0.80;4264;3072;1192;72.05
L7;score>=0.80;4240;3052;1188;71.98
L5_70REC_30FULL;score>=0.80;4271;3073;1198;71.95
L5_80REC_20FULL;score>=0.80;4316;3091;1225;71.62
L5_90REC_10FULL;score>=0.80;4330;3084;1246;71.22
L5;score>=0.80;4427;3135;1292;70.82
