Country;League;Round;Date;Home;Away;HG;AG;Notes
Somalia;National League;7;2026-06-01;Jazeera;Jeenyo;1;1;
Somalia;National League;7;2026-06-02;Gantaalaha Afgooye;Jubba;0;1;
Somalia;National League;7;2026-06-03;Heegan;Mogadishu City;1;0;
Somalia;National League;7;2026-06-04;Dekedaha;Gaadiidka;0;0;
Somalia;National League;8;2026-05-21;Raadsan;Badbaado;2;1;
Somalia;National League;8;2026-05-22;Jeenyo;Elman;0;1;
Somalia;National League;8;2026-05-23;Jubba;Horseed;0;6;
Somalia;National League;8;2026-05-24;Jazeera;Heegan;1;1;
Somalia;National League;8;2026-05-25;Gantaalaha Afgooye;Dekedaha;0;5;
Somalia;National League;8;2026-05-29;Mogadishu City;Gaadiidka;1;1;
Somalia;National League;9;2026-05-15;Raadsan;Jeenyo;1;1;
Somalia;National League;9;2026-05-16;Badbaado;Jubba;4;0;
Somalia;National League;9;2026-05-17;Elman;Heegan;0;2;
Somalia;National League;9;2026-05-18;Horseed;Dekedaha;1;1;
Somalia;National League;9;2026-05-20;Mogadishu City;Gantaalaha Afgooye;5;0;
Somalia;National League;10;2026-05-09;Jubba;Raadsan;0;2;
Somalia;National League;10;2026-05-10;Heegan;Jeenyo;3;3;
Somalia;National League;10;2026-05-11;Dekedaha;Badbaado;3;2;
Somalia;National League;10;2026-05-12;Gaadiidka;Elman;1;0;
Somalia;National League;10;2026-05-13;Horseed;Mogadishu City;1;0;
Somalia;National League;10;2026-05-14;Gantaalaha Afgooye;Jazeera;3;2;
Somalia;National League;11;2026-05-03;Heegan;Raadsan;2;1;
Somalia;National League;11;2026-05-04;Dekedaha;Jubba;4;1;
Somalia;National League;11;2026-05-05;Jeenyo;Gaadiidka;2;3;
Somalia;National League;11;2026-05-06;Badbaado;Mogadishu City;1;2;
Somalia;National League;11;2026-05-07;Elman;Gantaalaha Afgooye;5;0;
Somalia;National League;11;2026-05-08;Jazeera;Horseed;0;0;
Somalia;National League;12;2026-04-27;Dekedaha;Raadsan;6;1;
Somalia;National League;12;2026-04-28;Gaadiidka;Heegan;1;3;
Somalia;National League;12;2026-04-29;Mogadishu City;Jubba;3;0;
Somalia;National League;12;2026-04-30;Gantaalaha Afgooye;Jeenyo;1;7;
Somalia;National League;12;2026-05-01;Jazeera;Badbaado;2;4;
Somalia;National League;12;2026-05-02;Horseed;Elman;0;3;
Somalia;National League;13;2026-04-21;Gaadiidka;Raadsan;3;0;
Somalia;National League;13;2026-04-22;Mogadishu City;Dekedaha;1;1;
Somalia;National League;13;2026-04-23;Heegan;Gantaalaha Afgooye;8;1;
Somalia;National League;13;2026-04-24;Jubba;Jazeera;1;5;
Somalia;National League;13;2026-04-25;Jeenyo;Horseed;0;1;
Somalia;National League;13;2026-04-26;Elman;Badbaado;1;2;
Somalia;National League;14;2026-04-15;Raadsan;Mogadishu City;1;2;
Somalia;National League;14;2026-04-16;Gantaalaha Afgooye;Gaadiidka;1;7;
Somalia;National League;14;2026-04-17;Jazeera;Dekedaha;2;2;
Somalia;National League;14;2026-04-18;Horseed;Heegan;0;0;
Somalia;National League;14;2026-04-19;Elman;Jubba;4;1;
Somalia;National League;14;2026-04-20;Badbaado;Jeenyo;0;1;
Somalia;National League;15;2026-04-10;Mogadishu City;Jazeera;4;0;
Somalia;National League;15;2026-04-11;Gaadiidka;Horseed;2;1;
Somalia;National League;15;2026-04-12;Dekedaha;Elman;1;2;
Somalia;National League;15;2026-04-13;Badbaado;Heegan;0;2;
Somalia;National League;15;2026-04-14;Jeenyo;Jubba;5;2;
Somalia;National League;16;2026-04-03;Jazeera;Raadsan;3;1;
Somalia;National League;16;2026-04-04;Horseed;Gantaalaha Afgooye;6;0;
Somalia;National League;16;2026-04-05;Elman;Mogadishu City;0;0;
Somalia;National League;16;2026-04-06;Gaadiidka;Badbaado;1;1;
Somalia;National League;16;2026-04-07;Jeenyo;Dekedaha;1;2;
Somalia;National League;16;2026-04-08;Heegan;Jubba;3;0;
Somalia;National League;17;2025-12-31;Heegan;Dekedaha;0;0;
Somalia;National League;17;2026-02-11;Raadsan;Horseed;1;2;
Somalia;National League;17;2026-02-13;Badbaado;Gantaalaha Afgooye;5;0;
Somalia;National League;17;2026-02-14;Jeenyo;Mogadishu City;0;1;
Somalia;National League;17;2026-02-15;Jubba;Gaadiidka;0;6;
Somalia;National League;17;2026-02-16;Elman;Jazeera;2;0;
Somalia;National League;18;2026-07-06;Raadsan;Dekedaha;3;6;
Somalia;National League;18;2026-07-09;Jeenyo;Gantaalaha Afgooye;3;2;
Somalia;National League;18;2026-07-09;Jubba;Mogadishu City;0;4;
Somalia;National League;18;2026-07-11;Badbaado;Jazeera;4;1;
Somalia;National League;18;2026-07-11;Elman;Horseed;0;0;
Somalia;National League;19;2026-07-12;Jubba;Dekedaha;1;7;
Somalia;National League;19;2026-07-12;Raadsan;Heegan;0;4;
Somalia;National League;19;2026-07-13;Gaadiidka;Jeenyo;2;0;
Somalia;National League;19;2026-07-14;Gantaalaha Afgooye;Elman;0;2;
Somalia;National League;19;2026-07-14;Horseed;Jazeera;2;2;
Somalia;National League;20;2026-07-16;Jeenyo;Heegan;0;0;
Somalia;National League;20;2026-07-16;Raadsan;Jubba;8;2;
Somalia;National League;20;2026-07-17;Elman;Gaadiidka;0;2;
Somalia;National League;22;2026-07-14;Mogadishu City;Badbaado;2;1;
Somalia;National League;23;2026-07-17;Badbaado;Dekedaha;1;3;
