Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
51;v20plus;Sweden_Division2_NorraSvealand;2;0;2026-08-16;2026-09-13;2;100.0
52;v20plus;Sweden_Division2_VastraGotaland;2;0;2026-08-14;2026-09-19;2;100.0
53;v20plus;Finland_Kolmonen_Western_Group3;2;1;2026-08-28;2026-09-18;3;66.67
54;v20plus;Netherlands_EersteDivisie;2;1;2026-09-11;2026-09-13;3;66.67
55;v20plus;Sweden_Division1_Norra;2;1;2026-08-21;2026-09-25;3;66.67
56;v20plus;CzechRepublic_4Liga_GroupC;2;2;2026-09-12;2026-09-23;4;50.0
57;v20plus;CzechRepublic_3MSFL;2;4;2026-09-02;2026-09-20;6;33.33
58;v20plus;Armenia_FirstLeague;1;0;2026-09-21;2026-09-21;1;100.0
59;v20plus;Belarus_PershayaLiga;1;0;2026-08-30;2026-08-30;1;100.0
60;v20plus;Bhutan_PremierLeague;1;0;2026-09-13;2026-09-13;1;100.0
61;v20plus;Bolivia_DivisionProfesional;1;0;2026-09-18;2026-09-18;1;100.0
62;v20plus;Bosnia_PrvaLiga_FBiH;1;0;2026-09-20;2026-09-20;1;100.0
63;v20plus;CzechRepublic_3CFL_GroupA;1;0;2026-09-19;2026-09-19;1;100.0
64;v20plus;CzechRepublic_3CFL_GroupB;1;0;2026-09-20;2026-09-20;1;100.0
65;v20plus;CzechRepublic_4Liga_GroupF;1;0;2026-09-20;2026-09-20;1;100.0
66;v20plus;Denmark_3rdDivision;1;0;2026-09-18;2026-09-18;1;100.0
67;v20plus;Finland_Kakkonen_GroupA;1;0;2026-08-30;2026-08-30;1;100.0
68;v20plus;Germany_3Liga;1;0;2026-09-15;2026-09-15;1;100.0
69;v20plus;Germany_Oberliga_Bayern_Sud;1;0;2026-09-19;2026-09-19;1;100.0
70;v20plus;Germany_Oberliga_Hessen;1;0;2026-09-09;2026-09-09;1;100.0
71;v20plus;Germany_Oberliga_Niedersachsen;1;0;2026-09-13;2026-09-13;1;100.0
72;v20plus;Germany_Oberliga_Westfalen;1;0;2026-09-20;2026-09-20;1;100.0
73;v20plus;Germany_Regionalliga_West;1;0;2026-09-11;2026-09-11;1;100.0
74;v20plus;Iceland_1DeildWomen;1;0;2026-08-29;2026-08-29;1;100.0
75;v20plus;Iceland_BestaDeildKvenna;1;0;2026-09-05;2026-09-05;1;100.0
76;v20plus;Iceland_Division_1;1;0;2026-08-28;2026-08-28;1;100.0
77;v20plus;Kyrgyzstan_PremierLiga;1;0;2026-09-18;2026-09-18;1;100.0
78;v20plus;Latvia_Virsliga;1;0;2026-08-09;2026-08-09;1;100.0
79;v20plus;Lithuania_ILyga;1;0;2026-09-05;2026-09-05;1;100.0
80;v20plus;Mexico_LigaExpansionMX_Apertura;1;0;2026-09-13;2026-09-13;1;100.0
81;v20plus;SriLanka_SuperLeague;1;0;2026-08-22;2026-08-22;1;100.0
82;v20plus;Sweden_Division1_Sodra;1;0;2026-08-30;2026-08-30;1;100.0
83;v20plus;Sweden_Division2_Norrland;1;0;2026-08-22;2026-08-22;1;100.0
84;v20plus;USA_MLSNextPro_EasternConference_NortheastDivision;1;0;2026-08-24;2026-08-24;1;100.0
85;v20plus;Germany_Regionalliga_Nord;1;1;2026-09-15;2026-09-19;2;50.0
86;v20plus;Germany_Regionalliga_Nordost;1;1;2026-08-26;2026-09-20;2;50.0
87;v20plus;USA_USLLeagueOne;1;1;2026-08-09;2026-09-03;2;50.0
88;v20plus;Moldova_Liga1_GroupA;1;2;2026-09-11;2026-09-18;3;33.33
89;v20plus;NorthernIreland_NIFLChampionship;1;2;2026-09-12;2026-09-18;3;33.33
90;v20plus;Sweden_Division2_SodraSvealand;1;3;2026-08-08;2026-09-19;4;25.0
91;v20plus;Austria_Oberosterreich;0;1;2026-09-18;2026-09-18;1;0.0
92;v20plus;Austria_Regionalliga_West;0;1;2026-09-18;2026-09-18;1;0.0
93;v20plus;Germany_Oberliga_BadenWurttemberg;0;1;2026-09-12;2026-09-12;1;0.0
94;v20plus;Germany_Oberliga_Bayern_Nord;0;1;2026-08-08;2026-08-08;1;0.0
95;v20plus;Kazakhstan_FirstLeague;0;1;2026-08-27;2026-08-27;1;0.0
96;v20plus;Poland_Ekstraklasa;0;1;2026-09-06;2026-09-06;1;0.0
97;v20plus;Scotland_Premiership;0;1;2026-09-15;2026-09-15;1;0.0
98;v20plus;Sweden_Allsvenskan;0;1;2026-08-31;2026-08-31;1;0.0
99;v20plus;USA_MLSNextPro_WesternConference_CentralDivision;0;1;2026-08-10;2026-08-10;1;0.0
100;v20plus;Ukraine_PremierLeague;0;1;2026-09-18;2026-09-18;1;0.0
